--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.08,78
Assists,0.00,31
Non-Penalty Goals,0.08,79
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.16,64
Red Cards,0.00,64
,,
xG,0.17,99
npxG,0.17,99
xA,0.00,5
npxG+xA,0.17,99
Goals,0.08,78
Shots Total,0.98,94
Shots on target,0.24,85
Shots on target %,25.0%,47
Goals/Shot,0.08,49
Goals/Shot on target,0.33,51
Average Shot Distance,11.70,45
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.17,99
npxG,0.17,99
npxG/Sh,0.17,93
Goals - xG,-0.09,1
Non-Penalty Goals - npxG,-0.09,1
Passes Completed,31.82,15
Passes Attempted,40.80,19
Pass Completion %,78.0%,10
Total Passing Distance,558.60,2
Progressive Passing Distance,245.68,23
,,
Passes Completed (Short),14.93,69
Passes Attempted (Short),17.54,78
Pass Completion % (Short),85.1%,12
,,
Passes Completed (Medium),14.03,7
Passes Attempted (Medium),17.14,10
Pass Completion % (Medium),81.9%,2
,,
Passes Completed (Long),2.69,1
Passes Attempted (Long),4.73,1
Pass Completion % (Long),56.9%,9
Assists,0.00,31
xA,0.00,5
Key Passes,0.08,19
Passes into Final Third,1.63,16
Passes into Penalty Area,0.24,69
Crosses into Penalty Area,0.08,88
Progressive Passes,2.86,64
Passes Attempted,40.80,19
,,
Live-ball passes,36.23,12
Dead-ball passes,4.57,94
Passes from Free Kicks,0.41,1
Through Balls,0.00,27
Passes Under Pressure,6.20,72
Switches,0.49,3
Crosses,0.65,95
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,25.38,12
Low Passes,7.18,96
High Passes,8.24,38
,,
Passes Attempted (Left),4.57,22
Passes Attempted (Right),28.88,41
Passes Attempted (Head),1.80,12
Throw-Ins taken,4.16,96
Passes Attempted (Other),0.16,52
,,
Passes Completed,31.82,15
Passes Offside,0.00,97
Passes Out of Bounds,0.65,71
Passes Intercepted,1.80,2
Passes Blocked,1.31,2
Shot-Creating Actions,0.65,64
,,
SCA (PassLive),0.57,72
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.08,78
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.08,69
,,
GCA (PassLive),0.08,81
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.61,93
Tackles Won,1.55,94
Tackles (Def 3rd),1.47,86
Tackles (Mid 3rd),0.90,90
Tackles (Att 3rd),0.24,95
,,
Dribblers Tackled,0.98,85
Dribbles Contested,2.12,95
% of dribblers tackled,46.2%,19
Dribbled Past,1.14,4
,,
Pressures,13.14,93
Successful Pressures,4.81,92
Successful Pressure %,36.6%,56
Pressures (Def 3rd),6.45,80
Pressures (Mid 3rd),4.98,86
Pressures (Att 3rd),1.71,99
,,
Blocks,2.04,79
Shots Blocked,0.49,14
Shots Saved,0.00,32
Passes Blocked,1.55,97
,,
Interceptions,2.28,68
Tkl+Int,4.90,85
Clearances,4.57,61
Errors,0.00,83
Touches,54.02,27
Touches (Def Pen),6.04,10
Touches (Def 3rd),20.32,1
Touches (Mid 3rd),25.29,36
Touches (Att 3rd),10.69,99
Touches (Att Pen),1.14,78
Touches (Live-Ball),49.53,21
,,
Dribbles Completed,0.41,86
Dribbles Attempted,0.82,94
Successful Dribble %,50.0%,19
Players Dribbled Past,0.49,90
Nutmegs,0.08,98
,,
Carries,29.78,26
Total Carrying Distance,138.30,14
Progressive Carrying Distance,70.83,20
Progressive Carries,2.94,69
Carries into Final Third,0.98,89
Carries into Penalty Area,0.00,31
Miscontrols,0.73,1
Dispossessed,0.82,1
,,
Pass Targets,31.41,25
Passes Received,27.91,17
Passes Received %,88.8%,1
Progressive Passes Rec,1.22,99
Yellow Cards,0.16,64
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.14,43
Fouls Drawn,0.57,48
Offsides,0.08,14
Crosses,0.65,95
,,
Interceptions,2.28,68
Tackles Won,1.55,94
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,8.89,43
,,
Aerials won,2.53,49
Aerials lost,2.04,19
% of Aerials Won,55.4%,20
