--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.20,88
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.12,76
Red Cards,0.00,60
,,
xG,0.08,82
npxG,0.08,84
xA,0.19,91
npxG+xA,0.26,93
Goals,0.00,20
Shots Total,0.98,82
Shots on target,0.33,86
Shots on target %,33.3%,70
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,17.80,67
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.08,82
npxG,0.08,84
npxG/Sh,0.08,71
Goals - xG,-0.08,2
Non-Penalty Goals - npxG,-0.08,2
Passes Completed,56.52,88
Passes Attempted,67.21,88
Pass Completion %,84.1%,86
Total Passing Distance,947.21,86
Progressive Passing Distance,264.03,39
,,
Passes Completed (Short),27.30,89
Passes Attempted (Short),30.80,92
Pass Completion % (Short),88.7%,51
,,
Passes Completed (Medium),24.79,91
Passes Attempted (Medium),28.77,92
Pass Completion % (Medium),86.2%,80
,,
Passes Completed (Long),3.74,44
Passes Attempted (Long),5.77,17
Pass Completion % (Long),64.8%,90
Assists,0.20,88
xA,0.19,91
Key Passes,1.67,90
Passes into Final Third,2.44,44
Passes into Penalty Area,2.23,98
Crosses into Penalty Area,0.85,94
Progressive Passes,5.04,86
Passes Attempted,67.21,88
,,
Live-ball passes,58.47,90
Dead-ball passes,8.74,31
Passes from Free Kicks,1.22,75
Through Balls,0.08,78
Passes Under Pressure,6.70,67
Switches,1.54,76
Crosses,3.33,89
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,49.65,94
Low Passes,11.91,70
High Passes,5.65,4
,,
Passes Attempted (Left),48.76,94
Passes Attempted (Right),8.98,37
Passes Attempted (Head),1.42,24
Throw-Ins taken,7.52,26
Passes Attempted (Other),0.12,44
,,
Passes Completed,56.52,88
Passes Offside,0.16,49
Passes Out of Bounds,0.85,51
Passes Intercepted,2.64,7
Passes Blocked,1.58,61
Shot-Creating Actions,3.05,94
,,
SCA (PassLive),2.19,93
SCA (PassDead),0.20,71
SCA (Drib),0.33,99
SCA (Sh),0.16,95
SCA (Fld),0.08,69
SCA (Def),0.08,84
,,
Goal-Creating Actions,0.28,79
,,
GCA (PassLive),0.20,73
GCA (PassDead),0.04,82
GCA (Drib),0.04,93
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.40,66
Tackles Won,1.50,74
Tackles (Def 3rd),1.38,66
Tackles (Mid 3rd),0.69,55
Tackles (Att 3rd),0.33,72
,,
Dribblers Tackled,0.85,47
Dribbles Contested,2.03,67
% of dribblers tackled,42.0%,26
Dribbled Past,1.18,24
,,
Pressures,15.72,80
Successful Pressures,5.73,94
Successful Pressure %,36.4%,97
Pressures (Def 3rd),6.05,65
Pressures (Mid 3rd),4.92,50
Pressures (Att 3rd),4.75,99
,,
Blocks,2.36,82
Shots Blocked,0.16,21
Shots Saved,0.00,41
Passes Blocked,2.19,92
,,
Interceptions,2.07,67
Tkl+Int,4.47,69
Clearances,0.89,4
Errors,0.00,70
Touches,81.47,93
Touches (Def Pen),2.40,16
Touches (Def 3rd),20.72,64
Touches (Mid 3rd),37.06,88
Touches (Att 3rd),32.22,98
Touches (Att Pen),4.75,99
Touches (Live-Ball),73.18,94
,,
Dribbles Completed,3.66,99
Dribbles Attempted,5.89,99
Successful Dribble %,62.1%,82
Players Dribbled Past,4.02,99
Nutmegs,0.61,99
,,
Carries,59.28,96
Total Carrying Distance,364.75,99
Progressive Carrying Distance,246.07,99
Progressive Carries,10.89,99
Carries into Final Third,3.98,99
Carries into Penalty Area,1.79,99
Miscontrols,1.91,2
Dispossessed,1.71,4
,,
Pass Targets,57.54,92
Passes Received,53.67,91
Passes Received %,93.3%,79
Progressive Passes Rec,5.16,99
Yellow Cards,0.12,76
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.89,74
Fouls Drawn,1.54,79
Offsides,0.12,27
Crosses,3.33,89
,,
Interceptions,2.07,67
Tackles Won,1.50,74
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,10.28,97
,,
Aerials won,0.77,24
Aerials lost,0.73,88
% of Aerials Won,51.4%,55
