--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.21,41
Assists,0.09,15
Non-Penalty Goals,0.21,47
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.21,26
Red Cards,0.00,56
,,
xG,0.15,18
npxG,0.15,23
xA,0.07,4
npxG+xA,0.22,9
Goals,0.21,41
Shots Total,1.93,44
Shots on target,0.86,64
Shots on target %,44.4%,90
Goals/Shot,0.11,52
Goals/Shot on target,0.25,33
Average Shot Distance,16.10,69
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.15,18
npxG,0.15,23
npxG/Sh,0.08,25
Goals - xG,+0.06,71
Non-Penalty Goals - npxG,+0.06,72
Passes Completed,10.71,1
Passes Attempted,18.59,1
Pass Completion %,57.6%,1
Total Passing Distance,179.83,1
Progressive Passing Distance,54.96,2
,,
Passes Completed (Short),5.83,1
Passes Attempted (Short),8.35,1
Pass Completion % (Short),69.7%,1
,,
Passes Completed (Medium),3.21,1
Passes Attempted (Medium),5.61,1
Pass Completion % (Medium),57.3%,1
,,
Passes Completed (Long),1.46,14
Passes Attempted (Long),3.04,18
Pass Completion % (Long),47.9%,25
Assists,0.09,15
xA,0.07,4
Key Passes,0.69,1
Passes into Final Third,0.51,2
Passes into Penalty Area,0.69,4
Crosses into Penalty Area,0.47,78
Progressive Passes,1.24,1
Passes Attempted,18.59,1
,,
Live-ball passes,18.16,1
Dead-ball passes,0.43,5
Passes from Free Kicks,0.09,16
Through Balls,0.00,8
Passes Under Pressure,5.27,13
Switches,0.64,24
Crosses,1.59,38
Corner Kicks,0.00,6
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,25
,,
Ground passes,9.04,1
Low Passes,4.16,27
High Passes,5.40,45
,,
Passes Attempted (Left),2.27,5
Passes Attempted (Right),11.74,29
Passes Attempted (Head),1.93,93
Throw-Ins taken,0.21,19
Passes Attempted (Other),0.47,93
,,
Passes Completed,10.71,1
Passes Offside,0.04,94
Passes Out of Bounds,0.56,59
Passes Intercepted,0.56,99
Passes Blocked,1.46,54
Shot-Creating Actions,1.59,2
,,
SCA (PassLive),1.07,1
SCA (PassDead),0.00,13
SCA (Drib),0.00,1
SCA (Sh),0.26,77
SCA (Fld),0.13,37
SCA (Def),0.13,86
,,
Goal-Creating Actions,0.21,17
,,
GCA (PassLive),0.13,19
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.04,72
GCA (Def),0.04,95
Tackles,1.46,53
Tackles Won,0.60,19
Tackles (Def 3rd),0.43,45
Tackles (Mid 3rd),0.56,45
Tackles (Att 3rd),0.47,84
,,
Dribblers Tackled,0.56,70
Dribbles Contested,1.88,77
% of dribblers tackled,29.5%,41
Dribbled Past,1.33,22
,,
Pressures,19.28,71
Successful Pressures,4.88,58
Successful Pressure %,25.3%,21
Pressures (Def 3rd),3.26,41
Pressures (Mid 3rd),9.47,78
Pressures (Att 3rd),6.55,72
,,
Blocks,2.10,98
Shots Blocked,0.30,99
Shots Saved,0.00,49
Passes Blocked,1.80,98
,,
Interceptions,1.07,59
Tkl+Int,2.53,57
Clearances,1.59,99
Errors,0.00,57
Touches,32.13,1
Touches (Def Pen),2.14,99
Touches (Def 3rd),6.13,45
Touches (Mid 3rd),13.02,1
Touches (Att 3rd),14.39,1
Touches (Att Pen),3.43,37
Touches (Live-Ball),31.70,1
,,
Dribbles Completed,0.47,1
Dribbles Attempted,1.24,2
Successful Dribble %,37.9%,1
Players Dribbled Past,0.56,1
Nutmegs,0.13,41
,,
Carries,15.42,1
Total Carrying Distance,79.21,1
Progressive Carrying Distance,33.11,1
Progressive Carries,1.29,1
Carries into Final Third,0.51,1
Carries into Penalty Area,0.13,1
Miscontrols,2.36,34
Dispossessed,1.37,83
,,
Pass Targets,36.37,7
Passes Received,19.41,1
Passes Received %,53.4%,1
Progressive Passes Rec,3.56,4
Yellow Cards,0.21,26
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,2.57,2
Fouls Drawn,0.64,1
Offsides,0.73,4
Crosses,1.59,38
,,
Interceptions,1.07,59
Tackles Won,0.60,19
Penalty Kicks Won,0.04,80
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,4.88,13
,,
Aerials won,2.74,99
Aerials lost,3.51,1
% of Aerials Won,43.8%,85
