--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.69,89
Assists,0.14,64
Non-Penalty Goals,0.66,94
Penalty Kicks Made,0.03,42
Penalty Kicks Attempted,0.03,36
Yellow Cards,0.14,49
Red Cards,0.00,55
,,
xG,0.60,91
npxG,0.57,95
xA,0.04,3
npxG+xA,0.61,82
Goals,0.69,89
Shots Total,3.70,92
Shots on target,1.49,92
Shots on target %,40.2%,62
Goals/Shot,0.18,82
Goals/Shot on target,0.44,82
Average Shot Distance,11.50,95
Shots from free kicks,0.00,30
Penalty Kicks Made,0.03,42
Penalty Kicks Attempted,0.03,36
,,
xG,0.60,91
npxG,0.57,95
npxG/Sh,0.15,69
Goals - xG,+0.09,77
Non-Penalty Goals - npxG,+0.09,76
Passes Completed,10.08,3
Passes Attempted,15.37,5
Pass Completion %,65.6%,19
Total Passing Distance,162.80,8
Progressive Passing Distance,21.86,3
,,
Passes Completed (Short),5.04,3
Passes Attempted (Short),6.98,3
Pass Completion % (Short),72.3%,16
,,
Passes Completed (Medium),3.66,17
Passes Attempted (Medium),5.42,19
Pass Completion % (Medium),67.5%,24
,,
Passes Completed (Long),0.76,20
Passes Attempted (Long),1.49,31
Pass Completion % (Long),51.2%,27
Assists,0.14,64
xA,0.04,3
Key Passes,0.48,4
Passes into Final Third,0.55,15
Passes into Penalty Area,0.24,8
Crosses into Penalty Area,0.07,40
Progressive Passes,0.79,8
Passes Attempted,15.37,5
,,
Live-ball passes,14.26,5
Dead-ball passes,1.11,31
Passes from Free Kicks,0.00,20
Through Balls,0.00,11
Passes Under Pressure,4.49,11
Switches,0.35,42
Crosses,0.41,20
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,8.39,3
Low Passes,3.49,21
High Passes,3.49,48
,,
Passes Attempted (Left),1.24,8
Passes Attempted (Right),9.95,24
Passes Attempted (Head),1.35,60
Throw-Ins taken,0.03,16
Passes Attempted (Other),0.62,67
,,
Passes Completed,10.08,3
Passes Offside,0.00,94
Passes Out of Bounds,0.38,58
Passes Intercepted,0.97,73
Passes Blocked,0.76,77
Shot-Creating Actions,1.35,4
,,
SCA (PassLive),0.83,4
SCA (PassDead),0.00,36
SCA (Drib),0.03,9
SCA (Sh),0.31,84
SCA (Fld),0.17,49
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.17,14
,,
GCA (PassLive),0.03,3
GCA (PassDead),0.00,46
GCA (Drib),0.03,59
GCA (Sh),0.07,79
GCA (Fld),0.03,54
GCA (Def),0.00,40
Tackles,0.41,22
Tackles Won,0.21,15
Tackles (Def 3rd),0.10,43
Tackles (Mid 3rd),0.21,34
Tackles (Att 3rd),0.10,11
,,
Dribblers Tackled,0.17,59
Dribbles Contested,0.79,70
% of dribblers tackled,21.7%,39
Dribbled Past,0.62,24
,,
Pressures,12.74,29
Successful Pressures,3.87,45
Successful Pressure %,30.4%,89
Pressures (Def 3rd),1.00,34
Pressures (Mid 3rd),4.63,21
Pressures (Att 3rd),7.11,51
,,
Blocks,0.41,8
Shots Blocked,0.07,27
Shots Saved,0.00,48
Passes Blocked,0.35,10
,,
Interceptions,0.21,11
Tkl+Int,0.62,11
Clearances,1.24,95
Errors,0.00,53
Touches,26.35,5
Touches (Def Pen),1.28,87
Touches (Def 3rd),2.45,30
Touches (Mid 3rd),12.16,7
Touches (Att 3rd),12.61,5
Touches (Att Pen),5.28,54
Touches (Live-Ball),25.25,5
,,
Dribbles Completed,0.31,8
Dribbles Attempted,0.69,5
Successful Dribble %,45.0%,35
Players Dribbled Past,0.35,5
Nutmegs,0.07,46
,,
Carries,13.64,4
Total Carrying Distance,33.47,1
Progressive Carrying Distance,13.09,2
Progressive Carries,0.93,3
Carries into Final Third,0.38,9
Carries into Penalty Area,0.28,12
Miscontrols,2.49,59
Dispossessed,1.14,86
,,
Pass Targets,37.78,7
Passes Received,19.41,7
Passes Received %,51.4%,12
Progressive Passes Rec,5.66,17
Yellow Cards,0.14,49
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.42,44
Fouls Drawn,1.31,36
Offsides,1.21,3
Crosses,0.41,20
,,
Interceptions,0.21,11
Tackles Won,0.21,15
Penalty Kicks Won,0.03,58
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,2.90,11
,,
Aerials won,3.76,81
Aerials lost,3.00,54
% of Aerials Won,55.6%,93
