--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.16,94
Assists,0.16,81
Non-Penalty Goals,0.16,95
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.22,38
Red Cards,0.00,60
,,
xG,0.12,92
npxG,0.12,94
xA,0.14,80
npxG+xA,0.25,92
Goals,0.16,94
Shots Total,1.26,93
Shots on target,0.44,93
Shots on target %,34.8%,74
Goals/Shot,0.13,81
Goals/Shot on target,0.38,76
Average Shot Distance,15.00,86
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.12,92
npxG,0.12,94
npxG/Sh,0.09,80
Goals - xG,+0.05,90
Non-Penalty Goals - npxG,+0.05,91
Passes Completed,45.96,66
Passes Attempted,58.12,70
Pass Completion %,79.1%,63
Total Passing Distance,730.63,54
Progressive Passing Distance,277.12,49
,,
Passes Completed (Short),23.99,80
Passes Attempted (Short),27.33,82
Pass Completion % (Short),87.8%,37
,,
Passes Completed (Medium),18.57,63
Passes Attempted (Medium),22.24,62
Pass Completion % (Medium),83.5%,66
,,
Passes Completed (Long),2.47,6
Passes Attempted (Long),6.19,23
Pass Completion % (Long),39.8%,8
Assists,0.16,81
xA,0.14,80
Key Passes,0.93,59
Passes into Final Third,3.07,69
Passes into Penalty Area,1.64,89
Crosses into Penalty Area,0.33,31
Progressive Passes,5.86,93
Passes Attempted,58.12,70
,,
Live-ball passes,49.79,75
Dead-ball passes,8.33,21
Passes from Free Kicks,0.44,14
Through Balls,0.11,86
Passes Under Pressure,8.22,94
Switches,0.60,16
Crosses,2.25,51
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,37.85,78
Low Passes,11.83,68
High Passes,8.44,20
,,
Passes Attempted (Left),12.33,56
Passes Attempted (Right),36.32,74
Passes Attempted (Head),0.99,7
Throw-Ins taken,7.89,34
Passes Attempted (Other),0.16,63
,,
Passes Completed,45.96,66
Passes Offside,0.11,67
Passes Out of Bounds,0.44,94
Passes Intercepted,1.75,56
Passes Blocked,1.97,29
Shot-Creating Actions,1.86,57
,,
SCA (PassLive),1.37,51
SCA (PassDead),0.00,6
SCA (Drib),0.00,15
SCA (Sh),0.11,85
SCA (Fld),0.16,91
SCA (Def),0.22,99
,,
Goal-Creating Actions,0.33,85
,,
GCA (PassLive),0.22,79
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.05,95
GCA (Fld),0.05,93
GCA (Def),0.00,46
Tackles,2.90,87
Tackles Won,1.59,79
Tackles (Def 3rd),1.70,86
Tackles (Mid 3rd),0.71,59
Tackles (Att 3rd),0.49,95
,,
Dribblers Tackled,1.21,81
Dribbles Contested,1.81,49
% of dribblers tackled,66.7%,98
Dribbled Past,0.60,85
,,
Pressures,13.75,61
Successful Pressures,4.66,73
Successful Pressure %,33.9%,82
Pressures (Def 3rd),5.09,37
Pressures (Mid 3rd),5.97,74
Pressures (Att 3rd),2.68,67
,,
Blocks,1.59,28
Shots Blocked,0.22,37
Shots Saved,0.00,41
Passes Blocked,1.37,32
,,
Interceptions,2.08,68
Tkl+Int,4.98,84
Clearances,1.48,25
Errors,0.00,70
Touches,69.29,69
Touches (Def Pen),2.14,8
Touches (Def 3rd),17.20,27
Touches (Mid 3rd),32.26,66
Touches (Att 3rd),23.50,82
Touches (Att Pen),3.23,95
Touches (Live-Ball),61.13,76
,,
Dribbles Completed,0.60,36
Dribbles Attempted,1.04,31
Successful Dribble %,57.9%,69
Players Dribbled Past,0.71,41
Nutmegs,0.11,69
,,
Carries,44.48,76
Total Carrying Distance,209.80,67
Progressive Carrying Distance,116.02,60
Progressive Carries,5.37,69
Carries into Final Third,1.31,34
Carries into Penalty Area,0.38,66
Miscontrols,1.10,30
Dispossessed,0.93,36
,,
Pass Targets,48.64,78
Passes Received,44.86,79
Passes Received %,92.2%,66
Progressive Passes Rec,3.01,79
Yellow Cards,0.22,38
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.99,64
Fouls Drawn,1.10,52
Offsides,0.11,32
Crosses,2.25,51
,,
Interceptions,2.08,68
Tackles Won,1.59,79
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.05,10
Own Goals,0.00,57
Ball Recoveries,7.34,32
,,
Aerials won,0.71,23
Aerials lost,0.77,85
% of Aerials Won,48.1%,44
