--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.29,27
Assists,0.16,72
Non-Penalty Goals,0.13,4
Penalty Kicks Made,0.16,92
Penalty Kicks Attempted,0.16,88
Yellow Cards,0.13,51
Red Cards,0.00,55
,,
xG,0.30,18
npxG,0.18,2
xA,0.10,45
npxG+xA,0.28,2
Goals,0.29,27
Shots Total,1.94,11
Shots on target,0.65,9
Shots on target %,33.3%,26
Goals/Shot,0.07,9
Goals/Shot on target,0.20,8
Average Shot Distance,19.80,3
Shots from free kicks,0.19,87
Penalty Kicks Made,0.16,92
Penalty Kicks Attempted,0.16,88
,,
xG,0.30,18
npxG,0.18,2
npxG/Sh,0.09,7
Goals - xG,-0.01,49
Non-Penalty Goals - npxG,-0.05,30
Passes Completed,17.37,59
Passes Attempted,24.21,58
Pass Completion %,71.8%,53
Total Passing Distance,290.74,69
Progressive Passing Distance,80.86,84
,,
Passes Completed (Short),8.88,44
Passes Attempted (Short),11.41,43
Pass Completion % (Short),77.8%,46
,,
Passes Completed (Medium),5.70,65
Passes Attempted (Medium),7.62,64
Pass Completion % (Medium),74.9%,66
,,
Passes Completed (Long),1.91,81
Passes Attempted (Long),2.95,78
Pass Completion % (Long),64.8%,69
Assists,0.16,72
xA,0.10,45
Key Passes,1.07,58
Passes into Final Third,1.36,75
Passes into Penalty Area,0.81,61
Crosses into Penalty Area,0.16,74
Progressive Passes,2.46,86
Passes Attempted,24.21,58
,,
Live-ball passes,22.14,56
Dead-ball passes,2.07,78
Passes from Free Kicks,0.32,88
Through Balls,0.10,58
Passes Under Pressure,5.74,32
Switches,0.58,70
Crosses,1.43,83
Corner Kicks,0.49,87
,,
Inswinging Corner Kicks,0.26,89
Outswinging Corner Kicks,0.19,91
Straight Corner Kicks,0.00,45
,,
Ground passes,17.18,75
Low Passes,3.69,29
High Passes,3.34,43
,,
Passes Attempted (Left),17.01,92
Passes Attempted (Right),5.22,15
Passes Attempted (Head),0.88,30
Throw-Ins taken,0.32,86
Passes Attempted (Other),0.23,11
,,
Passes Completed,17.37,59
Passes Offside,0.13,31
Passes Out of Bounds,0.55,32
Passes Intercepted,1.36,32
Passes Blocked,1.39,18
Shot-Creating Actions,2.30,54
,,
SCA (PassLive),1.36,32
SCA (PassDead),0.23,91
SCA (Drib),0.32,84
SCA (Sh),0.23,56
SCA (Fld),0.06,11
SCA (Def),0.10,77
,,
Goal-Creating Actions,0.26,41
,,
GCA (PassLive),0.16,40
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.03,43
GCA (Fld),0.03,48
GCA (Def),0.03,84
Tackles,1.52,98
Tackles Won,0.84,92
Tackles (Def 3rd),0.32,89
Tackles (Mid 3rd),0.84,98
Tackles (Att 3rd),0.36,84
,,
Dribblers Tackled,0.68,99
Dribbles Contested,1.88,99
% of dribblers tackled,36.2%,77
Dribbled Past,1.20,3
,,
Pressures,22.78,96
Successful Pressures,6.38,97
Successful Pressure %,28.0%,61
Pressures (Def 3rd),3.21,97
Pressures (Mid 3rd),11.44,97
Pressures (Att 3rd),8.13,69
,,
Blocks,1.13,85
Shots Blocked,0.13,59
Shots Saved,0.00,48
Passes Blocked,1.00,86
,,
Interceptions,0.58,81
Tkl+Int,2.11,95
Clearances,0.42,30
Errors,0.03,3
Touches,37.92,61
Touches (Def Pen),0.49,19
Touches (Def 3rd),3.47,68
Touches (Mid 3rd),17.60,57
Touches (Att 3rd),19.87,70
Touches (Att Pen),3.63,5
Touches (Live-Ball),35.55,58
,,
Dribbles Completed,1.49,86
Dribbles Attempted,3.11,86
Successful Dribble %,47.9%,45
Players Dribbled Past,1.59,83
Nutmegs,0.19,89
,,
Carries,26.28,75
Total Carrying Distance,132.49,77
Progressive Carrying Distance,64.27,68
Progressive Carries,3.63,70
Carries into Final Third,1.33,76
Carries into Penalty Area,0.55,43
Miscontrols,2.17,78
Dispossessed,2.33,21
,,
Pass Targets,41.39,24
Passes Received,24.86,35
Passes Received %,60.1%,55
Progressive Passes Rec,6.13,27
Yellow Cards,0.13,51
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.20,11
Fouls Drawn,2.40,88
Offsides,0.39,80
Crosses,1.43,83
,,
Interceptions,0.58,81
Tackles Won,0.84,92
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,5.90,97
,,
Aerials won,0.78,16
Aerials lost,3.08,51
% of Aerials Won,20.2%,5
