--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.37,47
Assists,0.12,55
Non-Penalty Goals,0.37,59
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.12,56
Red Cards,0.00,55
,,
xG,0.37,46
npxG,0.37,62
xA,0.20,84
npxG+xA,0.56,75
Goals,0.37,47
Shots Total,1.99,16
Shots on target,0.96,53
Shots on target %,47.9%,92
Goals/Shot,0.19,87
Goals/Shot on target,0.39,61
Average Shot Distance,13.50,62
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.37,46
npxG,0.37,62
npxG/Sh,0.18,90
Goals - xG,+0.01,54
Non-Penalty Goals - npxG,+0.01,55
Passes Completed,17.87,67
Passes Attempted,24.39,59
Pass Completion %,73.3%,62
Total Passing Distance,258.03,60
Progressive Passing Distance,61.62,75
,,
Passes Completed (Short),10.93,72
Passes Attempted (Short),13.84,71
Pass Completion % (Short),79.0%,56
,,
Passes Completed (Medium),4.74,49
Passes Attempted (Medium),6.61,41
Pass Completion % (Medium),71.7%,49
,,
Passes Completed (Long),1.33,62
Passes Attempted (Long),1.99,56
Pass Completion % (Long),66.7%,75
Assists,0.12,55
xA,0.20,84
Key Passes,1.33,81
Passes into Final Third,1.29,70
Passes into Penalty Area,1.00,77
Crosses into Penalty Area,0.08,46
Progressive Passes,2.37,83
Passes Attempted,24.39,59
,,
Live-ball passes,22.89,59
Dead-ball passes,1.50,51
Passes from Free Kicks,0.08,71
Through Balls,0.21,88
Passes Under Pressure,7.60,73
Switches,0.21,23
Crosses,0.25,7
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,18.12,78
Low Passes,4.28,44
High Passes,1.99,9
,,
Passes Attempted (Left),2.37,34
Passes Attempted (Right),18.70,78
Passes Attempted (Head),1.00,39
Throw-Ins taken,0.04,20
Passes Attempted (Other),0.96,92
,,
Passes Completed,17.87,67
Passes Offside,0.08,60
Passes Out of Bounds,0.17,95
Passes Intercepted,1.62,14
Passes Blocked,1.21,32
Shot-Creating Actions,3.28,89
,,
SCA (PassLive),2.24,88
SCA (PassDead),0.00,36
SCA (Drib),0.08,25
SCA (Sh),0.17,33
SCA (Fld),0.62,99
SCA (Def),0.17,95
,,
Goal-Creating Actions,0.37,63
,,
GCA (PassLive),0.25,70
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.04,55
GCA (Fld),0.08,84
GCA (Def),0.00,40
Tackles,1.21,86
Tackles Won,0.87,93
Tackles (Def 3rd),0.08,33
Tackles (Mid 3rd),0.71,95
Tackles (Att 3rd),0.42,93
,,
Dribblers Tackled,0.33,89
Dribbles Contested,0.66,56
% of dribblers tackled,50.0%,95
Dribbled Past,0.33,70
,,
Pressures,16.29,65
Successful Pressures,5.28,86
Successful Pressure %,32.4%,95
Pressures (Def 3rd),0.87,26
Pressures (Mid 3rd),7.65,75
Pressures (Att 3rd),7.77,60
,,
Blocks,0.71,43
Shots Blocked,0.17,68
Shots Saved,0.00,48
Passes Blocked,0.54,38
,,
Interceptions,0.46,62
Tkl+Int,1.66,84
Clearances,0.29,17
Errors,0.00,53
Touches,39.43,69
Touches (Def Pen),0.58,30
Touches (Def 3rd),1.79,11
Touches (Mid 3rd),22.48,92
Touches (Att 3rd),17.91,53
Touches (Att Pen),5.03,43
Touches (Live-Ball),38.02,73
,,
Dribbles Completed,1.50,86
Dribbles Attempted,3.37,90
Successful Dribble %,44.4%,32
Players Dribbled Past,1.66,86
Nutmegs,0.33,97
,,
Carries,29.09,83
Total Carrying Distance,109.90,57
Progressive Carrying Distance,56.97,60
Progressive Carries,3.16,60
Carries into Final Third,1.45,84
Carries into Penalty Area,0.54,41
Miscontrols,2.91,40
Dispossessed,3.37,3
,,
Pass Targets,47.58,65
Passes Received,29.96,72
Passes Received %,63.0%,68
Progressive Passes Rec,8.56,78
Yellow Cards,0.12,56
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.91,21
Fouls Drawn,3.45,97
Offsides,0.83,24
Crosses,0.25,7
,,
Interceptions,0.46,62
Tackles Won,0.87,93
Penalty Kicks Won,0.08,88
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.57,73
,,
Aerials won,1.83,44
Aerials lost,3.91,35
% of Aerials Won,31.9%,30
