--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,69
Assists,0.19,91
Non-Penalty Goals,0.09,71
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.09,91
Red Cards,0.00,61
,,
xG,0.09,68
npxG,0.09,72
xA,0.09,61
npxG+xA,0.18,65
Goals,0.09,69
Shots Total,0.65,21
Shots on target,0.19,31
Shots on target %,28.6%,57
Goals/Shot,0.14,87
Goals/Shot on target,0.50,86
Average Shot Distance,18.80,66
Shots from free kicks,0.05,75
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.09,68
npxG,0.09,72
npxG/Sh,0.14,96
Goals - xG,0.00,53
Non-Penalty Goals - npxG,0.00,55
Passes Completed,52.39,81
Passes Attempted,61.56,82
Pass Completion %,85.1%,68
Total Passing Distance,990.28,78
Progressive Passing Distance,279.68,86
,,
Passes Completed (Short),20.82,75
Passes Attempted (Short),23.39,75
Pass Completion % (Short),89.0%,57
,,
Passes Completed (Medium),23.11,81
Passes Attempted (Medium),25.77,82
Pass Completion % (Medium),89.7%,68
,,
Passes Completed (Long),6.97,73
Passes Attempted (Long),9.78,68
Pass Completion % (Long),71.3%,57
Assists,0.19,91
xA,0.09,61
Key Passes,0.98,62
Passes into Final Third,5.05,76
Passes into Penalty Area,0.61,43
Crosses into Penalty Area,0.09,51
Progressive Passes,4.96,76
Passes Attempted,61.56,82
,,
Live-ball passes,59.27,83
Dead-ball passes,2.29,62
Passes from Free Kicks,1.92,72
Through Balls,0.09,58
Passes Under Pressure,8.28,57
Switches,1.64,58
Crosses,0.42,42
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,44.53,75
Low Passes,7.39,93
High Passes,9.64,73
,,
Passes Attempted (Left),7.02,54
Passes Attempted (Right),50.85,80
Passes Attempted (Head),2.29,68
Throw-Ins taken,0.37,79
Passes Attempted (Other),0.47,94
,,
Passes Completed,52.39,81
Passes Offside,0.28,14
Passes Out of Bounds,0.51,81
Passes Intercepted,1.59,38
Passes Blocked,1.40,13
Shot-Creating Actions,1.82,43
,,
SCA (PassLive),1.64,61
SCA (PassDead),0.05,57
SCA (Drib),0.05,50
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.09,73
,,
Goal-Creating Actions,0.28,72
,,
GCA (PassLive),0.23,77
GCA (PassDead),0.00,39
GCA (Drib),0.05,94
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.85,80
Tackles Won,1.73,72
Tackles (Def 3rd),1.22,80
Tackles (Mid 3rd),1.22,70
Tackles (Att 3rd),0.42,87
,,
Dribblers Tackled,0.84,68
Dribbles Contested,3.41,97
% of dribblers tackled,24.7%,6
Dribbled Past,2.57,1
,,
Pressures,24.46,92
Successful Pressures,7.67,93
Successful Pressure %,31.4%,63
Pressures (Def 3rd),8.65,91
Pressures (Mid 3rd),12.86,93
Pressures (Att 3rd),2.95,52
,,
Blocks,1.82,71
Shots Blocked,0.14,15
Shots Saved,0.00,45
Passes Blocked,1.68,86
,,
Interceptions,2.48,90
Tkl+Int,5.33,87
Clearances,1.08,39
Errors,0.00,67
Touches,71.85,81
Touches (Def Pen),1.87,26
Touches (Def 3rd),18.99,84
Touches (Mid 3rd),45.80,85
Touches (Att 3rd),10.34,27
Touches (Att Pen),1.17,49
Touches (Live-Ball),69.79,81
,,
Dribbles Completed,0.61,42
Dribbles Attempted,0.75,25
Successful Dribble %,81.3%,97
Players Dribbled Past,0.61,35
Nutmegs,0.05,54
,,
Carries,45.70,70
Total Carrying Distance,158.25,28
Progressive Carrying Distance,66.28,20
Progressive Carries,2.06,11
Carries into Final Third,0.75,20
Carries into Penalty Area,0.00,7
Miscontrols,0.94,45
Dispossessed,0.65,81
,,
Pass Targets,52.25,71
Passes Received,49.02,74
Passes Received %,93.8%,69
Progressive Passes Rec,1.45,40
Yellow Cards,0.09,91
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.73,42
Fouls Drawn,1.03,27
Offsides,0.00,77
Crosses,0.42,42
,,
Interceptions,2.48,90
Tackles Won,1.73,72
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.76,74
,,
Aerials won,0.75,29
Aerials lost,1.50,28
% of Aerials Won,33.3%,8
