--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.19,89
Assists,0.19,91
Non-Penalty Goals,0.19,92
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.00,99
Red Cards,0.00,61
,,
xG,0.14,86
npxG,0.14,90
xA,0.18,94
npxG+xA,0.33,95
Goals,0.19,89
Shots Total,2.12,97
Shots on target,0.48,86
Shots on target %,22.7%,33
Goals/Shot,0.09,67
Goals/Shot on target,0.40,76
Average Shot Distance,18.80,66
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.14,86
npxG,0.14,90
npxG/Sh,0.07,54
Goals - xG,+0.05,84
Non-Penalty Goals - npxG,+0.05,84
Passes Completed,64.23,93
Passes Attempted,73.37,93
Pass Completion %,87.5%,81
Total Passing Distance,1226.83,94
Progressive Passing Distance,350.00,96
,,
Passes Completed (Short),28.46,95
Passes Attempted (Short),31.25,95
Pass Completion % (Short),91.1%,77
,,
Passes Completed (Medium),26.25,92
Passes Attempted (Medium),29.04,92
Pass Completion % (Medium),90.4%,76
,,
Passes Completed (Long),8.75,86
Passes Attempted (Long),10.87,76
Pass Completion % (Long),80.5%,88
Assists,0.19,91
xA,0.18,94
Key Passes,1.73,91
Passes into Final Third,9.90,99
Passes into Penalty Area,0.87,68
Crosses into Penalty Area,0.00,8
Progressive Passes,9.42,99
Passes Attempted,73.37,93
,,
Live-ball passes,71.54,94
Dead-ball passes,1.83,51
Passes from Free Kicks,1.44,60
Through Balls,0.58,99
Passes Under Pressure,12.40,98
Switches,2.88,84
Crosses,0.67,58
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,57.88,93
Low Passes,7.02,88
High Passes,8.46,62
,,
Passes Attempted (Left),8.37,63
Passes Attempted (Right),61.06,93
Passes Attempted (Head),2.21,63
Throw-Ins taken,0.29,73
Passes Attempted (Other),0.19,39
,,
Passes Completed,64.23,93
Passes Offside,0.10,73
Passes Out of Bounds,0.67,52
Passes Intercepted,2.60,2
Passes Blocked,1.73,5
Shot-Creating Actions,3.08,88
,,
SCA (PassLive),2.98,99
SCA (PassDead),0.10,67
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.48,94
,,
GCA (PassLive),0.48,99
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.92,31
Tackles Won,1.25,38
Tackles (Def 3rd),0.38,5
Tackles (Mid 3rd),1.35,79
Tackles (Att 3rd),0.19,31
,,
Dribblers Tackled,0.67,40
Dribbles Contested,2.21,64
% of dribblers tackled,30.4%,20
Dribbled Past,1.54,24
,,
Pressures,21.15,74
Successful Pressures,7.31,88
Successful Pressure %,34.5%,87
Pressures (Def 3rd),5.67,45
Pressures (Mid 3rd),12.12,85
Pressures (Att 3rd),3.37,65
,,
Blocks,1.35,29
Shots Blocked,0.29,52
Shots Saved,0.00,45
Passes Blocked,1.06,30
,,
Interceptions,1.25,20
Tkl+Int,3.17,22
Clearances,1.44,63
Errors,0.10,1
Touches,82.79,94
Touches (Def Pen),2.40,48
Touches (Def 3rd),15.19,58
Touches (Mid 3rd),54.33,96
Touches (Att 3rd),17.88,78
Touches (Att Pen),2.21,85
Touches (Live-Ball),81.15,94
,,
Dribbles Completed,0.10,1
Dribbles Attempted,0.19,1
Successful Dribble %,50.0%,15
Players Dribbled Past,0.10,1
Nutmegs,0.00,17
,,
Carries,57.88,92
Total Carrying Distance,245.29,78
Progressive Carrying Distance,114.71,73
Progressive Carries,4.33,64
Carries into Final Third,1.06,48
Carries into Penalty Area,0.19,65
Miscontrols,0.87,51
Dispossessed,0.58,88
,,
Pass Targets,68.08,94
Passes Received,62.12,92
Passes Received %,91.2%,46
Progressive Passes Rec,3.75,89
Yellow Cards,0.00,99
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.12,21
Fouls Drawn,0.96,22
Offsides,0.29,1
Crosses,0.67,58
,,
Interceptions,1.25,20
Tackles Won,1.25,38
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.54,85
,,
Aerials won,2.31,86
Aerials lost,1.83,15
% of Aerials Won,55.8%,72
