--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.12,55
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.37,3
Red Cards,0.00,55
,,
xG,0.27,10
npxG,0.27,24
xA,0.14,64
npxG+xA,0.41,36
Goals,0.00,1
Shots Total,2.23,28
Shots on target,0.50,1
Shots on target %,22.2%,1
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,15.60,31
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.27,10
npxG,0.27,24
npxG/Sh,0.12,32
Goals - xG,-0.27,1
Non-Penalty Goals - npxG,-0.27,1
Passes Completed,11.16,8
Passes Attempted,17.23,10
Pass Completion %,64.7%,16
Total Passing Distance,160.66,7
Progressive Passing Distance,40.91,38
,,
Passes Completed (Short),6.69,14
Passes Attempted (Short),9.67,17
Pass Completion % (Short),69.2%,7
,,
Passes Completed (Medium),3.10,7
Passes Attempted (Medium),4.71,8
Pass Completion % (Medium),65.8%,20
,,
Passes Completed (Long),0.62,12
Passes Attempted (Long),1.24,18
Pass Completion % (Long),50.0%,23
Assists,0.12,55
xA,0.14,64
Key Passes,0.99,50
Passes into Final Third,0.87,36
Passes into Penalty Area,0.74,55
Crosses into Penalty Area,0.00,7
Progressive Passes,1.61,58
Passes Attempted,17.23,10
,,
Live-ball passes,16.12,12
Dead-ball passes,1.12,33
Passes from Free Kicks,0.12,80
Through Balls,0.12,71
Passes Under Pressure,5.21,21
Switches,0.25,28
Crosses,0.25,7
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,10.79,16
Low Passes,3.97,35
High Passes,2.48,23
,,
Passes Attempted (Left),3.35,55
Passes Attempted (Right),9.42,23
Passes Attempted (Head),2.36,86
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.37,34
,,
Passes Completed,11.16,8
Passes Offside,0.25,8
Passes Out of Bounds,0.62,23
Passes Intercepted,0.62,96
Passes Blocked,1.12,40
Shot-Creating Actions,2.48,66
,,
SCA (PassLive),1.49,42
SCA (PassDead),0.00,36
SCA (Drib),0.00,3
SCA (Sh),0.12,19
SCA (Fld),0.25,73
SCA (Def),0.62,99
,,
Goal-Creating Actions,0.25,37
,,
GCA (PassLive),0.12,28
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.12,96
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,1.74,99
Tackles Won,0.87,92
Tackles (Def 3rd),0.37,93
Tackles (Mid 3rd),0.87,99
Tackles (Att 3rd),0.50,97
,,
Dribblers Tackled,0.25,79
Dribbles Contested,1.36,96
% of dribblers tackled,18.2%,30
Dribbled Past,1.12,3
,,
Pressures,23.55,98
Successful Pressures,4.83,75
Successful Pressure %,20.5%,1
Pressures (Def 3rd),2.60,90
Pressures (Mid 3rd),10.04,94
Pressures (Att 3rd),10.91,96
,,
Blocks,1.24,90
Shots Blocked,0.37,99
Shots Saved,0.00,48
Passes Blocked,0.87,74
,,
Interceptions,0.99,99
Tkl+Int,2.73,99
Clearances,0.87,74
Errors,0.00,53
Touches,33.10,34
Touches (Def Pen),1.12,74
Touches (Def 3rd),3.47,68
Touches (Mid 3rd),15.62,37
Touches (Att 3rd),15.62,27
Touches (Att Pen),3.84,10
Touches (Live-Ball),31.98,39
,,
Dribbles Completed,0.74,42
Dribbles Attempted,2.23,67
Successful Dribble %,33.3%,4
Players Dribbled Past,0.87,43
Nutmegs,0.12,69
,,
Carries,19.09,31
Total Carrying Distance,75.00,26
Progressive Carrying Distance,40.41,35
Progressive Carries,2.60,48
Carries into Final Third,0.99,58
Carries into Penalty Area,0.87,69
Miscontrols,5.08,1
Dispossessed,1.36,75
,,
Pass Targets,41.53,26
Passes Received,21.20,11
Passes Received %,51.0%,12
Progressive Passes Rec,5.95,23
Yellow Cards,0.37,3
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.23,10
Fouls Drawn,1.49,47
Offsides,1.86,1
Crosses,0.25,7
,,
Interceptions,0.99,99
Tackles Won,0.87,92
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.83,85
,,
Aerials won,2.73,69
Aerials lost,4.96,17
% of Aerials Won,35.5%,37
