--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.17,86
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.56,2
Red Cards,0.11,1
,,
xG,0.07,50
npxG,0.07,52
xA,0.09,62
npxG+xA,0.16,56
Goals,0.00,11
Shots Total,1.00,48
Shots on target,0.11,17
Shots on target %,11.1%,5
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,20.50,46
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.07,50
npxG,0.07,52
npxG/Sh,0.07,54
Goals - xG,-0.07,8
Non-Penalty Goals - npxG,-0.07,8
Passes Completed,36.08,34
Passes Attempted,47.51,43
Pass Completion %,75.9%,13
Total Passing Distance,632.57,25
Progressive Passing Distance,195.22,47
,,
Passes Completed (Short),16.62,47
Passes Attempted (Short),20.41,57
Pass Completion % (Short),81.4%,5
,,
Passes Completed (Medium),15.28,37
Passes Attempted (Medium),19.57,48
Pass Completion % (Medium),78.1%,5
,,
Passes Completed (Long),3.35,13
Passes Attempted (Long),5.69,21
Pass Completion % (Long),58.8%,19
Assists,0.17,86
xA,0.09,62
Key Passes,0.45,15
Passes into Final Third,3.85,50
Passes into Penalty Area,0.56,37
Crosses into Penalty Area,0.00,8
Progressive Passes,4.68,73
Passes Attempted,47.51,43
,,
Live-ball passes,45.95,45
Dead-ball passes,1.56,45
Passes from Free Kicks,1.56,64
Through Balls,0.22,86
Passes Under Pressure,7.81,45
Switches,0.56,9
Crosses,0.11,9
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,30.84,29
Low Passes,7.75,96
High Passes,8.92,65
,,
Passes Attempted (Left),6.80,53
Passes Attempted (Right),35.46,46
Passes Attempted (Head),3.46,96
Throw-Ins taken,0.00,6
Passes Attempted (Other),0.22,50
,,
Passes Completed,36.08,34
Passes Offside,0.17,48
Passes Out of Bounds,0.95,21
Passes Intercepted,1.95,16
Passes Blocked,0.95,53
Shot-Creating Actions,1.84,43
,,
SCA (PassLive),1.28,38
SCA (PassDead),0.00,23
SCA (Drib),0.11,77
SCA (Sh),0.17,84
SCA (Fld),0.06,42
SCA (Def),0.22,99
,,
Goal-Creating Actions,0.50,95
,,
GCA (PassLive),0.33,92
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.06,91
GCA (Fld),0.06,95
GCA (Def),0.06,98
Tackles,2.40,59
Tackles Won,1.51,58
Tackles (Def 3rd),1.06,63
Tackles (Mid 3rd),1.17,65
Tackles (Att 3rd),0.17,26
,,
Dribblers Tackled,0.78,57
Dribbles Contested,2.51,79
% of dribblers tackled,31.1%,24
Dribbled Past,1.73,15
,,
Pressures,20.46,69
Successful Pressures,6.41,69
Successful Pressure %,31.3%,61
Pressures (Def 3rd),5.69,46
Pressures (Mid 3rd),11.82,81
Pressures (Att 3rd),2.96,53
,,
Blocks,1.78,68
Shots Blocked,0.22,35
Shots Saved,0.00,45
Passes Blocked,1.56,76
,,
Interceptions,2.01,73
Tkl+Int,4.41,65
Clearances,1.39,61
Errors,0.00,67
Touches,57.55,38
Touches (Def Pen),2.34,46
Touches (Def 3rd),13.94,45
Touches (Mid 3rd),35.58,48
Touches (Att 3rd),10.48,28
Touches (Att Pen),1.17,49
Touches (Live-Ball),56.21,42
,,
Dribbles Completed,0.50,27
Dribbles Attempted,0.67,18
Successful Dribble %,75.0%,91
Players Dribbled Past,0.50,22
Nutmegs,0.00,17
,,
Carries,29.11,14
Total Carrying Distance,117.10,8
Progressive Carrying Distance,61.39,15
Progressive Carries,2.23,14
Carries into Final Third,0.78,24
Carries into Penalty Area,0.06,28
Miscontrols,0.67,69
Dispossessed,0.56,90
,,
Pass Targets,37.30,27
Passes Received,33.85,32
Passes Received %,90.7%,42
Progressive Passes Rec,1.67,48
Yellow Cards,0.56,2
Red Cards,0.11,1
Second Yellow Card,0.11,1
Fouls Committed,2.73,4
Fouls Drawn,1.45,55
Offsides,0.00,77
Crosses,0.11,9
,,
Interceptions,2.01,73
Tackles Won,1.51,58
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,12.77,96
,,
Aerials won,1.95,76
Aerials lost,1.39,35
% of Aerials Won,58.3%,78
