--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.37,44
Assists,0.12,53
Non-Penalty Goals,0.37,54
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.08,73
Red Cards,0.00,55
,,
xG,0.28,11
npxG,0.28,25
xA,0.18,81
npxG+xA,0.46,53
Goals,0.37,44
Shots Total,2.60,57
Shots on target,1.14,73
Shots on target %,43.8%,76
Goals/Shot,0.14,55
Goals/Shot on target,0.32,36
Average Shot Distance,16.40,20
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.28,11
npxG,0.28,25
npxG/Sh,0.11,22
Goals - xG,+0.09,76
Non-Penalty Goals - npxG,+0.09,78
Passes Completed,21.96,84
Passes Attempted,29.07,78
Pass Completion %,75.6%,78
Total Passing Distance,306.41,72
Progressive Passing Distance,76.73,81
,,
Passes Completed (Short),12.83,85
Passes Attempted (Short),15.99,84
Pass Completion % (Short),80.2%,63
,,
Passes Completed (Medium),6.66,81
Passes Attempted (Medium),8.97,81
Pass Completion % (Medium),74.2%,61
,,
Passes Completed (Long),1.01,42
Passes Attempted (Long),1.71,41
Pass Completion % (Long),59.5%,53
Assists,0.12,53
xA,0.18,81
Key Passes,1.01,53
Passes into Final Third,1.14,59
Passes into Penalty Area,1.18,88
Crosses into Penalty Area,0.37,95
Progressive Passes,1.99,76
Passes Attempted,29.07,78
,,
Live-ball passes,27.32,78
Dead-ball passes,1.75,63
Passes from Free Kicks,0.20,86
Through Balls,0.04,36
Passes Under Pressure,6.13,41
Switches,0.37,46
Crosses,1.83,92
Corner Kicks,0.12,83
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.04,84
Straight Corner Kicks,0.00,45
,,
Ground passes,23.34,89
Low Passes,3.45,19
High Passes,2.27,16
,,
Passes Attempted (Left),1.83,19
Passes Attempted (Right),25.29,92
Passes Attempted (Head),0.77,23
Throw-Ins taken,0.32,87
Passes Attempted (Other),0.37,33
,,
Passes Completed,21.96,84
Passes Offside,0.20,15
Passes Out of Bounds,0.20,86
Passes Intercepted,1.66,11
Passes Blocked,1.01,51
Shot-Creating Actions,2.80,79
,,
SCA (PassLive),1.75,60
SCA (PassDead),0.00,36
SCA (Drib),0.28,80
SCA (Sh),0.37,90
SCA (Fld),0.37,86
SCA (Def),0.04,41
,,
Goal-Creating Actions,0.49,81
,,
GCA (PassLive),0.28,76
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.12,95
GCA (Fld),0.08,84
GCA (Def),0.00,40
Tackles,0.73,54
Tackles Won,0.53,61
Tackles (Def 3rd),0.32,89
Tackles (Mid 3rd),0.16,22
Tackles (Att 3rd),0.24,50
,,
Dribblers Tackled,0.16,52
Dribbles Contested,0.41,21
% of dribblers tackled,40.0%,85
Dribbled Past,0.24,85
,,
Pressures,12.26,24
Successful Pressures,4.30,64
Successful Pressure %,35.1%,99
Pressures (Def 3rd),1.14,42
Pressures (Mid 3rd),5.12,29
Pressures (Att 3rd),6.01,25
,,
Blocks,0.73,46
Shots Blocked,0.08,32
Shots Saved,0.00,48
Passes Blocked,0.65,59
,,
Interceptions,0.61,84
Tkl+Int,1.34,69
Clearances,0.45,33
Errors,0.00,53
Touches,42.06,82
Touches (Def Pen),0.57,29
Touches (Def 3rd),3.61,73
Touches (Mid 3rd),18.27,65
Touches (Att 3rd),22.77,85
Touches (Att Pen),5.24,51
Touches (Live-Ball),40.47,81
,,
Dribbles Completed,1.18,73
Dribbles Attempted,2.44,73
Successful Dribble %,48.3%,47
Players Dribbled Past,1.30,73
Nutmegs,0.00,10
,,
Carries,29.88,84
Total Carrying Distance,160.19,89
Progressive Carrying Distance,91.79,88
Progressive Carries,5.76,92
Carries into Final Third,1.42,81
Carries into Penalty Area,1.42,91
Miscontrols,2.44,62
Dispossessed,2.11,32
,,
Pass Targets,46.08,53
Passes Received,31.87,78
Passes Received %,69.2%,86
Progressive Passes Rec,7.96,67
Yellow Cards,0.08,73
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,0.69,92
Fouls Drawn,1.99,78
Offsides,0.57,46
Crosses,1.83,92
,,
Interceptions,0.61,84
Tackles Won,0.53,61
Penalty Kicks Won,0.08,86
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.79,84
,,
Aerials won,0.57,8
Aerials lost,1.46,92
% of Aerials Won,28.0%,21
