--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.20,90
Assists,0.05,39
Non-Penalty Goals,0.20,93
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.15,75
Red Cards,0.00,61
,,
xG,0.16,90
npxG,0.16,93
xA,0.03,16
npxG+xA,0.19,70
Goals,0.20,90
Shots Total,1.14,59
Shots on target,0.40,74
Shots on target %,34.8%,78
Goals/Shot,0.17,93
Goals/Shot on target,0.50,86
Average Shot Distance,15.10,90
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.16,90
npxG,0.16,93
npxG/Sh,0.14,96
Goals - xG,+0.03,79
Non-Penalty Goals - npxG,+0.03,80
Passes Completed,39.26,43
Passes Attempted,46.29,38
Pass Completion %,84.8%,66
Total Passing Distance,779.19,51
Progressive Passing Distance,201.46,51
,,
Passes Completed (Short),14.74,31
Passes Attempted (Short),17.21,34
Pass Completion % (Short),85.6%,23
,,
Passes Completed (Medium),17.21,51
Passes Attempted (Medium),19.53,47
Pass Completion % (Medium),88.1%,52
,,
Passes Completed (Long),6.58,68
Passes Attempted (Long),7.86,48
Pass Completion % (Long),83.6%,95
Assists,0.05,39
xA,0.03,16
Key Passes,0.54,25
Passes into Final Third,2.52,20
Passes into Penalty Area,0.59,40
Crosses into Penalty Area,0.05,28
Progressive Passes,3.31,34
Passes Attempted,46.29,38
,,
Live-ball passes,44.11,39
Dead-ball passes,2.18,59
Passes from Free Kicks,1.98,74
Through Balls,0.00,11
Passes Under Pressure,8.36,58
Switches,1.19,40
Crosses,0.35,33
Corner Kicks,0.05,52
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.05,63
Straight Corner Kicks,0.00,38
,,
Ground passes,32.88,38
Low Passes,5.09,44
High Passes,8.31,60
,,
Passes Attempted (Left),4.65,28
Passes Attempted (Right),36.74,50
Passes Attempted (Head),2.97,90
Throw-Ins taken,0.15,49
Passes Attempted (Other),0.25,58
,,
Passes Completed,39.26,43
Passes Offside,0.10,73
Passes Out of Bounds,0.54,77
Passes Intercepted,1.14,78
Passes Blocked,0.74,76
Shot-Creating Actions,0.84,4
,,
SCA (PassLive),0.84,12
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.82,78
Tackles Won,1.83,77
Tackles (Def 3rd),1.34,85
Tackles (Mid 3rd),1.29,76
Tackles (Att 3rd),0.20,33
,,
Dribblers Tackled,1.09,87
Dribbles Contested,2.27,67
% of dribblers tackled,47.8%,90
Dribbled Past,1.19,52
,,
Pressures,18.74,55
Successful Pressures,6.87,82
Successful Pressure %,36.7%,96
Pressures (Def 3rd),6.08,54
Pressures (Mid 3rd),9.45,50
Pressures (Att 3rd),3.21,60
,,
Blocks,2.57,98
Shots Blocked,0.35,64
Shots Saved,0.00,45
Passes Blocked,2.23,98
,,
Interceptions,2.23,83
Tkl+Int,5.04,83
Clearances,2.18,91
Errors,0.05,13
Touches,58.95,43
Touches (Def Pen),4.65,96
Touches (Def 3rd),20.57,91
Touches (Mid 3rd),31.85,31
Touches (Att 3rd),9.59,18
Touches (Att Pen),1.98,80
Touches (Live-Ball),56.97,44
,,
Dribbles Completed,0.54,33
Dribbles Attempted,0.99,41
Successful Dribble %,55.0%,26
Players Dribbled Past,0.59,33
Nutmegs,0.00,17
,,
Carries,32.69,26
Total Carrying Distance,149.59,24
Progressive Carrying Distance,68.74,24
Progressive Carries,1.98,10
Carries into Final Third,0.59,12
Carries into Penalty Area,0.25,73
Miscontrols,0.69,67
Dispossessed,0.99,50
,,
Pass Targets,36.00,24
Passes Received,32.98,28
Passes Received %,91.6%,48
Progressive Passes Rec,2.13,63
Yellow Cards,0.15,75
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.04,88
Fouls Drawn,1.14,35
Offsides,0.10,15
Crosses,0.35,33
,,
Interceptions,2.23,83
Tackles Won,1.83,77
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,12.31,92
,,
Aerials won,2.32,86
Aerials lost,1.43,34
% of Aerials Won,61.8%,86
