--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.64,1
Red Cards,0.00,61
,,
xG,0.02,7
npxG,0.02,7
xA,0.01,6
npxG+xA,0.04,3
Goals,0.00,11
Shots Total,0.79,31
Shots on target,0.07,10
Shots on target %,9.1%,4
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,25.00,9
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.02,7
npxG,0.02,7
npxG/Sh,0.03,4
Goals - xG,-0.02,36
Non-Penalty Goals - npxG,-0.02,37
Passes Completed,26.43,9
Passes Attempted,35.43,10
Pass Completion %,74.6%,8
Total Passing Distance,478.14,8
Progressive Passing Distance,126.43,12
,,
Passes Completed (Short),12.21,14
Passes Attempted (Short),14.64,17
Pass Completion % (Short),83.4%,12
,,
Passes Completed (Medium),10.07,8
Passes Attempted (Medium),12.93,9
Pass Completion % (Medium),77.9%,4
,,
Passes Completed (Long),3.50,16
Passes Attempted (Long),5.93,24
Pass Completion % (Long),59.0%,19
Assists,0.00,11
xA,0.01,6
Key Passes,0.36,9
Passes into Final Third,2.50,18
Passes into Penalty Area,0.57,37
Crosses into Penalty Area,0.21,84
Progressive Passes,2.50,15
Passes Attempted,35.43,10
,,
Live-ball passes,34.50,12
Dead-ball passes,0.93,20
Passes from Free Kicks,0.71,26
Through Balls,0.07,49
Passes Under Pressure,7.29,32
Switches,0.64,12
Crosses,0.50,49
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,20.36,4
Low Passes,7.50,94
High Passes,7.57,50
,,
Passes Attempted (Left),4.21,23
Passes Attempted (Right),25.00,23
Passes Attempted (Head),3.36,96
Throw-Ins taken,0.21,64
Passes Attempted (Other),0.14,24
,,
Passes Completed,26.43,9
Passes Offside,0.07,82
Passes Out of Bounds,1.00,18
Passes Intercepted,1.36,59
Passes Blocked,1.07,38
Shot-Creating Actions,1.07,11
,,
SCA (PassLive),0.71,6
SCA (PassDead),0.00,23
SCA (Drib),0.14,84
SCA (Sh),0.00,9
SCA (Fld),0.21,93
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.64,71
Tackles Won,1.64,65
Tackles (Def 3rd),1.07,64
Tackles (Mid 3rd),1.57,92
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,1.07,85
Dribbles Contested,2.07,58
% of dribblers tackled,51.7%,94
Dribbled Past,1.00,71
,,
Pressures,20.57,69
Successful Pressures,5.29,43
Successful Pressure %,25.7%,12
Pressures (Def 3rd),6.93,70
Pressures (Mid 3rd),11.93,82
Pressures (Att 3rd),1.71,11
,,
Blocks,1.57,51
Shots Blocked,0.00,1
Shots Saved,0.00,45
Passes Blocked,1.57,78
,,
Interceptions,2.07,76
Tkl+Int,4.71,75
Clearances,2.29,91
Errors,0.00,67
Touches,47.93,12
Touches (Def Pen),2.43,49
Touches (Def 3rd),13.43,40
Touches (Mid 3rd),29.36,22
Touches (Att 3rd),7.43,10
Touches (Att Pen),0.50,12
Touches (Live-Ball),47.14,15
,,
Dribbles Completed,0.93,64
Dribbles Attempted,1.57,68
Successful Dribble %,59.1%,39
Players Dribbled Past,0.93,60
Nutmegs,0.07,67
,,
Carries,25.14,6
Total Carrying Distance,96.79,3
Progressive Carrying Distance,47.21,6
Progressive Carries,2.36,18
Carries into Final Third,0.79,25
Carries into Penalty Area,0.07,35
Miscontrols,0.36,95
Dispossessed,1.43,21
,,
Pass Targets,26.86,4
Passes Received,23.57,4
Passes Received %,87.8%,23
Progressive Passes Rec,0.79,15
Yellow Cards,0.64,1
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.93,2
Fouls Drawn,1.71,68
Offsides,0.00,77
Crosses,0.50,49
,,
Interceptions,2.07,76
Tackles Won,1.64,65
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,12.71,96
,,
Aerials won,3.07,95
Aerials lost,2.43,3
% of Aerials Won,55.8%,72
