--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.36,43
Assists,0.36,97
Non-Penalty Goals,0.36,53
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.36,4
Red Cards,0.00,55
,,
xG,0.27,9
npxG,0.27,23
xA,0.20,84
npxG+xA,0.47,55
Goals,0.36,43
Shots Total,2.17,26
Shots on target,0.72,18
Shots on target %,33.3%,26
Goals/Shot,0.17,76
Goals/Shot on target,0.50,92
Average Shot Distance,11.30,97
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.27,9
npxG,0.27,23
npxG/Sh,0.13,45
Goals - xG,+0.09,76
Non-Penalty Goals - npxG,+0.09,78
Passes Completed,13.19,20
Passes Attempted,19.70,23
Pass Completion %,67.0%,25
Total Passing Distance,176.02,15
Progressive Passing Distance,14.28,1
,,
Passes Completed (Short),8.13,31
Passes Attempted (Short),11.75,46
Pass Completion % (Short),69.2%,7
,,
Passes Completed (Medium),3.61,15
Passes Attempted (Medium),4.70,8
Pass Completion % (Medium),76.9%,74
,,
Passes Completed (Long),0.72,18
Passes Attempted (Long),1.08,9
Pass Completion % (Long),66.7%,75
Assists,0.36,97
xA,0.20,84
Key Passes,1.45,87
Passes into Final Third,0.18,1
Passes into Penalty Area,0.36,16
Crosses into Penalty Area,0.00,7
Progressive Passes,0.54,2
Passes Attempted,19.70,23
,,
Live-ball passes,17.35,16
Dead-ball passes,2.35,85
Passes from Free Kicks,0.00,20
Through Balls,0.00,11
Passes Under Pressure,5.60,30
Switches,0.00,1
Crosses,0.54,36
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,12.29,31
Low Passes,5.78,84
High Passes,1.63,3
,,
Passes Attempted (Left),6.69,77
Passes Attempted (Right),10.12,25
Passes Attempted (Head),0.90,34
Throw-Ins taken,0.00,6
Passes Attempted (Other),1.08,95
,,
Passes Completed,13.19,20
Passes Offside,0.00,94
Passes Out of Bounds,0.18,93
Passes Intercepted,1.45,26
Passes Blocked,1.45,15
Shot-Creating Actions,1.81,21
,,
SCA (PassLive),1.63,52
SCA (PassDead),0.00,36
SCA (Drib),0.00,3
SCA (Sh),0.18,38
SCA (Fld),0.00,1
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.54,90
,,
GCA (PassLive),0.54,99
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,1.27,91
Tackles Won,0.90,95
Tackles (Def 3rd),0.36,93
Tackles (Mid 3rd),0.54,82
Tackles (Att 3rd),0.36,85
,,
Dribblers Tackled,0.00,3
Dribbles Contested,0.00,1
Dribbled Past,0.00,99
,,
Pressures,18.80,86
Successful Pressures,5.96,96
Successful Pressure %,31.7%,95
Pressures (Def 3rd),1.81,79
Pressures (Mid 3rd),7.95,81
Pressures (Att 3rd),9.04,81
,,
Blocks,0.54,17
Shots Blocked,0.00,4
Shots Saved,0.00,48
Passes Blocked,0.54,39
,,
Interceptions,0.00,1
Tkl+Int,1.27,59
Clearances,0.72,58
Errors,0.00,53
Touches,31.45,23
Touches (Def Pen),1.08,70
Touches (Def 3rd),2.71,43
Touches (Mid 3rd),15.54,37
Touches (Att 3rd),14.28,15
Touches (Att Pen),4.16,17
Touches (Live-Ball),29.10,19
,,
Dribbles Completed,0.00,1
Dribbles Attempted,0.72,8
Successful Dribble %,0.0%,1
Players Dribbled Past,0.18,1
Nutmegs,0.00,10
,,
Carries,17.89,23
Total Carrying Distance,51.69,7
Progressive Carrying Distance,20.24,6
Progressive Carries,1.45,9
Carries into Final Third,0.36,7
Carries into Penalty Area,0.36,20
Miscontrols,3.98,6
Dispossessed,1.27,82
,,
Pass Targets,41.20,23
Passes Received,22.23,21
Passes Received %,53.9%,23
Progressive Passes Rec,7.05,49
Yellow Cards,0.36,4
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.71,4
Fouls Drawn,1.27,31
Offsides,0.54,51
Crosses,0.54,36
,,
Interceptions,0.00,1
Tackles Won,0.90,95
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.80,41
,,
Aerials won,2.71,69
Aerials lost,3.07,52
% of Aerials Won,46.9%,77
