--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,49
Assists,0.04,77
Non-Penalty Goals,0.04,49
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.08,91
Red Cards,0.00,64
,,
xG,0.02,19
npxG,0.02,19
xA,0.05,94
npxG+xA,0.08,67
Goals,0.04,49
Shots Total,0.46,46
Shots on target,0.08,30
Shots on target %,16.7%,21
Goals/Shot,0.08,49
Goals/Shot on target,0.50,70
Average Shot Distance,22.00,4
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.02,19
npxG,0.02,19
npxG/Sh,0.05,12
Goals - xG,+0.02,71
Non-Penalty Goals - npxG,+0.02,71
Passes Completed,57.23,80
Passes Attempted,70.03,88
Pass Completion %,81.7%,25
Total Passing Distance,1293.46,83
Progressive Passing Distance,470.12,94
,,
Passes Completed (Short),16.64,80
Passes Attempted (Short),18.25,80
Pass Completion % (Short),91.2%,54
,,
Passes Completed (Medium),28.71,76
Passes Attempted (Medium),30.93,76
Pass Completion % (Medium),92.8%,61
,,
Passes Completed (Long),11.54,87
Passes Attempted (Long),19.78,99
Pass Completion % (Long),58.3%,11
Assists,0.04,77
xA,0.05,94
Key Passes,0.50,97
Passes into Final Third,4.22,84
Passes into Penalty Area,0.54,94
Crosses into Penalty Area,0.04,70
Progressive Passes,4.45,91
Passes Attempted,70.03,88
,,
Live-ball passes,66.58,87
Dead-ball passes,3.45,84
Passes from Free Kicks,1.26,27
Through Balls,0.08,87
Passes Under Pressure,5.71,59
Switches,2.26,83
Crosses,0.38,87
Corner Kicks,0.04,98
,,
Inswinging Corner Kicks,0.04,99
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,47.49,74
Low Passes,7.21,97
High Passes,15.33,98
,,
Passes Attempted (Left),57.04,98
Passes Attempted (Right),6.90,13
Passes Attempted (Head),2.68,56
Throw-Ins taken,2.15,91
Passes Attempted (Other),0.08,20
,,
Passes Completed,57.23,80
Passes Offside,0.31,4
Passes Out of Bounds,1.34,7
Passes Intercepted,1.46,9
Passes Blocked,1.15,4
Shot-Creating Actions,0.84,82
,,
SCA (PassLive),0.69,82
SCA (PassDead),0.08,95
SCA (Drib),0.00,42
SCA (Sh),0.04,51
SCA (Fld),0.00,36
SCA (Def),0.04,76
,,
Goal-Creating Actions,0.08,66
,,
GCA (PassLive),0.08,80
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.72,56
Tackles Won,0.92,48
Tackles (Def 3rd),1.03,50
Tackles (Mid 3rd),0.65,75
Tackles (Att 3rd),0.04,36
,,
Dribblers Tackled,0.88,79
Dribbles Contested,1.57,77
% of dribblers tackled,56.1%,63
Dribbled Past,0.69,27
,,
Pressures,9.85,62
Successful Pressures,3.64,61
Successful Pressure %,37.0%,61
Pressures (Def 3rd),5.37,58
Pressures (Mid 3rd),3.79,65
Pressures (Att 3rd),0.69,75
,,
Blocks,2.22,90
Shots Blocked,0.88,67
Shots Saved,0.00,32
Passes Blocked,1.34,93
,,
Interceptions,2.76,89
Tkl+Int,4.48,77
Clearances,4.14,49
Errors,0.00,83
Touches,80.92,90
Touches (Def Pen),10.39,78
Touches (Def 3rd),42.39,91
Touches (Mid 3rd),39.60,86
Touches (Att 3rd),5.02,81
Touches (Att Pen),0.54,23
Touches (Live-Ball),77.58,88
,,
Dribbles Completed,0.15,40
Dribbles Attempted,0.27,49
Successful Dribble %,57.1%,28
Players Dribbled Past,0.15,38
Nutmegs,0.00,37
,,
Carries,52.70,88
Total Carrying Distance,272.49,81
Progressive Carrying Distance,135.50,73
Progressive Carries,2.64,62
Carries into Final Third,0.69,75
Carries into Penalty Area,0.00,31
Miscontrols,0.15,77
Dispossessed,0.19,53
,,
Pass Targets,55.43,85
Passes Received,54.39,85
Passes Received %,98.1%,56
Progressive Passes Rec,0.35,83
Yellow Cards,0.08,91
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.84,69
Fouls Drawn,0.42,31
Offsides,0.00,79
Crosses,0.38,87
,,
Interceptions,2.76,89
Tackles Won,0.92,48
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.04,11
Ball Recoveries,10.66,79
,,
Aerials won,2.30,38
Aerials lost,1.65,40
% of Aerials Won,58.3%,28
