--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.30,31
Assists,0.09,34
Non-Penalty Goals,0.30,45
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.00,97
Red Cards,0.00,55
,,
xG,0.36,43
npxG,0.36,61
xA,0.08,24
npxG+xA,0.44,49
Goals,0.30,31
Shots Total,1.94,10
Shots on target,0.60,7
Shots on target %,31.1%,18
Goals/Shot,0.16,69
Goals/Shot on target,0.50,92
Average Shot Distance,12.00,89
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.36,43
npxG,0.36,61
npxG/Sh,0.19,97
Goals - xG,-0.06,26
Non-Penalty Goals - npxG,-0.06,26
Passes Completed,19.63,74
Passes Attempted,27.16,73
Pass Completion %,72.3%,58
Total Passing Distance,302.45,71
Progressive Passing Distance,96.63,88
,,
Passes Completed (Short),10.63,68
Passes Attempted (Short),13.56,69
Pass Completion % (Short),78.4%,53
,,
Passes Completed (Medium),6.50,77
Passes Attempted (Medium),8.87,79
Pass Completion % (Medium),73.3%,59
,,
Passes Completed (Long),1.42,65
Passes Attempted (Long),2.24,62
Pass Completion % (Long),63.5%,62
Assists,0.09,34
xA,0.08,24
Key Passes,0.82,30
Passes into Final Third,0.69,25
Passes into Penalty Area,1.42,92
Crosses into Penalty Area,0.47,98
Progressive Passes,2.07,77
Passes Attempted,27.16,73
,,
Live-ball passes,24.23,68
Dead-ball passes,2.93,92
Passes from Free Kicks,0.04,55
Through Balls,0.00,11
Passes Under Pressure,5.94,37
Switches,0.52,62
Crosses,2.02,94
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,15.37,60
Low Passes,7.27,93
High Passes,4.52,68
,,
Passes Attempted (Left),2.07,28
Passes Attempted (Right),19.11,81
Passes Attempted (Head),1.29,59
Throw-Ins taken,2.50,99
Passes Attempted (Other),0.73,79
,,
Passes Completed,19.63,74
Passes Offside,0.00,94
Passes Out of Bounds,0.56,32
Passes Intercepted,1.51,19
Passes Blocked,1.51,10
Shot-Creating Actions,2.28,52
,,
SCA (PassLive),1.81,66
SCA (PassDead),0.04,81
SCA (Drib),0.13,43
SCA (Sh),0.22,53
SCA (Fld),0.09,17
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.26,41
,,
GCA (PassLive),0.13,31
GCA (PassDead),0.00,46
GCA (Drib),0.04,68
GCA (Sh),0.09,87
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,1.08,80
Tackles Won,0.77,86
Tackles (Def 3rd),0.30,87
Tackles (Mid 3rd),0.47,73
Tackles (Att 3rd),0.30,70
,,
Dribblers Tackled,0.17,59
Dribbles Contested,0.60,47
% of dribblers tackled,28.6%,58
Dribbled Past,0.43,55
,,
Pressures,16.23,64
Successful Pressures,5.04,81
Successful Pressure %,31.0%,95
Pressures (Def 3rd),2.32,86
Pressures (Mid 3rd),6.03,48
Pressures (Att 3rd),7.88,63
,,
Blocks,1.03,80
Shots Blocked,0.13,58
Shots Saved,0.00,48
Passes Blocked,0.90,77
,,
Interceptions,0.47,66
Tkl+Int,1.55,78
Clearances,0.90,76
Errors,0.00,53
Touches,39.34,68
Touches (Def Pen),1.21,80
Touches (Def 3rd),5.08,96
Touches (Mid 3rd),15.54,37
Touches (Att 3rd),20.79,76
Touches (Att Pen),4.65,28
Touches (Live-Ball),36.46,60
,,
Dribbles Completed,0.86,51
Dribbles Attempted,1.98,61
Successful Dribble %,43.5%,28
Players Dribbled Past,1.08,59
Nutmegs,0.04,32
,,
Carries,24.32,61
Total Carrying Distance,106.44,54
Progressive Carrying Distance,57.80,61
Progressive Carries,3.19,61
Carries into Final Third,0.86,49
Carries into Penalty Area,0.73,64
Miscontrols,2.80,46
Dispossessed,1.85,41
,,
Pass Targets,42.87,36
Passes Received,27.16,55
Passes Received %,63.4%,71
Progressive Passes Rec,6.33,34
Yellow Cards,0.00,97
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.42,44
Fouls Drawn,0.99,15
Offsides,0.47,68
Crosses,2.02,94
,,
Interceptions,0.47,66
Tackles Won,0.77,86
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.61,76
,,
Aerials won,1.98,50
Aerials lost,3.70,39
% of Aerials Won,34.8%,34
