--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,50
Assists,0.24,94
Non-Penalty Goals,0.03,50
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.21,41
Red Cards,0.00,60
,,
xG,0.03,36
npxG,0.03,36
xA,0.17,89
npxG+xA,0.20,79
Goals,0.03,50
Shots Total,0.45,31
Shots on target,0.17,54
Shots on target %,38.5%,82
Goals/Shot,0.08,64
Goals/Shot on target,0.20,49
Average Shot Distance,17.90,66
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,36
npxG,0.03,36
npxG/Sh,0.06,47
Goals - xG,+0.01,64
Non-Penalty Goals - npxG,+0.01,64
Passes Completed,42.89,59
Passes Attempted,52.52,51
Pass Completion %,81.7%,75
Total Passing Distance,687.89,44
Progressive Passing Distance,207.19,8
,,
Passes Completed (Short),21.96,74
Passes Attempted (Short),24.25,71
Pass Completion % (Short),90.6%,74
,,
Passes Completed (Medium),17.46,57
Passes Attempted (Medium),20.75,51
Pass Completion % (Medium),84.1%,69
,,
Passes Completed (Long),2.77,14
Passes Attempted (Long),5.27,10
Pass Completion % (Long),52.6%,52
Assists,0.24,94
xA,0.17,89
Key Passes,1.21,76
Passes into Final Third,1.66,11
Passes into Penalty Area,1.04,53
Crosses into Penalty Area,0.42,49
Progressive Passes,2.70,19
Passes Attempted,52.52,51
,,
Live-ball passes,42.82,51
Dead-ball passes,9.70,51
Passes from Free Kicks,0.73,37
Through Balls,0.00,18
Passes Under Pressure,6.58,62
Switches,0.35,3
Crosses,2.46,61
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,34.16,64
Low Passes,11.26,58
High Passes,7.10,11
,,
Passes Attempted (Left),5.27,34
Passes Attempted (Right),36.44,74
Passes Attempted (Head),0.87,4
Throw-Ins taken,8.97,61
Passes Attempted (Other),0.07,25
,,
Passes Completed,42.89,59
Passes Offside,0.17,44
Passes Out of Bounds,0.62,81
Passes Intercepted,1.32,88
Passes Blocked,1.80,47
Shot-Creating Actions,2.25,76
,,
SCA (PassLive),1.87,83
SCA (PassDead),0.03,16
SCA (Drib),0.21,95
SCA (Sh),0.03,36
SCA (Fld),0.10,78
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.42,93
,,
GCA (PassLive),0.38,99
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.03,82
GCA (Def),0.00,46
Tackles,1.39,14
Tackles Won,0.87,20
Tackles (Def 3rd),0.97,29
Tackles (Mid 3rd),0.42,15
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,0.45,8
Dribbles Contested,0.90,3
% of dribblers tackled,50.0%,58
Dribbled Past,0.45,96
,,
Pressures,13.96,63
Successful Pressures,4.02,54
Successful Pressure %,28.8%,29
Pressures (Def 3rd),6.58,73
Pressures (Mid 3rd),4.82,48
Pressures (Att 3rd),2.56,61
,,
Blocks,2.04,66
Shots Blocked,0.28,47
Shots Saved,0.00,41
Passes Blocked,1.77,68
,,
Interceptions,1.77,46
Tkl+Int,3.15,21
Clearances,1.63,33
Errors,0.03,27
Touches,64.54,56
Touches (Def Pen),3.29,49
Touches (Def 3rd),21.30,69
Touches (Mid 3rd),31.97,64
Touches (Att 3rd),18.36,51
Touches (Att Pen),2.88,90
Touches (Live-Ball),55.39,57
,,
Dribbles Completed,2.01,97
Dribbles Attempted,3.36,96
Successful Dribble %,59.8%,76
Players Dribbled Past,2.18,97
Nutmegs,0.21,91
,,
Carries,43.96,74
Total Carrying Distance,280.08,94
Progressive Carrying Distance,191.74,99
Progressive Carries,8.52,98
Carries into Final Third,3.39,99
Carries into Penalty Area,1.42,98
Miscontrols,1.18,25
Dispossessed,1.42,9
,,
Pass Targets,42.96,59
Passes Received,39.46,61
Passes Received %,91.9%,62
Progressive Passes Rec,2.29,53
Yellow Cards,0.21,41
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.97,67
Fouls Drawn,2.18,97
Offsides,0.14,22
Crosses,2.46,61
,,
Interceptions,1.77,46
Tackles Won,0.87,20
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.07,4
Own Goals,0.03,9
Ball Recoveries,7.48,36
,,
Aerials won,1.07,43
Aerials lost,1.07,59
% of Aerials Won,50.0%,51
