--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.15,98
Assists,0.00,31
Non-Penalty Goals,0.15,99
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.00,99
Red Cards,0.00,64
,,
xG,0.13,99
npxG,0.13,99
xA,0.01,56
npxG+xA,0.15,99
Goals,0.15,98
Shots Total,1.79,99
Shots on target,0.45,99
Shots on target %,25.0%,47
Goals/Shot,0.08,49
Goals/Shot on target,0.33,51
Average Shot Distance,16.90,14
Shots from free kicks,0.15,99
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.13,99
npxG,0.13,99
npxG/Sh,0.08,43
Goals - xG,+0.01,70
Non-Penalty Goals - npxG,+0.01,70
Passes Completed,33.38,18
Passes Attempted,43.06,26
Pass Completion %,77.5%,9
Total Passing Distance,711.51,15
Progressive Passing Distance,260.76,28
,,
Passes Completed (Short),9.54,29
Passes Attempted (Short),12.07,38
Pass Completion % (Short),79.0%,2
,,
Passes Completed (Medium),16.09,15
Passes Attempted (Medium),18.18,14
Pass Completion % (Medium),88.5%,22
,,
Passes Completed (Long),6.85,32
Passes Attempted (Long),11.03,43
Pass Completion % (Long),62.2%,22
Assists,0.00,31
xA,0.01,56
Key Passes,0.30,83
Passes into Final Third,2.68,53
Passes into Penalty Area,0.89,99
Crosses into Penalty Area,0.15,95
Progressive Passes,2.83,63
Passes Attempted,43.06,26
,,
Live-ball passes,40.38,25
Dead-ball passes,2.68,69
Passes from Free Kicks,2.53,93
Through Balls,0.00,27
Passes Under Pressure,5.81,62
Switches,1.04,27
Crosses,0.45,91
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,28.61,21
Low Passes,4.77,70
High Passes,9.69,59
,,
Passes Attempted (Left),4.17,18
Passes Attempted (Right),33.53,51
Passes Attempted (Head),2.98,69
Throw-Ins taken,0.00,1
Passes Attempted (Other),0.00,1
,,
Passes Completed,33.38,18
Passes Offside,0.00,97
Passes Out of Bounds,0.60,78
Passes Intercepted,0.89,52
Passes Blocked,1.64,1
Shot-Creating Actions,0.89,84
,,
SCA (PassLive),0.60,75
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.15,96
SCA (Fld),0.00,36
SCA (Def),0.15,99
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.38,87
Tackles Won,1.79,97
Tackles (Def 3rd),1.04,51
Tackles (Mid 3rd),1.34,99
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,1.19,95
Dribbles Contested,1.64,81
% of dribblers tackled,72.7%,98
Dribbled Past,0.45,63
,,
Pressures,11.62,81
Successful Pressures,5.36,94
Successful Pressure %,46.2%,99
Pressures (Def 3rd),6.11,74
Pressures (Mid 3rd),5.07,87
Pressures (Att 3rd),0.45,47
,,
Blocks,2.09,81
Shots Blocked,0.75,47
Shots Saved,0.00,32
Passes Blocked,1.34,93
,,
Interceptions,3.13,95
Tkl+Int,5.51,96
Clearances,3.87,38
Errors,0.00,83
Touches,56.47,34
Touches (Def Pen),5.66,7
Touches (Def 3rd),25.78,12
Touches (Mid 3rd),27.86,44
Touches (Att 3rd),6.71,89
Touches (Att Pen),1.64,97
Touches (Live-Ball),54.09,34
,,
Dribbles Completed,0.15,39
Dribbles Attempted,0.60,86
Successful Dribble %,25.0%,6
Players Dribbled Past,0.15,37
Nutmegs,0.00,37
,,
Carries,30.10,27
Total Carrying Distance,208.76,54
Progressive Carrying Distance,112.50,58
Progressive Carries,2.24,49
Carries into Final Third,0.75,79
Carries into Penalty Area,0.15,97
Miscontrols,0.30,37
Dispossessed,0.30,30
,,
Pass Targets,30.84,23
Passes Received,29.35,23
Passes Received %,95.2%,5
Progressive Passes Rec,0.30,77
Yellow Cards,0.00,99
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,2.09,1
Fouls Drawn,1.34,96
Offsides,0.00,79
Crosses,0.45,91
,,
Interceptions,3.13,95
Tackles Won,1.79,97
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,11.47,88
,,
Aerials won,4.62,98
Aerials lost,2.24,11
% of Aerials Won,67.4%,73
