--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.16,84
Assists,0.34,98
Non-Penalty Goals,0.16,87
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.29,32
Red Cards,0.00,61
,,
xG,0.17,91
npxG,0.17,93
xA,0.18,92
npxG+xA,0.35,96
Goals,0.16,84
Shots Total,1.66,90
Shots on target,0.47,85
Shots on target %,28.1%,55
Goals/Shot,0.09,67
Goals/Shot on target,0.33,67
Average Shot Distance,17.90,74
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.17,91
npxG,0.17,93
npxG/Sh,0.10,84
Goals - xG,-0.01,46
Non-Penalty Goals - npxG,-0.01,46
Passes Completed,42.87,56
Passes Attempted,50.84,54
Pass Completion %,84.3%,62
Total Passing Distance,758.49,48
Progressive Passing Distance,173.20,32
,,
Passes Completed (Short),19.76,69
Passes Attempted (Short),22.36,70
Pass Completion % (Short),88.4%,51
,,
Passes Completed (Medium),17.51,53
Passes Attempted (Medium),19.56,48
Pass Completion % (Medium),89.5%,65
,,
Passes Completed (Long),4.67,34
Passes Attempted (Long),6.59,35
Pass Completion % (Long),70.9%,56
Assists,0.34,98
xA,0.18,92
Key Passes,1.22,75
Passes into Final Third,4.05,55
Passes into Penalty Area,1.06,77
Crosses into Penalty Area,0.05,29
Progressive Passes,4.41,66
Passes Attempted,50.84,54
,,
Live-ball passes,49.72,59
Dead-ball passes,1.12,29
Passes from Free Kicks,0.78,29
Through Balls,0.26,92
Passes Under Pressure,10.48,87
Switches,1.69,61
Crosses,0.60,55
Corner Kicks,0.10,62
,,
Inswinging Corner Kicks,0.03,60
Outswinging Corner Kicks,0.05,64
Straight Corner Kicks,0.00,38
,,
Ground passes,39.97,63
Low Passes,5.58,60
High Passes,5.29,14
,,
Passes Attempted (Left),8.38,64
Passes Attempted (Right),39.35,57
Passes Attempted (Head),1.30,21
Throw-Ins taken,0.23,66
Passes Attempted (Other),0.54,95
,,
Passes Completed,42.87,56
Passes Offside,0.29,13
Passes Out of Bounds,0.78,38
Passes Intercepted,1.92,17
Passes Blocked,1.56,9
Shot-Creating Actions,3.16,91
,,
SCA (PassLive),2.15,83
SCA (PassDead),0.00,23
SCA (Drib),0.42,99
SCA (Sh),0.10,65
SCA (Fld),0.34,98
SCA (Def),0.16,94
,,
Goal-Creating Actions,0.65,99
,,
GCA (PassLive),0.42,97
GCA (PassDead),0.00,39
GCA (Drib),0.08,99
GCA (Sh),0.00,35
GCA (Fld),0.08,98
GCA (Def),0.08,99
Tackles,2.18,47
Tackles Won,1.37,46
Tackles (Def 3rd),0.62,19
Tackles (Mid 3rd),1.14,62
Tackles (Att 3rd),0.42,86
,,
Dribblers Tackled,0.70,44
Dribbles Contested,1.76,38
% of dribblers tackled,39.7%,63
Dribbled Past,1.06,64
,,
Pressures,21.09,73
Successful Pressures,6.90,83
Successful Pressure %,32.7%,75
Pressures (Def 3rd),4.49,19
Pressures (Mid 3rd),10.82,71
Pressures (Att 3rd),5.78,96
,,
Blocks,2.05,86
Shots Blocked,0.16,20
Shots Saved,0.00,45
Passes Blocked,1.89,95
,,
Interceptions,1.53,35
Tkl+Int,3.71,38
Clearances,0.93,28
Errors,0.05,12
Touches,67.10,69
Touches (Def Pen),1.66,21
Touches (Def 3rd),12.35,29
Touches (Mid 3rd),39.58,68
Touches (Att 3rd),19.58,85
Touches (Att Pen),3.40,97
Touches (Live-Ball),66.32,73
,,
Dribbles Completed,1.87,97
Dribbles Attempted,3.50,99
Successful Dribble %,53.3%,23
Players Dribbled Past,2.02,98
Nutmegs,0.10,78
,,
Carries,48.99,79
Total Carrying Distance,213.98,66
Progressive Carrying Distance,118.04,76
Progressive Carries,5.50,83
Carries into Final Third,1.50,72
Carries into Penalty Area,0.60,97
Miscontrols,2.00,3
Dispossessed,1.89,5
,,
Pass Targets,58.51,85
Passes Received,50.34,77
Passes Received %,86.0%,16
Progressive Passes Rec,5.76,97
Yellow Cards,0.29,32
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.45,64
Fouls Drawn,3.19,99
Offsides,0.16,6
Crosses,0.60,55
,,
Interceptions,1.53,35
Tackles Won,1.37,46
Penalty Kicks Won,0.03,87
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,7.68,12
,,
Aerials won,1.37,58
Aerials lost,1.48,30
% of Aerials Won,48.2%,46
