--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.13,89
Assists,0.00,10
Non-Penalty Goals,0.13,90
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.19,46
Red Cards,0.00,60
,,
xG,0.10,90
npxG,0.10,92
xA,0.12,72
npxG+xA,0.22,84
Goals,0.13,89
Shots Total,1.01,83
Shots on target,0.38,90
Shots on target %,37.5%,79
Goals/Shot,0.13,81
Goals/Shot on target,0.33,69
Average Shot Distance,18.80,59
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.10,90
npxG,0.10,92
npxG/Sh,0.10,86
Goals - xG,+0.03,77
Non-Penalty Goals - npxG,+0.03,76
Passes Completed,31.05,14
Passes Attempted,41.13,9
Pass Completion %,75.5%,40
Total Passing Distance,587.61,20
Progressive Passing Distance,201.85,8
,,
Passes Completed (Short),13.73,15
Passes Attempted (Short),16.12,15
Pass Completion % (Short),85.2%,18
,,
Passes Completed (Medium),12.47,13
Passes Attempted (Medium),15.12,7
Pass Completion % (Medium),82.5%,59
,,
Passes Completed (Long),4.47,58
Passes Attempted (Long),7.87,47
Pass Completion % (Long),56.8%,73
Assists,0.00,10
xA,0.12,72
Key Passes,1.07,67
Passes into Final Third,2.27,37
Passes into Penalty Area,1.39,80
Crosses into Penalty Area,0.88,94
Progressive Passes,2.14,5
Passes Attempted,41.13,9
,,
Live-ball passes,33.00,11
Dead-ball passes,8.12,19
Passes from Free Kicks,0.44,14
Through Balls,0.00,18
Passes Under Pressure,5.92,41
Switches,1.01,47
Crosses,2.46,60
Corner Kicks,0.06,56
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,20.41,9
Low Passes,12.09,72
High Passes,8.63,22
,,
Passes Attempted (Left),3.28,13
Passes Attempted (Right),26.52,48
Passes Attempted (Head),2.71,84
Throw-Ins taken,7.62,28
Passes Attempted (Other),0.06,22
,,
Passes Completed,31.05,14
Passes Offside,0.06,85
Passes Out of Bounds,0.69,70
Passes Intercepted,1.51,76
Passes Blocked,1.57,63
Shot-Creating Actions,1.95,64
,,
SCA (PassLive),1.57,68
SCA (PassDead),0.06,37
SCA (Drib),0.06,57
SCA (Sh),0.25,99
SCA (Fld),0.00,10
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.19,52
,,
GCA (PassLive),0.13,45
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.06,98
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,1.83,34
Tackles Won,0.94,28
Tackles (Def 3rd),0.57,5
Tackles (Mid 3rd),1.13,96
Tackles (Att 3rd),0.13,14
,,
Dribblers Tackled,0.94,56
Dribbles Contested,1.64,37
% of dribblers tackled,57.7%,81
Dribbled Past,0.69,77
,,
Pressures,16.31,83
Successful Pressures,5.04,82
Successful Pressure %,30.9%,49
Pressures (Def 3rd),6.24,69
Pressures (Mid 3rd),7.37,95
Pressures (Att 3rd),2.71,70
,,
Blocks,1.32,10
Shots Blocked,0.25,45
Shots Saved,0.00,41
Passes Blocked,1.07,8
,,
Interceptions,1.57,31
Tkl+Int,3.40,25
Clearances,1.89,47
Errors,0.00,70
Touches,51.33,6
Touches (Def Pen),3.09,40
Touches (Def 3rd),16.00,19
Touches (Mid 3rd),23.30,11
Touches (Att 3rd),15.87,31
Touches (Att Pen),1.64,63
Touches (Live-Ball),43.27,9
,,
Dribbles Completed,1.13,78
Dribbles Attempted,2.14,77
Successful Dribble %,52.9%,55
Players Dribbled Past,1.45,84
Nutmegs,0.19,88
,,
Carries,29.66,20
Total Carrying Distance,160.29,28
Progressive Carrying Distance,78.54,18
Progressive Carries,3.46,25
Carries into Final Third,1.64,58
Carries into Penalty Area,0.19,35
Miscontrols,1.07,34
Dispossessed,0.88,41
,,
Pass Targets,28.72,8
Passes Received,25.07,6
Passes Received %,87.3%,16
Progressive Passes Rec,1.20,17
Yellow Cards,0.19,46
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.01,63
Fouls Drawn,0.76,30
Offsides,0.00,89
Crosses,2.46,60
,,
Interceptions,1.57,31
Tackles Won,0.94,28
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,10.14,96
,,
Aerials won,1.51,73
Aerials lost,2.33,1
% of Aerials Won,39.3%,21
