--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.36,43
Assists,0.36,97
Non-Penalty Goals,0.36,53
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.18,36
Red Cards,0.00,55
,,
xG,0.49,76
npxG,0.49,87
xA,0.34,99
npxG+xA,0.83,98
Goals,0.36,43
Shots Total,2.89,72
Shots on target,1.26,82
Shots on target %,43.8%,76
Goals/Shot,0.13,44
Goals/Shot on target,0.29,26
Average Shot Distance,11.10,98
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.49,76
npxG,0.49,87
npxG/Sh,0.17,81
Goals - xG,-0.13,9
Non-Penalty Goals - npxG,-0.13,12
Passes Completed,22.91,88
Passes Attempted,33.19,90
Pass Completion %,69.0%,32
Total Passing Distance,337.64,82
Progressive Passing Distance,70.16,80
,,
Passes Completed (Short),13.35,88
Passes Attempted (Short),18.04,91
Pass Completion % (Short),74.0%,21
,,
Passes Completed (Medium),7.58,88
Passes Attempted (Medium),10.64,89
Pass Completion % (Medium),71.2%,46
,,
Passes Completed (Long),1.44,66
Passes Attempted (Long),2.53,69
Pass Completion % (Long),57.1%,44
Assists,0.36,97
xA,0.34,99
Key Passes,1.08,60
Passes into Final Third,1.62,82
Passes into Penalty Area,0.90,69
Crosses into Penalty Area,0.00,7
Progressive Passes,2.71,88
Passes Attempted,33.19,90
,,
Live-ball passes,32.46,93
Dead-ball passes,0.72,13
Passes from Free Kicks,0.00,20
Through Balls,0.36,99
Passes Under Pressure,14.07,99
Switches,0.00,1
Crosses,0.54,36
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,16.95,72
Low Passes,8.12,97
High Passes,8.12,95
,,
Passes Attempted (Left),4.87,70
Passes Attempted (Right),15.15,58
Passes Attempted (Head),3.43,96
Throw-Ins taken,0.00,6
Passes Attempted (Other),1.62,99
,,
Passes Completed,22.91,88
Passes Offside,0.18,18
Passes Out of Bounds,0.90,4
Passes Intercepted,0.90,81
Passes Blocked,1.08,45
Shot-Creating Actions,3.43,92
,,
SCA (PassLive),2.53,93
SCA (PassDead),0.00,36
SCA (Drib),0.36,89
SCA (Sh),0.36,90
SCA (Fld),0.18,52
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.54,90
,,
GCA (PassLive),0.18,48
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.18,99
GCA (Fld),0.18,99
GCA (Def),0.00,40
Tackles,0.90,68
Tackles Won,0.54,63
Tackles (Def 3rd),0.36,93
Tackles (Mid 3rd),0.36,58
Tackles (Att 3rd),0.18,31
,,
Dribblers Tackled,0.00,3
Dribbles Contested,0.54,42
% of dribblers tackled,0.0%,3
Dribbled Past,0.54,39
,,
Pressures,21.10,93
Successful Pressures,6.31,97
Successful Pressure %,29.9%,84
Pressures (Def 3rd),2.53,89
Pressures (Mid 3rd),11.00,96
Pressures (Att 3rd),7.58,58
,,
Blocks,1.62,98
Shots Blocked,0.00,4
Shots Saved,0.00,48
Passes Blocked,1.62,99
,,
Interceptions,1.08,99
Tkl+Int,1.98,91
Clearances,1.44,98
Errors,0.00,53
Touches,49.24,94
Touches (Def Pen),1.44,91
Touches (Def 3rd),5.05,96
Touches (Mid 3rd),23.81,96
Touches (Att 3rd),22.36,83
Touches (Att Pen),7.03,89
Touches (Live-Ball),48.52,96
,,
Dribbles Completed,0.36,10
Dribbles Attempted,1.44,35
Successful Dribble %,25.0%,1
Players Dribbled Past,0.36,7
Nutmegs,0.00,10
,,
Carries,23.99,59
Total Carrying Distance,119.40,65
Progressive Carrying Distance,49.78,53
Progressive Carries,1.80,19
Carries into Final Third,0.72,34
Carries into Penalty Area,0.72,61
Miscontrols,3.97,6
Dispossessed,1.80,44
,,
Pass Targets,58.08,96
Passes Received,35.71,92
Passes Received %,61.5%,63
Progressive Passes Rec,8.84,85
Yellow Cards,0.18,36
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.53,5
Fouls Drawn,0.90,13
Offsides,0.18,98
Crosses,0.54,36
,,
Interceptions,1.08,99
Tackles Won,0.54,63
Penalty Kicks Won,0.18,97
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,6.49,99
,,
Aerials won,9.56,99
Aerials lost,8.66,1
% of Aerials Won,52.5%,89
