--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.00,2
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.91,1
Red Cards,0.00,56
,,
xG,0.04,1
npxG,0.04,1
xA,0.04,1
npxG+xA,0.09,1
Goals,0.00,1
Shots Total,1.29,10
Shots on target,0.26,2
Shots on target %,20.0%,2
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,21.10,12
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.04,1
npxG,0.04,1
npxG/Sh,0.03,1
Goals - xG,-0.04,31
Non-Penalty Goals - npxG,-0.04,31
Passes Completed,32.72,63
Passes Attempted,42.16,65
Pass Completion %,77.6%,61
Total Passing Distance,649.53,81
Progressive Passing Distance,175.99,77
,,
Passes Completed (Short),12.16,28
Passes Attempted (Short),14.35,25
Pass Completion % (Short),84.7%,45
,,
Passes Completed (Medium),14.87,87
Passes Attempted (Medium),17.59,87
Pass Completion % (Medium),84.6%,80
,,
Passes Completed (Long),4.91,86
Passes Attempted (Long),7.63,75
Pass Completion % (Long),64.4%,78
Assists,0.00,2
xA,0.04,1
Key Passes,0.52,1
Passes into Final Third,3.88,92
Passes into Penalty Area,0.26,1
Crosses into Penalty Area,0.00,1
Progressive Passes,3.62,60
Passes Attempted,42.16,65
,,
Live-ball passes,39.31,66
Dead-ball passes,2.84,59
Passes from Free Kicks,2.07,93
Through Balls,0.00,8
Passes Under Pressure,8.53,83
Switches,1.68,68
Crosses,0.26,1
Corner Kicks,0.00,6
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,25.09,41
Low Passes,6.85,92
High Passes,10.22,89
,,
Passes Attempted (Left),3.62,22
Passes Attempted (Right),32.46,74
Passes Attempted (Head),2.84,99
Throw-Ins taken,0.26,28
Passes Attempted (Other),0.78,99
,,
Passes Completed,32.72,63
Passes Offside,0.13,67
Passes Out of Bounds,1.29,2
Passes Intercepted,1.16,86
Passes Blocked,1.42,57
Shot-Creating Actions,2.07,7
,,
SCA (PassLive),1.68,23
SCA (PassDead),0.00,13
SCA (Drib),0.00,1
SCA (Sh),0.13,35
SCA (Fld),0.26,75
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,1
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.16,34
Tackles Won,0.52,13
Tackles (Def 3rd),0.13,3
Tackles (Mid 3rd),0.78,75
Tackles (Att 3rd),0.26,39
,,
Dribblers Tackled,0.52,62
Dribbles Contested,1.29,43
% of dribblers tackled,40.0%,84
Dribbled Past,0.78,69
,,
Pressures,11.38,11
Successful Pressures,2.33,2
Successful Pressure %,20.5%,1
Pressures (Def 3rd),1.68,5
Pressures (Mid 3rd),7.24,49
Pressures (Att 3rd),2.46,1
,,
Blocks,1.42,74
Shots Blocked,0.26,98
Shots Saved,0.00,49
Passes Blocked,1.16,58
,,
Interceptions,1.03,56
Tkl+Int,2.20,41
Clearances,1.94,99
Errors,0.00,57
Touches,54.96,65
Touches (Def Pen),1.94,98
Touches (Def 3rd),8.66,87
Touches (Mid 3rd),32.20,89
Touches (Att 3rd),15.65,3
Touches (Att Pen),1.68,1
Touches (Live-Ball),52.24,65
,,
Dribbles Completed,0.65,4
Dribbles Attempted,0.91,1
Successful Dribble %,71.4%,98
Players Dribbled Past,0.78,5
Nutmegs,0.00,3
,,
Carries,31.94,26
Total Carrying Distance,92.07,1
Progressive Carrying Distance,32.59,1
Progressive Carries,1.29,1
Carries into Final Third,0.65,1
Carries into Penalty Area,0.00,1
Miscontrols,2.33,37
Dispossessed,1.94,47
,,
Pass Targets,44.48,35
Passes Received,34.91,40
Passes Received %,78.5%,54
Progressive Passes Rec,2.84,1
Yellow Cards,0.91,1
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,2.84,1
Fouls Drawn,2.59,87
Offsides,0.13,80
Crosses,0.26,1
,,
Interceptions,1.03,56
Tackles Won,0.52,13
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,10.86,99
,,
Aerials won,3.36,99
Aerials lost,2.97,3
% of Aerials Won,53.1%,96
