--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.25,94
Assists,0.19,91
Non-Penalty Goals,0.25,96
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.19,63
Red Cards,0.00,61
,,
xG,0.21,96
npxG,0.21,98
xA,0.13,81
npxG+xA,0.34,96
Goals,0.25,94
Shots Total,1.63,89
Shots on target,0.63,95
Shots on target %,38.5%,88
Goals/Shot,0.15,90
Goals/Shot on target,0.40,76
Average Shot Distance,15.90,86
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.21,96
npxG,0.21,98
npxG/Sh,0.13,94
Goals - xG,+0.04,81
Non-Penalty Goals - npxG,+0.04,81
Passes Completed,30.33,17
Passes Attempted,40.99,23
Pass Completion %,74.0%,7
Total Passing Distance,471.94,7
Progressive Passing Distance,134.31,15
,,
Passes Completed (Short),16.86,49
Passes Attempted (Short),20.49,57
Pass Completion % (Short),82.3%,8
,,
Passes Completed (Medium),9.46,5
Passes Attempted (Medium),12.35,8
Pass Completion % (Medium),76.6%,3
,,
Passes Completed (Long),2.76,9
Passes Attempted (Long),5.01,14
Pass Completion % (Long),55.0%,10
Assists,0.19,91
xA,0.13,81
Key Passes,1.38,82
Passes into Final Third,2.13,8
Passes into Penalty Area,1.38,88
Crosses into Penalty Area,0.31,93
Progressive Passes,3.45,38
Passes Attempted,40.99,23
,,
Live-ball passes,39.92,26
Dead-ball passes,1.07,27
Passes from Free Kicks,0.31,6
Through Balls,0.06,45
Passes Under Pressure,10.91,92
Switches,0.88,24
Crosses,0.94,74
Corner Kicks,0.25,66
,,
Inswinging Corner Kicks,0.25,75
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,26.39,19
Low Passes,8.52,98
High Passes,6.08,27
,,
Passes Attempted (Left),26.89,86
Passes Attempted (Right),7.58,11
Passes Attempted (Head),3.13,93
Throw-Ins taken,0.38,79
Passes Attempted (Other),0.88,99
,,
Passes Completed,30.33,17
Passes Offside,0.31,10
Passes Out of Bounds,0.44,91
Passes Intercepted,2.32,5
Passes Blocked,1.38,14
Shot-Creating Actions,3.13,90
,,
SCA (PassLive),2.70,94
SCA (PassDead),0.06,62
SCA (Drib),0.06,60
SCA (Sh),0.25,96
SCA (Fld),0.06,48
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.31,78
,,
GCA (PassLive),0.31,89
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.51,65
Tackles Won,1.32,42
Tackles (Def 3rd),0.56,15
Tackles (Mid 3rd),1.25,72
Tackles (Att 3rd),0.69,98
,,
Dribblers Tackled,0.81,62
Dribbles Contested,2.01,54
% of dribblers tackled,40.6%,67
Dribbled Past,1.19,52
,,
Pressures,21.31,74
Successful Pressures,6.14,64
Successful Pressure %,28.8%,34
Pressures (Def 3rd),4.64,22
Pressures (Mid 3rd),9.15,44
Pressures (Att 3rd),7.52,99
,,
Blocks,1.88,76
Shots Blocked,0.13,11
Shots Saved,0.00,45
Passes Blocked,1.75,90
,,
Interceptions,1.57,37
Tkl+Int,4.07,53
Clearances,0.81,22
Errors,0.00,67
Touches,55.28,34
Touches (Def Pen),1.38,13
Touches (Def 3rd),8.40,3
Touches (Mid 3rd),29.21,22
Touches (Att 3rd),20.68,86
Touches (Att Pen),2.95,93
Touches (Live-Ball),54.34,38
,,
Dribbles Completed,0.63,43
Dribbles Attempted,1.19,51
Successful Dribble %,52.6%,21
Players Dribbled Past,0.63,38
Nutmegs,0.00,17
,,
Carries,32.15,24
Total Carrying Distance,137.51,18
Progressive Carrying Distance,66.56,20
Progressive Carries,3.01,33
Carries into Final Third,1.57,74
Carries into Penalty Area,0.31,81
Miscontrols,2.70,1
Dispossessed,2.07,3
,,
Pass Targets,47.26,62
Passes Received,35.79,36
Passes Received %,75.7%,1
Progressive Passes Rec,6.64,99
Yellow Cards,0.19,63
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.44,65
Fouls Drawn,0.88,17
Offsides,0.13,9
Crosses,0.94,74
,,
Interceptions,1.57,37
Tackles Won,1.32,42
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.97,55
,,
Aerials won,2.51,87
Aerials lost,2.82,2
% of Aerials Won,47.1%,41
