--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.13,94
Assists,0.00,31
Non-Penalty Goals,0.13,94
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.00,99
Red Cards,0.00,64
,,
xG,0.08,84
npxG,0.08,84
xA,0.04,87
npxG+xA,0.11,93
Goals,0.13,94
Shots Total,0.63,71
Shots on target,0.13,48
Shots on target %,20.0%,29
Goals/Shot,0.20,88
Goals/Shot on target,1.00,91
Average Shot Distance,8.10,88
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.08,84
npxG,0.08,84
npxG/Sh,0.12,74
Goals - xG,+0.05,92
Non-Penalty Goals - npxG,+0.05,92
Passes Completed,37.96,34
Passes Attempted,47.64,40
Pass Completion %,79.7%,15
Total Passing Distance,805.98,31
Progressive Passing Distance,260.95,28
,,
Passes Completed (Short),12.32,52
Passes Attempted (Short),13.32,49
Pass Completion % (Short),92.5%,71
,,
Passes Completed (Medium),18.60,28
Passes Attempted (Medium),20.36,26
Pass Completion % (Medium),91.4%,44
,,
Passes Completed (Long),6.54,26
Passes Attempted (Long),12.70,65
Pass Completion % (Long),51.5%,3
Assists,0.00,31
xA,0.04,87
Key Passes,0.38,90
Passes into Final Third,1.89,23
Passes into Penalty Area,0.25,70
Crosses into Penalty Area,0.13,94
Progressive Passes,2.26,38
Passes Attempted,47.64,40
,,
Live-ball passes,46.38,46
Dead-ball passes,1.26,12
Passes from Free Kicks,1.01,12
Through Balls,0.00,27
Passes Under Pressure,5.91,64
Switches,1.76,70
Crosses,0.25,77
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,33.18,38
Low Passes,3.52,23
High Passes,10.94,77
,,
Passes Attempted (Left),7.04,42
Passes Attempted (Right),37.46,61
Passes Attempted (Head),2.01,19
Throw-Ins taken,0.25,52
Passes Attempted (Other),0.00,1
,,
Passes Completed,37.96,34
Passes Offside,0.38,1
Passes Out of Bounds,0.88,43
Passes Intercepted,0.38,96
Passes Blocked,1.01,8
Shot-Creating Actions,0.88,84
,,
SCA (PassLive),0.63,77
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.13,94
SCA (Fld),0.00,36
SCA (Def),0.13,99
,,
Goal-Creating Actions,0.13,88
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.13,99
Tackles,1.76,58
Tackles Won,0.75,35
Tackles (Def 3rd),1.51,88
Tackles (Mid 3rd),0.25,11
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,1.26,98
Dribbles Contested,2.39,98
% of dribblers tackled,52.6%,49
Dribbled Past,1.13,4
,,
Pressures,9.43,56
Successful Pressures,2.26,16
Successful Pressure %,24.0%,1
Pressures (Def 3rd),7.16,90
Pressures (Mid 3rd),1.76,4
Pressures (Att 3rd),0.50,56
,,
Blocks,2.64,99
Shots Blocked,1.01,79
Shots Saved,0.38,99
Passes Blocked,1.63,98
,,
Interceptions,2.26,66
Tkl+Int,4.02,62
Clearances,3.52,27
Errors,0.00,83
Touches,58.45,41
Touches (Def Pen),9.43,62
Touches (Def 3rd),36.45,68
Touches (Mid 3rd),23.25,26
Touches (Att 3rd),2.89,57
Touches (Att Pen),0.75,42
Touches (Live-Ball),57.32,45
,,
Dribbles Completed,0.00,3
Dribbles Attempted,0.13,21
Successful Dribble %,0.0%,3
Players Dribbled Past,0.00,3
Nutmegs,0.00,37
,,
Carries,35.20,46
Total Carrying Distance,208.53,54
Progressive Carrying Distance,95.66,42
Progressive Carries,1.76,34
Carries into Final Third,0.88,84
Carries into Penalty Area,0.00,31
Miscontrols,0.13,85
Dispossessed,0.13,75
,,
Pass Targets,37.96,47
Passes Received,36.83,46
Passes Received %,97.0%,23
Progressive Passes Rec,0.00,3
Yellow Cards,0.00,99
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.75,75
Fouls Drawn,0.00,1
Offsides,0.00,79
Crosses,0.25,77
,,
Interceptions,2.26,66
Tackles Won,0.75,35
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.13,1
Own Goals,0.00,60
Ball Recoveries,8.55,33
,,
Aerials won,1.51,10
Aerials lost,1.76,31
% of Aerials Won,46.2%,4
