--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.62,88
Assists,0.00,5
Non-Penalty Goals,0.54,86
Penalty Kicks Made,0.09,68
Penalty Kicks Attempted,0.18,93
Yellow Cards,0.27,15
Red Cards,0.00,55
,,
xG,0.73,97
npxG,0.60,98
xA,0.12,60
npxG+xA,0.72,93
Goals,0.62,88
Shots Total,2.94,74
Shots on target,1.52,94
Shots on target %,51.5%,99
Goals/Shot,0.18,82
Goals/Shot on target,0.35,48
Average Shot Distance,13.10,70
Shots from free kicks,0.00,30
Penalty Kicks Made,0.09,68
Penalty Kicks Attempted,0.18,93
,,
xG,0.73,97
npxG,0.60,98
npxG/Sh,0.20,99
Goals - xG,-0.11,15
Non-Penalty Goals - npxG,-0.06,26
Passes Completed,15.79,46
Passes Attempted,21.94,42
Pass Completion %,72.0%,55
Total Passing Distance,199.27,25
Progressive Passing Distance,30.95,16
,,
Passes Completed (Short),10.44,66
Passes Attempted (Short),13.56,69
Pass Completion % (Short),77.0%,38
,,
Passes Completed (Medium),3.75,18
Passes Attempted (Medium),5.08,11
Pass Completion % (Medium),73.7%,60
,,
Passes Completed (Long),0.45,4
Passes Attempted (Long),1.16,14
Pass Completion % (Long),38.5%,2
Assists,0.00,5
xA,0.12,60
Key Passes,0.89,39
Passes into Final Third,0.45,7
Passes into Penalty Area,0.27,12
Crosses into Penalty Area,0.00,7
Progressive Passes,0.89,13
Passes Attempted,21.94,42
,,
Live-ball passes,20.78,45
Dead-ball passes,1.16,36
Passes from Free Kicks,0.00,20
Through Balls,0.09,54
Passes Under Pressure,5.98,37
Switches,0.18,19
Crosses,0.36,14
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,14.36,50
Low Passes,4.37,49
High Passes,3.21,39
,,
Passes Attempted (Left),1.87,21
Passes Attempted (Right),16.06,63
Passes Attempted (Head),1.78,76
Throw-Ins taken,0.18,66
Passes Attempted (Other),0.18,5
,,
Passes Completed,15.79,46
Passes Offside,0.00,94
Passes Out of Bounds,0.45,47
Passes Intercepted,1.34,36
Passes Blocked,0.54,94
Shot-Creating Actions,2.94,81
,,
SCA (PassLive),2.05,82
SCA (PassDead),0.00,36
SCA (Drib),0.45,93
SCA (Sh),0.09,7
SCA (Fld),0.36,86
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.36,59
,,
GCA (PassLive),0.27,74
GCA (PassDead),0.00,46
GCA (Drib),0.09,88
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.54,35
Tackles Won,0.45,48
Tackles (Def 3rd),0.00,5
Tackles (Mid 3rd),0.45,69
Tackles (Att 3rd),0.09,9
,,
Dribblers Tackled,0.18,61
Dribbles Contested,0.71,61
% of dribblers tackled,25.0%,47
Dribbled Past,0.54,40
,,
Pressures,13.20,31
Successful Pressures,3.92,50
Successful Pressure %,29.7%,81
Pressures (Def 3rd),0.80,23
Pressures (Mid 3rd),5.80,43
Pressures (Att 3rd),6.60,40
,,
Blocks,0.98,73
Shots Blocked,0.00,4
Shots Saved,0.00,48
Passes Blocked,0.98,84
,,
Interceptions,0.36,45
Tkl+Int,0.89,32
Clearances,0.80,66
Errors,0.00,53
Touches,34.61,45
Touches (Def Pen),0.89,58
Touches (Def 3rd),3.48,69
Touches (Mid 3rd),15.52,36
Touches (Att 3rd),17.48,46
Touches (Att Pen),6.69,85
Touches (Live-Ball),33.36,47
,,
Dribbles Completed,1.16,69
Dribbles Attempted,1.78,53
Successful Dribble %,65.0%,99
Players Dribbled Past,1.25,70
Nutmegs,0.18,87
,,
Carries,21.85,50
Total Carrying Distance,88.13,39
Progressive Carrying Distance,35.77,26
Progressive Carries,1.96,24
Carries into Final Third,0.71,34
Carries into Penalty Area,0.54,39
Miscontrols,3.03,33
Dispossessed,1.61,59
,,
Pass Targets,43.62,40
Passes Received,26.76,54
Passes Received %,61.3%,61
Progressive Passes Rec,8.03,69
Yellow Cards,0.27,15
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,0.98,72
Fouls Drawn,1.07,19
Offsides,0.89,18
Crosses,0.36,14
,,
Interceptions,0.36,45
Tackles Won,0.45,48
Penalty Kicks Won,0.09,89
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.21,18
,,
Aerials won,2.50,63
Aerials lost,5.26,14
% of Aerials Won,32.2%,31
