--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.00,99
Red Cards,0.00,61
,,
xG,0.04,20
npxG,0.04,21
xA,0.08,54
npxG+xA,0.12,37
Goals,0.00,11
Shots Total,0.98,45
Shots on target,0.00,1
Shots on target %,0.0%,1
Goals/Shot,0.00,12
Average Shot Distance,21.20,40
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,20
npxG,0.04,21
npxG/Sh,0.03,4
Goals - xG,-0.04,21
Non-Penalty Goals - npxG,-0.04,21
Passes Completed,62.41,92
Passes Attempted,70.63,92
Pass Completion %,88.4%,87
Total Passing Distance,1150.43,91
Progressive Passing Distance,357.26,97
,,
Passes Completed (Short),27.59,92
Passes Attempted (Short),30.33,93
Pass Completion % (Short),91.0%,76
,,
Passes Completed (Medium),23.48,83
Passes Attempted (Medium),24.85,79
Pass Completion % (Medium),94.5%,97
,,
Passes Completed (Long),9.00,88
Passes Attempted (Long),12.13,84
Pass Completion % (Long),74.2%,70
Assists,0.00,11
xA,0.08,54
Key Passes,1.17,72
Passes into Final Third,4.89,73
Passes into Penalty Area,0.98,72
Crosses into Penalty Area,0.20,82
Progressive Passes,5.67,87
Passes Attempted,70.63,92
,,
Live-ball passes,68.28,93
Dead-ball passes,2.35,64
Passes from Free Kicks,0.98,42
Through Balls,0.00,11
Passes Under Pressure,7.83,46
Switches,3.52,93
Crosses,0.39,38
Corner Kicks,0.78,76
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.78,88
Straight Corner Kicks,0.00,38
,,
Ground passes,55.96,92
Low Passes,4.50,27
High Passes,10.17,78
,,
Passes Attempted (Left),54.59,99
Passes Attempted (Right),11.15,15
Passes Attempted (Head),3.33,95
Throw-Ins taken,0.59,90
Passes Attempted (Other),0.59,97
,,
Passes Completed,62.41,92
Passes Offside,0.00,98
Passes Out of Bounds,0.39,94
Passes Intercepted,0.98,88
Passes Blocked,0.98,48
Shot-Creating Actions,1.57,30
,,
SCA (PassLive),0.98,18
SCA (PassDead),0.39,81
SCA (Drib),0.00,15
SCA (Sh),0.20,90
SCA (Fld),0.00,11
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.20,53
,,
GCA (PassLive),0.20,67
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.35,57
Tackles Won,1.57,60
Tackles (Def 3rd),0.39,5
Tackles (Mid 3rd),1.17,65
Tackles (Att 3rd),0.78,99
,,
Dribblers Tackled,0.78,57
Dribbles Contested,1.57,25
% of dribblers tackled,50.0%,93
Dribbled Past,0.78,89
,,
Pressures,24.85,93
Successful Pressures,8.61,99
Successful Pressure %,34.6%,88
Pressures (Def 3rd),5.09,30
Pressures (Mid 3rd),13.89,97
Pressures (Att 3rd),5.87,97
,,
Blocks,1.76,66
Shots Blocked,0.00,1
Shots Saved,0.00,45
Passes Blocked,1.76,90
,,
Interceptions,2.15,79
Tkl+Int,4.50,68
Clearances,0.39,4
Errors,0.00,67
Touches,80.80,92
Touches (Def Pen),1.37,13
Touches (Def 3rd),18.00,79
Touches (Mid 3rd),49.30,91
Touches (Att 3rd),18.00,78
Touches (Att Pen),1.17,49
Touches (Live-Ball),78.85,93
,,
Dribbles Completed,0.78,56
Dribbles Attempted,1.17,50
Successful Dribble %,66.7%,71
Players Dribbled Past,0.78,54
Nutmegs,0.00,17
,,
Carries,54.78,89
Total Carrying Distance,210.52,63
Progressive Carrying Distance,109.17,67
Progressive Carries,4.50,70
Carries into Final Third,0.78,24
Carries into Penalty Area,0.20,66
Miscontrols,0.59,81
Dispossessed,1.76,9
,,
Pass Targets,60.85,89
Passes Received,58.11,90
Passes Received %,95.5%,88
Progressive Passes Rec,1.96,59
Yellow Cards,0.00,99
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,4.11,1
Fouls Drawn,0.98,24
Offsides,0.00,77
Crosses,0.39,38
,,
Interceptions,2.15,79
Tackles Won,1.57,60
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,12.33,92
,,
Aerials won,0.39,4
Aerials lost,1.76,16
% of Aerials Won,18.2%,1
