--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.08,59
Assists,0.08,58
Non-Penalty Goals,0.08,62
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.17,69
Red Cards,0.00,61
,,
xG,0.18,92
npxG,0.18,95
xA,0.15,87
npxG+xA,0.33,95
Goals,0.08,59
Shots Total,2.15,97
Shots on target,0.50,88
Shots on target %,23.1%,34
Goals/Shot,0.04,34
Goals/Shot on target,0.17,35
Average Shot Distance,19.20,62
Shots from free kicks,0.08,82
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.18,92
npxG,0.18,95
npxG/Sh,0.09,78
Goals - xG,-0.10,2
Non-Penalty Goals - npxG,-0.10,1
Passes Completed,57.47,89
Passes Attempted,70.60,92
Pass Completion %,81.4%,40
Total Passing Distance,958.62,74
Progressive Passing Distance,260.59,80
,,
Passes Completed (Short),30.47,97
Passes Attempted (Short),34.84,98
Pass Completion % (Short),87.4%,39
,,
Passes Completed (Medium),21.14,74
Passes Attempted (Medium),24.94,79
Pass Completion % (Medium),84.8%,31
,,
Passes Completed (Long),4.79,37
Passes Attempted (Long),7.27,40
Pass Completion % (Long),65.9%,39
Assists,0.08,58
xA,0.15,87
Key Passes,1.07,69
Passes into Final Third,4.79,71
Passes into Penalty Area,1.32,86
Crosses into Penalty Area,0.17,74
Progressive Passes,5.45,84
Passes Attempted,70.60,92
,,
Live-ball passes,66.47,91
Dead-ball passes,4.13,84
Passes from Free Kicks,1.16,52
Through Balls,0.00,11
Passes Under Pressure,11.64,96
Switches,1.65,59
Crosses,1.24,84
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,48.30,82
Low Passes,10.32,99
High Passes,11.97,87
,,
Passes Attempted (Left),9.99,76
Passes Attempted (Right),51.69,82
Passes Attempted (Head),3.47,97
Throw-Ins taken,2.97,99
Passes Attempted (Other),0.66,98
,,
Passes Completed,57.47,89
Passes Offside,0.33,7
Passes Out of Bounds,0.91,23
Passes Intercepted,2.39,4
Passes Blocked,2.06,1
Shot-Creating Actions,2.89,84
,,
SCA (PassLive),2.64,94
SCA (PassDead),0.08,65
SCA (Drib),0.00,15
SCA (Sh),0.08,55
SCA (Fld),0.00,11
SCA (Def),0.08,66
,,
Goal-Creating Actions,0.33,80
,,
GCA (PassLive),0.33,91
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.06,39
Tackles Won,0.99,17
Tackles (Def 3rd),0.91,49
Tackles (Mid 3rd),0.91,34
Tackles (Att 3rd),0.25,47
,,
Dribblers Tackled,0.99,81
Dribbles Contested,2.48,77
% of dribblers tackled,40.0%,64
Dribbled Past,1.49,28
,,
Pressures,16.93,33
Successful Pressures,5.12,37
Successful Pressure %,30.2%,48
Pressures (Def 3rd),4.05,11
Pressures (Mid 3rd),9.25,45
Pressures (Att 3rd),3.63,71
,,
Blocks,1.24,21
Shots Blocked,0.33,61
Shots Saved,0.00,45
Passes Blocked,0.91,16
,,
Interceptions,1.57,38
Tkl+Int,3.63,37
Clearances,1.07,38
Errors,0.00,67
Touches,82.07,93
Touches (Def Pen),2.31,45
Touches (Def 3rd),17.01,71
Touches (Mid 3rd),43.76,79
Touches (Att 3rd),24.44,93
Touches (Att Pen),3.80,98
Touches (Live-Ball),78.03,93
,,
Dribbles Completed,0.17,1
Dribbles Attempted,0.50,7
Successful Dribble %,33.3%,1
Players Dribbled Past,0.17,1
Nutmegs,0.08,70
,,
Carries,55.24,90
Total Carrying Distance,212.28,64
Progressive Carrying Distance,100.07,58
Progressive Carries,4.95,77
Carries into Final Third,1.07,49
Carries into Penalty Area,0.50,93
Miscontrols,1.32,20
Dispossessed,1.49,19
,,
Pass Targets,65.48,93
Passes Received,59.78,92
Passes Received %,91.3%,46
Progressive Passes Rec,4.95,96
Yellow Cards,0.17,69
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.82,36
Fouls Drawn,1.57,60
Offsides,0.08,20
Crosses,1.24,84
,,
Interceptions,1.57,38
Tackles Won,0.99,17
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.82,75
,,
Aerials won,2.23,85
Aerials lost,1.07,56
% of Aerials Won,67.5%,96
