--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.27,29
Red Cards,0.00,64
,,
xG,0.00,1
npxG,0.00,1
xA,0.01,40
npxG+xA,0.01,1
Goals,0.00,16
Shots Total,0.00,1
Shots on target,0.00,5
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.00,1
npxG,0.00,1
Goals - xG,0.00,57
Non-Penalty Goals - npxG,0.00,58
Passes Completed,56.37,79
Passes Attempted,64.11,79
Pass Completion %,87.9%,69
Total Passing Distance,1264.05,83
Progressive Passing Distance,357.66,69
,,
Passes Completed (Short),13.13,57
Passes Attempted (Short),14.39,58
Pass Completion % (Short),91.3%,55
,,
Passes Completed (Medium),30.75,80
Passes Attempted (Medium),32.82,80
Pass Completion % (Medium),93.7%,75
,,
Passes Completed (Long),11.96,90
Passes Attempted (Long),15.73,89
Pass Completion % (Long),76.0%,77
Assists,0.00,31
xA,0.01,40
Key Passes,0.18,51
Passes into Final Third,3.06,66
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,2.16,33
Passes Attempted,64.11,79
,,
Live-ball passes,62.22,81
Dead-ball passes,1.89,36
Passes from Free Kicks,1.44,43
Through Balls,0.09,91
Passes Under Pressure,6.29,73
Switches,1.26,41
Crosses,0.00,7
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,53.32,85
Low Passes,2.34,2
High Passes,8.45,40
,,
Passes Attempted (Left),14.48,68
Passes Attempted (Right),46.66,79
Passes Attempted (Head),1.71,9
Throw-Ins taken,0.18,41
Passes Attempted (Other),0.00,1
,,
Passes Completed,56.37,79
Passes Offside,0.09,62
Passes Out of Bounds,0.72,62
Passes Intercepted,1.44,9
Passes Blocked,0.45,59
Shot-Creating Actions,0.27,10
,,
SCA (PassLive),0.27,21
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.16,82
Tackles Won,1.53,92
Tackles (Def 3rd),1.44,84
Tackles (Mid 3rd),0.72,81
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.72,64
Dribbles Contested,1.26,60
% of dribblers tackled,57.1%,66
Dribbled Past,0.54,48
,,
Pressures,11.60,81
Successful Pressures,4.95,93
Successful Pressure %,42.6%,94
Pressures (Def 3rd),6.56,82
Pressures (Mid 3rd),4.77,83
Pressures (Att 3rd),0.27,22
,,
Blocks,1.35,18
Shots Blocked,0.45,10
Shots Saved,0.00,32
Passes Blocked,0.90,49
,,
Interceptions,3.33,98
Tkl+Int,5.48,96
Clearances,4.32,53
Errors,0.18,1
Touches,75.43,82
Touches (Def Pen),9.98,69
Touches (Def 3rd),41.45,88
Touches (Mid 3rd),38.12,84
Touches (Att 3rd),1.53,15
Touches (Att Pen),0.00,1
Touches (Live-Ball),73.64,83
,,
Dribbles Completed,0.45,90
Dribbles Attempted,0.72,92
Successful Dribble %,62.5%,37
Players Dribbled Past,0.45,87
Nutmegs,0.00,37
,,
Carries,51.88,86
Total Carrying Distance,332.76,93
Progressive Carrying Distance,147.45,81
Progressive Carries,3.33,77
Carries into Final Third,0.72,78
Carries into Penalty Area,0.00,31
Miscontrols,0.36,22
Dispossessed,0.09,85
,,
Pass Targets,52.87,80
Passes Received,52.24,81
Passes Received %,98.8%,90
Progressive Passes Rec,0.09,24
Yellow Cards,0.27,29
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.26,31
Fouls Drawn,0.00,1
Offsides,0.00,79
Crosses,0.00,7
,,
Interceptions,3.33,98
Tackles Won,1.53,92
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,9.35,53
,,
Aerials won,1.89,18
Aerials lost,1.44,56
% of Aerials Won,56.8%,23
