--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.21,45
Red Cards,0.09,1
,,
xG,0.04,45
npxG,0.04,45
xA,0.02,68
npxG+xA,0.06,48
Goals,0.00,16
Shots Total,0.59,66
Shots on target,0.09,33
Shots on target %,15.0%,19
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,11.90,43
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.04,45
npxG,0.04,45
npxG/Sh,0.07,31
Goals - xG,-0.04,9
Non-Penalty Goals - npxG,-0.04,9
Passes Completed,43.95,51
Passes Attempted,53.83,54
Pass Completion %,81.6%,23
Total Passing Distance,1035.76,62
Progressive Passing Distance,358.96,69
,,
Passes Completed (Short),9.74,31
Passes Attempted (Short),11.49,34
Pass Completion % (Short),84.8%,10
,,
Passes Completed (Medium),24.08,56
Passes Attempted (Medium),26.99,61
Pass Completion % (Medium),89.2%,25
,,
Passes Completed (Long),9.95,76
Passes Attempted (Long),14.16,80
Pass Completion % (Long),70.2%,55
Assists,0.00,31
xA,0.02,68
Key Passes,0.24,70
Passes into Final Third,2.94,62
Passes into Penalty Area,0.30,77
Crosses into Penalty Area,0.03,63
Progressive Passes,3.03,69
Passes Attempted,53.83,54
,,
Live-ball passes,51.34,55
Dead-ball passes,2.49,61
Passes from Free Kicks,2.46,91
Through Balls,0.03,57
Passes Under Pressure,7.54,91
Switches,1.40,51
Crosses,0.18,67
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,38.54,53
Low Passes,4.57,64
High Passes,10.72,75
,,
Passes Attempted (Left),8.34,50
Passes Attempted (Right),40.15,67
Passes Attempted (Head),3.33,83
Throw-Ins taken,0.03,4
Passes Attempted (Other),0.18,56
,,
Passes Completed,43.95,51
Passes Offside,0.24,10
Passes Out of Bounds,1.07,23
Passes Intercepted,1.37,12
Passes Blocked,0.92,12
Shot-Creating Actions,0.74,75
,,
SCA (PassLive),0.56,70
SCA (PassDead),0.06,90
SCA (Drib),0.00,42
SCA (Sh),0.06,69
SCA (Fld),0.00,36
SCA (Def),0.06,87
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.20,84
Tackles Won,0.89,46
Tackles (Def 3rd),1.46,85
Tackles (Mid 3rd),0.59,65
Tackles (Att 3rd),0.15,84
,,
Dribblers Tackled,0.77,71
Dribbles Contested,1.28,61
% of dribblers tackled,60.5%,79
Dribbled Past,0.50,55
,,
Pressures,11.76,82
Successful Pressures,3.71,66
Successful Pressure %,31.6%,12
Pressures (Def 3rd),7.33,92
Pressures (Mid 3rd),3.89,67
Pressures (Att 3rd),0.53,61
,,
Blocks,1.96,71
Shots Blocked,0.59,25
Shots Saved,0.00,32
Passes Blocked,1.37,93
,,
Interceptions,4.04,99
Tkl+Int,6.24,98
Clearances,4.69,63
Errors,0.06,24
Touches,67.34,65
Touches (Def Pen),11.11,85
Touches (Def 3rd),39.94,83
Touches (Mid 3rd),29.37,53
Touches (Att 3rd),2.97,59
Touches (Att Pen),0.86,55
Touches (Live-Ball),65.24,66
,,
Dribbles Completed,0.92,99
Dribbles Attempted,1.22,99
Successful Dribble %,75.6%,69
Players Dribbled Past,0.92,99
Nutmegs,0.00,37
,,
Carries,41.01,61
Total Carrying Distance,248.74,73
Progressive Carrying Distance,135.94,74
Progressive Carries,2.35,53
Carries into Final Third,0.48,60
Carries into Penalty Area,0.03,69
Miscontrols,0.33,28
Dispossessed,0.36,19
,,
Pass Targets,40.53,53
Passes Received,39.82,53
Passes Received %,98.2%,61
Progressive Passes Rec,0.39,86
Yellow Cards,0.21,45
Red Cards,0.09,1
Second Yellow Card,0.03,12
Fouls Committed,1.28,30
Fouls Drawn,1.01,87
Offsides,0.03,53
Crosses,0.18,67
,,
Interceptions,4.04,99
Tackles Won,0.89,46
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.03,45
Own Goals,0.03,17
Ball Recoveries,10.48,76
,,
Aerials won,3.36,77
Aerials lost,1.90,22
% of Aerials Won,63.8%,50
