--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,35
Assists,0.08,57
Non-Penalty Goals,0.04,36
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.08,93
Red Cards,0.00,61
,,
xG,0.05,34
npxG,0.05,35
xA,0.07,46
npxG+xA,0.11,35
Goals,0.04,35
Shots Total,0.98,46
Shots on target,0.25,45
Shots on target %,25.0%,43
Goals/Shot,0.04,34
Goals/Shot on target,0.17,35
Average Shot Distance,20.50,46
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.05,34
npxG,0.05,35
npxG/Sh,0.05,25
Goals - xG,-0.01,47
Non-Penalty Goals - npxG,-0.01,48
Passes Completed,29.00,14
Passes Attempted,38.27,16
Pass Completion %,75.8%,12
Total Passing Distance,490.53,10
Progressive Passing Distance,146.49,20
,,
Passes Completed (Short),14.28,27
Passes Attempted (Short),17.02,32
Pass Completion % (Short),83.9%,14
,,
Passes Completed (Medium),11.20,12
Passes Attempted (Medium),14.11,15
Pass Completion % (Medium),79.4%,8
,,
Passes Completed (Long),2.79,10
Passes Attempted (Long),4.76,10
Pass Completion % (Long),58.6%,18
Assists,0.08,57
xA,0.07,46
Key Passes,0.90,55
Passes into Final Third,3.77,48
Passes into Penalty Area,0.86,67
Crosses into Penalty Area,0.16,74
Progressive Passes,3.73,45
Passes Attempted,38.27,16
,,
Live-ball passes,37.53,19
Dead-ball passes,0.74,12
Passes from Free Kicks,0.45,13
Through Balls,0.04,32
Passes Under Pressure,8.94,68
Switches,0.57,10
Crosses,0.45,46
Corner Kicks,0.08,60
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,25.56,17
Low Passes,4.72,34
High Passes,8.00,56
,,
Passes Attempted (Left),5.50,36
Passes Attempted (Right),27.77,26
Passes Attempted (Head),2.22,64
Throw-Ins taken,0.21,62
Passes Attempted (Other),0.25,58
,,
Passes Completed,29.00,14
Passes Offside,0.12,64
Passes Out of Bounds,0.57,71
Passes Intercepted,1.60,37
Passes Blocked,1.48,10
Shot-Creating Actions,2.01,51
,,
SCA (PassLive),1.68,63
SCA (PassDead),0.08,65
SCA (Drib),0.00,15
SCA (Sh),0.08,55
SCA (Fld),0.08,59
SCA (Def),0.08,65
,,
Goal-Creating Actions,0.25,68
,,
GCA (PassLive),0.21,72
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.04,88
GCA (Def),0.00,43
Tackles,2.05,38
Tackles Won,1.19,31
Tackles (Def 3rd),0.86,43
Tackles (Mid 3rd),0.94,37
Tackles (Att 3rd),0.25,47
,,
Dribblers Tackled,0.82,63
Dribbles Contested,1.89,47
% of dribblers tackled,43.5%,76
Dribbled Past,1.07,63
,,
Pressures,17.80,42
Successful Pressures,5.50,48
Successful Pressure %,30.9%,55
Pressures (Def 3rd),6.19,56
Pressures (Mid 3rd),8.20,27
Pressures (Att 3rd),3.40,66
,,
Blocks,2.13,90
Shots Blocked,0.57,91
Shots Saved,0.00,45
Passes Blocked,1.56,76
,,
Interceptions,1.39,28
Tkl+Int,3.45,28
Clearances,1.48,65
Errors,0.04,19
Touches,50.09,18
Touches (Def Pen),2.75,62
Touches (Def 3rd),11.49,24
Touches (Mid 3rd),27.89,18
Touches (Att 3rd),13.41,56
Touches (Att Pen),1.56,68
Touches (Live-Ball),49.39,23
,,
Dribbles Completed,0.25,6
Dribbles Attempted,0.57,13
Successful Dribble %,42.9%,5
Players Dribbled Past,0.29,6
Nutmegs,0.04,50
,,
Carries,28.96,13
Total Carrying Distance,134.59,15
Progressive Carrying Distance,70.31,26
Progressive Carries,2.75,26
Carries into Final Third,0.86,29
Carries into Penalty Area,0.08,37
Miscontrols,0.90,48
Dispossessed,1.19,36
,,
Pass Targets,32.73,15
Passes Received,28.80,14
Passes Received %,88.0%,25
Progressive Passes Rec,2.26,65
Yellow Cards,0.08,93
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.48,63
Fouls Drawn,1.23,42
Offsides,0.04,40
Crosses,0.45,46
,,
Interceptions,1.39,28
Tackles Won,1.19,31
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.24,81
,,
Aerials won,2.71,92
Aerials lost,2.42,4
% of Aerials Won,52.8%,63
