--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.21,12
Assists,0.27,91
Non-Penalty Goals,0.21,19
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.34,5
Red Cards,0.00,55
,,
xG,0.25,9
npxG,0.25,18
xA,0.18,78
npxG+xA,0.43,45
Goals,0.21,12
Shots Total,2.27,29
Shots on target,0.62,8
Shots on target %,27.3%,7
Goals/Shot,0.09,20
Goals/Shot on target,0.33,41
Average Shot Distance,12.00,89
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.25,9
npxG,0.25,18
npxG/Sh,0.11,22
Goals - xG,-0.05,27
Non-Penalty Goals - npxG,-0.05,28
Passes Completed,24.80,90
Passes Attempted,33.11,90
Pass Completion %,74.9%,74
Total Passing Distance,359.11,84
Progressive Passing Distance,93.78,87
,,
Passes Completed (Short),14.08,90
Passes Attempted (Short),17.66,91
Pass Completion % (Short),79.8%,61
,,
Passes Completed (Medium),8.04,90
Passes Attempted (Medium),9.82,86
Pass Completion % (Medium),81.8%,89
,,
Passes Completed (Long),1.31,61
Passes Attempted (Long),2.40,66
Pass Completion % (Long),54.3%,33
Assists,0.27,91
xA,0.18,78
Key Passes,1.24,72
Passes into Final Third,1.58,82
Passes into Penalty Area,0.76,57
Crosses into Penalty Area,0.21,82
Progressive Passes,2.13,77
Passes Attempted,33.11,90
,,
Live-ball passes,30.78,90
Dead-ball passes,2.34,85
Passes from Free Kicks,0.07,69
Through Balls,0.27,96
Passes Under Pressure,9.62,93
Switches,0.21,22
Crosses,0.69,46
Corner Kicks,0.07,82
,,
Inswinging Corner Kicks,0.07,85
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,23.63,89
Low Passes,5.56,79
High Passes,3.92,57
,,
Passes Attempted (Left),2.75,45
Passes Attempted (Right),26.93,93
Passes Attempted (Head),1.72,75
Throw-Ins taken,0.21,73
Passes Attempted (Other),0.69,74
,,
Passes Completed,24.80,90
Passes Offside,0.00,94
Passes Out of Bounds,0.62,24
Passes Intercepted,2.47,2
Passes Blocked,1.44,15
Shot-Creating Actions,2.34,57
,,
SCA (PassLive),1.79,63
SCA (PassDead),0.00,36
SCA (Drib),0.07,23
SCA (Sh),0.27,77
SCA (Fld),0.07,12
SCA (Def),0.14,89
,,
Goal-Creating Actions,0.48,79
,,
GCA (PassLive),0.41,90
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.07,99
Tackles,1.10,80
Tackles Won,0.89,93
Tackles (Def 3rd),0.14,55
Tackles (Mid 3rd),0.41,64
Tackles (Att 3rd),0.55,99
,,
Dribblers Tackled,0.14,46
Dribbles Contested,0.62,48
% of dribblers tackled,22.2%,41
Dribbled Past,0.48,49
,,
Pressures,18.82,86
Successful Pressures,5.50,90
Successful Pressure %,29.2%,76
Pressures (Def 3rd),1.99,81
Pressures (Mid 3rd),7.83,79
Pressures (Att 3rd),9.00,81
,,
Blocks,0.76,51
Shots Blocked,0.14,61
Shots Saved,0.00,48
Passes Blocked,0.62,50
,,
Interceptions,0.96,99
Tkl+Int,2.06,94
Clearances,0.27,14
Errors,0.07,1
Touches,47.27,91
Touches (Def Pen),0.34,11
Touches (Def 3rd),4.19,87
Touches (Mid 3rd),23.29,94
Touches (Att 3rd),21.92,82
Touches (Att Pen),6.25,80
Touches (Live-Ball),44.93,92
,,
Dribbles Completed,1.44,84
Dribbles Attempted,2.82,82
Successful Dribble %,51.2%,62
Players Dribbled Past,1.44,77
Nutmegs,0.27,93
,,
Carries,30.02,85
Total Carrying Distance,91.37,42
Progressive Carrying Distance,47.13,50
Progressive Carries,2.47,45
Carries into Final Third,0.89,53
Carries into Penalty Area,0.48,33
Miscontrols,2.61,55
Dispossessed,3.37,3
,,
Pass Targets,46.03,53
Passes Received,33.53,85
Passes Received %,72.8%,94
Progressive Passes Rec,7.42,54
Yellow Cards,0.34,5
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.20,11
Fouls Drawn,1.65,56
Offsides,0.14,99
Crosses,0.69,46
,,
Interceptions,0.96,99
Tackles Won,0.89,93
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,6.73,99
,,
Aerials won,1.10,25
Aerials lost,2.82,60
% of Aerials Won,28.1%,21
