--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.22,41
Red Cards,0.00,64
,,
xG,0.00,4
npxG,0.00,4
xA,0.00,19
npxG+xA,0.01,1
Goals,0.00,16
Shots Total,0.13,4
Shots on target,0.00,5
Shots on target %,0.0%,5
Goals/Shot,0.00,16
Average Shot Distance,21.40,6
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.00,4
npxG,0.00,4
npxG/Sh,0.02,2
Goals - xG,0.00,49
Non-Penalty Goals - npxG,0.00,49
Passes Completed,40.05,43
Passes Attempted,49.46,45
Pass Completion %,81.0%,20
Total Passing Distance,899.21,44
Progressive Passing Distance,308.47,49
,,
Passes Completed (Short),10.46,35
Passes Attempted (Short),12.27,40
Pass Completion % (Short),85.3%,13
,,
Passes Completed (Medium),21.15,42
Passes Attempted (Medium),23.39,44
Pass Completion % (Medium),90.4%,35
,,
Passes Completed (Long),8.13,55
Passes Attempted (Long),12.49,61
Pass Completion % (Long),65.1%,33
Assists,0.00,31
xA,0.00,19
Key Passes,0.13,39
Passes into Final Third,2.55,46
Passes into Penalty Area,0.09,30
Crosses into Penalty Area,0.00,29
Progressive Passes,2.73,58
Passes Attempted,49.46,45
,,
Live-ball passes,48.01,48
Dead-ball passes,1.45,18
Passes from Free Kicks,1.23,25
Through Balls,0.00,27
Passes Under Pressure,5.10,40
Switches,1.23,39
Crosses,0.13,56
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,35.83,47
Low Passes,4.26,54
High Passes,9.36,54
,,
Passes Attempted (Left),10.90,62
Passes Attempted (Right),34.07,53
Passes Attempted (Head),2.46,43
Throw-Ins taken,0.22,46
Passes Attempted (Other),0.31,88
,,
Passes Completed,40.05,43
Passes Offside,0.09,62
Passes Out of Bounds,0.97,33
Passes Intercepted,1.49,7
Passes Blocked,1.19,3
Shot-Creating Actions,0.53,49
,,
SCA (PassLive),0.44,51
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.09,95
,,
Goal-Creating Actions,0.09,73
,,
GCA (PassLive),0.09,84
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.64,93
Tackles Won,1.54,93
Tackles (Def 3rd),1.67,92
Tackles (Mid 3rd),0.92,92
Tackles (Att 3rd),0.04,38
,,
Dribblers Tackled,1.10,92
Dribbles Contested,2.20,97
% of dribblers tackled,50.0%,34
Dribbled Past,1.10,4
,,
Pressures,12.66,91
Successful Pressures,4.48,85
Successful Pressure %,35.4%,42
Pressures (Def 3rd),6.42,79
Pressures (Mid 3rd),5.41,91
Pressures (Att 3rd),0.84,83
,,
Blocks,1.32,14
Shots Blocked,0.44,10
Shots Saved,0.00,32
Passes Blocked,0.88,47
,,
Interceptions,3.30,97
Tkl+Int,5.94,98
Clearances,4.75,65
Errors,0.04,38
Touches,61.11,49
Touches (Def Pen),6.51,12
Touches (Def 3rd),34.73,59
Touches (Mid 3rd),28.49,49
Touches (Att 3rd),2.24,39
Touches (Att Pen),0.31,6
Touches (Live-Ball),59.79,51
,,
Dribbles Completed,0.57,95
Dribbles Attempted,0.84,94
Successful Dribble %,68.4%,52
Players Dribbled Past,0.66,96
Nutmegs,0.04,89
,,
Carries,38.08,53
Total Carrying Distance,198.07,49
Progressive Carrying Distance,95.01,41
Progressive Carries,2.02,43
Carries into Final Third,0.35,48
Carries into Penalty Area,0.09,92
Miscontrols,0.40,17
Dispossessed,0.48,8
,,
Pass Targets,36.23,42
Passes Received,35.75,43
Passes Received %,98.7%,86
Progressive Passes Rec,0.22,63
Yellow Cards,0.22,41
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.45,18
Fouls Drawn,0.62,54
Offsides,0.00,79
Crosses,0.13,56
,,
Interceptions,3.30,97
Tackles Won,1.54,93
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.04,27
Own Goals,0.00,60
Ball Recoveries,10.68,80
,,
Aerials won,2.64,53
Aerials lost,2.37,5
% of Aerials Won,52.6%,13
