--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.23,42
Assists,0.12,25
Non-Penalty Goals,0.23,49
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.06,80
Red Cards,0.00,56
,,
xG,0.28,64
npxG,0.28,75
xA,0.16,45
npxG+xA,0.45,68
Goals,0.23,42
Shots Total,1.86,37
Shots on target,1.04,79
Shots on target %,56.3%,99
Goals/Shot,0.13,62
Goals/Shot on target,0.22,27
Average Shot Distance,13.60,95
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.28,64
npxG,0.28,75
npxG/Sh,0.15,87
Goals - xG,-0.05,26
Non-Penalty Goals - npxG,-0.05,26
Passes Completed,29.52,55
Passes Attempted,36.24,48
Pass Completion %,81.4%,81
Total Passing Distance,428.78,43
Progressive Passing Distance,95.57,27
,,
Passes Completed (Short),16.88,66
Passes Attempted (Short),19.37,63
Pass Completion % (Short),87.1%,66
,,
Passes Completed (Medium),9.57,50
Passes Attempted (Medium),11.54,44
Pass Completion % (Medium),82.9%,70
,,
Passes Completed (Long),1.51,15
Passes Attempted (Long),2.55,12
Pass Completion % (Long),59.1%,67
Assists,0.12,25
xA,0.16,45
Key Passes,1.57,52
Passes into Final Third,1.04,16
Passes into Penalty Area,0.81,13
Crosses into Penalty Area,0.00,1
Progressive Passes,2.32,27
Passes Attempted,36.24,48
,,
Live-ball passes,35.14,53
Dead-ball passes,1.10,29
Passes from Free Kicks,0.17,30
Through Balls,0.12,55
Passes Under Pressure,8.18,78
Switches,0.46,12
Crosses,0.64,6
Corner Kicks,0.64,48
,,
Inswinging Corner Kicks,0.35,55
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.06,70
,,
Ground passes,29.69,61
Low Passes,3.31,9
High Passes,3.25,15
,,
Passes Attempted (Left),3.13,18
Passes Attempted (Right),31.72,72
Passes Attempted (Head),0.70,19
Throw-Ins taken,0.17,10
Passes Attempted (Other),0.12,15
,,
Passes Completed,29.52,55
Passes Offside,0.23,31
Passes Out of Bounds,0.52,63
Passes Intercepted,1.62,49
Passes Blocked,1.10,85
Shot-Creating Actions,3.77,70
,,
SCA (PassLive),2.49,71
SCA (PassDead),0.23,49
SCA (Drib),0.35,72
SCA (Sh),0.35,93
SCA (Fld),0.29,82
SCA (Def),0.06,47
,,
Goal-Creating Actions,0.52,75
,,
GCA (PassLive),0.35,69
GCA (PassDead),0.00,30
GCA (Drib),0.06,77
GCA (Sh),0.12,96
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.68,69
Tackles Won,1.16,78
Tackles (Def 3rd),0.58,64
Tackles (Mid 3rd),0.87,84
Tackles (Att 3rd),0.23,33
,,
Dribblers Tackled,0.35,36
Dribbles Contested,1.45,54
% of dribblers tackled,24.0%,23
Dribbled Past,1.10,34
,,
Pressures,15.08,36
Successful Pressures,4.76,55
Successful Pressure %,31.5%,89
Pressures (Def 3rd),3.65,52
Pressures (Mid 3rd),7.36,52
Pressures (Att 3rd),4.06,15
,,
Blocks,1.51,78
Shots Blocked,0.06,37
Shots Saved,0.00,49
Passes Blocked,1.45,80
,,
Interceptions,1.04,58
Tkl+Int,2.73,69
Clearances,0.52,60
Errors,0.00,57
Touches,49.87,46
Touches (Def Pen),0.93,61
Touches (Def 3rd),6.26,48
Touches (Mid 3rd),24.12,53
Touches (Att 3rd),25.11,52
Touches (Att Pen),5.39,81
Touches (Live-Ball),48.83,51
,,
Dribbles Completed,2.38,82
Dribbles Attempted,4.47,85
Successful Dribble %,53.2%,58
Players Dribbled Past,2.78,88
Nutmegs,0.17,56
,,
Carries,39.78,65
Total Carrying Distance,246.11,81
Progressive Carrying Distance,152.45,87
Progressive Carries,7.19,72
Carries into Final Third,3.36,96
Carries into Penalty Area,1.33,74
Miscontrols,2.03,57
Dispossessed,2.09,40
,,
Pass Targets,49.87,58
Passes Received,38.16,54
Passes Received %,76.5%,44
Progressive Passes Rec,8.06,85
Yellow Cards,0.06,80
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.75,84
Fouls Drawn,1.51,42
Offsides,0.35,36
Crosses,0.64,6
,,
Interceptions,1.04,58
Tackles Won,1.16,78
Penalty Kicks Won,0.06,88
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,5.10,19
,,
Aerials won,0.75,59
Aerials lost,1.22,60
% of Aerials Won,38.2%,65
