--- When using SR data, please cite us and provide a link and/or a mention.


 
Goalkeeping,Goalkeeping,Goalkeeping
Statistic,Per 90,Percentile
Goals Against,1.25,61
Shots on Target Against,3.32,14
Saves,2.21,14
Save%,66.4%,34
Wins,0.48,78
Draws,0.23,36
Losses,0.30,34
Clean Sheets,0.27,50
Clean Sheet Percentage,27.3%,50
Penalty Kicks Attempted,0.16,56
Penalty Kicks Allowed,0.14,38
Penalty Kicks Saved,0.00,26
Penalty Kicks Missed,0.02,74
Save% (Penalty Kicks),0.0%,26
Goals Against,1.25,61
Penalty Kicks Allowed,0.14,38
Free Kick Goals Against,0.00,73
Corner Kick Goals Against,0.25,25
Own Goals Scored Against Goalkeeper,0.05,41
,,
PSxG,1.16,64
PSxG/SoT,0.32,74
PSxG-GA,-0.05,43
,,
Passes Completed (Launched),4.87,21
Passes Attempted (Launched),11.44,20
Pass Completion Percentage (Launched),42.5%,55
,,
Passes Attempted,30.52,80
Throws Attempted,4.64,67
Launch%,30.7%,18
Average Pass Length,32.3,15
,,
Goal Kicks,5.80,12
Launch% (Goal Kicks),35.7%,14
Avg. Length of Goal Kicks,34.1,15
,,
Crosses Faced,6.46,9
Crosses Stopped,0.25,3
Crosses Stopped %,3.9%,9
,,
Def. Actions Outside Pen. Area,1.18,90
Avg. Distance of Def. Actions,17.3,95
