--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.03,27
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.20,59
Red Cards,0.00,61
,,
xG,0.04,20
npxG,0.04,21
xA,0.01,5
npxG+xA,0.05,8
Goals,0.00,11
Shots Total,0.42,8
Shots on target,0.07,9
Shots on target %,15.4%,13
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,17.80,75
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,20
npxG,0.04,21
npxG/Sh,0.09,78
Goals - xG,-0.04,21
Non-Penalty Goals - npxG,-0.04,21
Passes Completed,22.75,3
Passes Attempted,30.88,3
Pass Completion %,73.7%,6
Total Passing Distance,399.30,3
Progressive Passing Distance,109.29,6
,,
Passes Completed (Short),10.02,5
Passes Attempted (Short),12.57,6
Pass Completion % (Short),79.7%,3
,,
Passes Completed (Medium),9.83,6
Passes Attempted (Medium),12.44,8
Pass Completion % (Medium),79.0%,7
,,
Passes Completed (Long),2.06,3
Passes Attempted (Long),4.08,6
Pass Completion % (Long),50.4%,5
Assists,0.03,27
xA,0.01,5
Key Passes,0.20,2
Passes into Final Third,1.83,4
Passes into Penalty Area,0.36,15
Crosses into Penalty Area,0.16,73
Progressive Passes,2.06,4
Passes Attempted,30.88,3
,,
Live-ball passes,30.13,4
Dead-ball passes,0.75,13
Passes from Free Kicks,0.33,7
Through Balls,0.00,11
Passes Under Pressure,6.89,25
Switches,0.46,5
Crosses,0.56,52
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,19.36,3
Low Passes,4.34,22
High Passes,7.18,42
,,
Passes Attempted (Left),4.83,32
Passes Attempted (Right),22.33,19
Passes Attempted (Head),2.12,59
Throw-Ins taken,0.16,53
Passes Attempted (Other),0.20,40
,,
Passes Completed,22.75,3
Passes Offside,0.20,38
Passes Out of Bounds,0.82,32
Passes Intercepted,0.65,98
Passes Blocked,1.14,31
Shot-Creating Actions,0.72,2
,,
SCA (PassLive),0.52,2
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.07,48
SCA (Fld),0.07,51
SCA (Def),0.07,53
,,
Goal-Creating Actions,0.07,15
,,
GCA (PassLive),0.07,24
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.61,69
Tackles Won,1.66,67
Tackles (Def 3rd),1.18,76
Tackles (Mid 3rd),1.11,58
Tackles (Att 3rd),0.33,69
,,
Dribblers Tackled,0.65,37
Dribbles Contested,1.63,29
% of dribblers tackled,40.0%,64
Dribbled Past,0.98,74
,,
Pressures,22.59,81
Successful Pressures,6.63,77
Successful Pressure %,29.3%,38
Pressures (Def 3rd),6.20,56
Pressures (Mid 3rd),12.99,93
Pressures (Att 3rd),3.40,65
,,
Blocks,1.53,49
Shots Blocked,0.26,43
Shots Saved,0.00,45
Passes Blocked,1.27,52
,,
Interceptions,1.57,37
Tkl+Int,4.18,57
Clearances,1.34,57
Errors,0.00,67
Touches,40.22,2
Touches (Def Pen),1.37,13
Touches (Def 3rd),9.73,11
Touches (Mid 3rd),24.48,7
Touches (Att 3rd),7.25,9
Touches (Att Pen),0.78,30
Touches (Live-Ball),39.53,2
,,
Dribbles Completed,0.56,36
Dribbles Attempted,0.72,22
Successful Dribble %,77.3%,94
Players Dribbled Past,0.62,36
Nutmegs,0.03,40
,,
Carries,20.57,1
Total Carrying Distance,87.68,1
Progressive Carrying Distance,35.58,2
Progressive Carries,1.66,6
Carries into Final Third,0.29,2
Carries into Penalty Area,0.10,41
Miscontrols,0.59,81
Dispossessed,0.72,74
,,
Pass Targets,24.91,1
Passes Received,21.45,1
Passes Received %,86.1%,16
Progressive Passes Rec,1.14,25
Yellow Cards,0.20,59
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.09,23
Fouls Drawn,1.27,45
Offsides,0.00,77
Crosses,0.56,52
,,
Interceptions,1.57,37
Tackles Won,1.66,67
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.79,51
,,
Aerials won,1.44,62
Aerials lost,1.47,31
% of Aerials Won,49.4%,48
