--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,10
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.32,13
Red Cards,0.00,60
,,
xG,0.00,1
npxG,0.00,1
xA,0.06,36
npxG+xA,0.06,13
Goals,0.00,20
Shots Total,0.11,1
Shots on target,0.00,2
Shots on target %,0.0%,2
Goals/Shot,0.00,20
Average Shot Distance,20.40,42
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.00,1
npxG,0.00,1
npxG/Sh,0.03,9
Goals - xG,0.00,58
Non-Penalty Goals - npxG,0.00,58
Passes Completed,31.31,14
Passes Attempted,47.33,31
Pass Completion %,66.1%,3
Total Passing Distance,576.40,16
Progressive Passing Distance,295.90,58
,,
Passes Completed (Short),14.86,23
Passes Attempted (Short),18.47,31
Pass Completion % (Short),80.5%,3
,,
Passes Completed (Medium),11.04,5
Passes Attempted (Medium),15.92,9
Pass Completion % (Medium),69.3%,1
,,
Passes Completed (Long),4.78,65
Passes Attempted (Long),10.61,79
Pass Completion % (Long),45.0%,23
Assists,0.00,10
xA,0.06,36
Key Passes,1.27,78
Passes into Final Third,2.76,60
Passes into Penalty Area,2.12,96
Crosses into Penalty Area,1.06,98
Progressive Passes,4.56,78
Passes Attempted,47.33,31
,,
Live-ball passes,37.25,28
Dead-ball passes,10.08,58
Passes from Free Kicks,0.42,13
Through Balls,0.00,18
Passes Under Pressure,5.52,32
Switches,1.17,59
Crosses,2.55,66
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,21.12,10
Low Passes,12.84,84
High Passes,13.37,72
,,
Passes Attempted (Left),3.82,22
Passes Attempted (Right),31.10,60
Passes Attempted (Head),2.02,58
Throw-Ins taken,9.66,76
Passes Attempted (Other),0.11,37
,,
Passes Completed,31.31,14
Passes Offside,0.42,1
Passes Out of Bounds,1.70,1
Passes Intercepted,2.23,20
Passes Blocked,1.59,61
Shot-Creating Actions,2.02,66
,,
SCA (PassLive),1.59,70
SCA (PassDead),0.32,80
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.00,10
SCA (Def),0.11,92
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,3
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,3.61,97
Tackles Won,2.02,95
Tackles (Def 3rd),1.59,81
Tackles (Mid 3rd),1.49,99
Tackles (Att 3rd),0.53,98
,,
Dribblers Tackled,1.27,87
Dribbles Contested,2.65,89
% of dribblers tackled,48.0%,50
Dribbled Past,1.38,13
,,
Pressures,15.50,78
Successful Pressures,4.56,71
Successful Pressure %,29.5%,35
Pressures (Def 3rd),6.90,78
Pressures (Mid 3rd),5.94,74
Pressures (Att 3rd),2.65,65
,,
Blocks,2.02,62
Shots Blocked,0.21,35
Shots Saved,0.00,41
Passes Blocked,1.80,70
,,
Interceptions,1.06,3
Tkl+Int,4.67,76
Clearances,3.18,95
Errors,0.00,70
Touches,59.33,33
Touches (Def Pen),3.93,67
Touches (Def 3rd),19.00,44
Touches (Mid 3rd),24.94,20
Touches (Att 3rd),19.00,55
Touches (Att Pen),0.42,4
Touches (Live-Ball),49.35,32
,,
Dribbles Completed,0.85,61
Dribbles Attempted,1.17,37
Successful Dribble %,72.7%,95
Players Dribbled Past,0.85,53
Nutmegs,0.00,9
,,
Carries,27.70,11
Total Carrying Distance,146.36,18
Progressive Carrying Distance,74.29,13
Progressive Carries,3.50,28
Carries into Final Third,1.06,18
Carries into Penalty Area,0.00,1
Miscontrols,0.74,67
Dispossessed,0.32,97
,,
Pass Targets,35.02,28
Passes Received,29.82,24
Passes Received %,85.2%,7
Progressive Passes Rec,1.38,22
Yellow Cards,0.32,13
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,2.02,2
Fouls Drawn,0.96,43
Offsides,0.00,89
Crosses,2.55,66
,,
Interceptions,1.06,3
Tackles Won,2.02,95
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.11,1
Own Goals,0.00,57
Ball Recoveries,8.49,63
,,
Aerials won,1.59,78
Aerials lost,1.27,38
% of Aerials Won,55.6%,72
