--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.04,32
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.19,62
Red Cards,0.00,61
,,
xG,0.05,29
npxG,0.05,30
xA,0.01,4
npxG+xA,0.06,9
Goals,0.00,11
Shots Total,0.49,13
Shots on target,0.04,3
Shots on target %,7.7%,2
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,17.10,79
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.05,29
npxG,0.05,30
npxG/Sh,0.09,78
Goals - xG,-0.05,17
Non-Penalty Goals - npxG,-0.05,17
Passes Completed,37.06,38
Passes Attempted,44.79,35
Pass Completion %,82.7%,48
Total Passing Distance,633.83,26
Progressive Passing Distance,176.10,34
,,
Passes Completed (Short),18.04,57
Passes Attempted (Short),21.26,61
Pass Completion % (Short),84.8%,18
,,
Passes Completed (Medium),14.48,32
Passes Attempted (Medium),16.45,30
Pass Completion % (Medium),88.0%,50
,,
Passes Completed (Long),3.60,18
Passes Attempted (Long),4.96,13
Pass Completion % (Long),72.5%,64
Assists,0.04,32
xA,0.01,4
Key Passes,0.38,10
Passes into Final Third,2.61,21
Passes into Penalty Area,0.23,6
Crosses into Penalty Area,0.00,8
Progressive Passes,2.84,20
Passes Attempted,44.79,35
,,
Live-ball passes,42.40,35
Dead-ball passes,2.39,64
Passes from Free Kicks,2.05,77
Through Balls,0.00,11
Passes Under Pressure,7.35,34
Switches,0.87,24
Crosses,0.11,9
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,31.95,35
Low Passes,6.29,79
High Passes,6.56,33
,,
Passes Attempted (Left),8.37,63
Passes Attempted (Right),31.53,35
Passes Attempted (Head),3.33,95
Throw-Ins taken,0.27,71
Passes Attempted (Other),0.19,38
,,
Passes Completed,37.06,38
Passes Offside,0.19,41
Passes Out of Bounds,0.80,36
Passes Intercepted,1.40,55
Passes Blocked,1.14,33
Shot-Creating Actions,1.14,12
,,
SCA (PassLive),0.99,18
SCA (PassDead),0.00,23
SCA (Drib),0.04,43
SCA (Sh),0.04,27
SCA (Fld),0.04,30
SCA (Def),0.04,30
,,
Goal-Creating Actions,0.04,8
,,
GCA (PassLive),0.04,12
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,3.64,97
Tackles Won,2.31,94
Tackles (Def 3rd),2.01,99
Tackles (Mid 3rd),1.36,81
Tackles (Att 3rd),0.27,53
,,
Dribblers Tackled,1.33,97
Dribbles Contested,3.37,96
% of dribblers tackled,39.3%,61
Dribbled Past,2.05,8
,,
Pressures,23.49,85
Successful Pressures,7.58,91
Successful Pressure %,32.3%,71
Pressures (Def 3rd),9.89,98
Pressures (Mid 3rd),11.33,76
Pressures (Att 3rd),2.27,29
,,
Blocks,1.82,70
Shots Blocked,0.23,37
Shots Saved,0.00,45
Passes Blocked,1.59,79
,,
Interceptions,2.05,75
Tkl+Int,5.68,93
Clearances,1.44,63
Errors,0.04,22
Touches,55.74,36
Touches (Def Pen),3.33,76
Touches (Def 3rd),19.82,87
Touches (Mid 3rd),30.54,28
Touches (Att 3rd),7.16,8
Touches (Att Pen),0.72,27
Touches (Live-Ball),53.62,35
,,
Dribbles Completed,0.30,11
Dribbles Attempted,0.57,12
Successful Dribble %,53.3%,23
Players Dribbled Past,0.34,10
Nutmegs,0.04,46
,,
Carries,25.62,7
Total Carrying Distance,98.15,4
Progressive Carrying Distance,46.84,6
Progressive Carries,1.71,7
Carries into Final Third,0.30,2
Carries into Penalty Area,0.15,58
Miscontrols,0.49,89
Dispossessed,0.61,86
,,
Pass Targets,33.65,17
Passes Received,30.51,20
Passes Received %,90.7%,42
Progressive Passes Rec,0.95,18
Yellow Cards,0.19,62
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.71,45
Fouls Drawn,1.52,59
Offsides,0.11,10
Crosses,0.11,9
,,
Interceptions,2.05,75
Tackles Won,2.31,94
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.82,88
,,
Aerials won,1.40,61
Aerials lost,1.82,15
% of Aerials Won,43.5%,29
