--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,51
Assists,0.00,31
Non-Penalty Goals,0.04,52
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.20,48
Red Cards,0.00,64
,,
xG,0.06,65
npxG,0.06,65
xA,0.01,37
npxG+xA,0.07,53
Goals,0.04,51
Shots Total,0.61,68
Shots on target,0.16,64
Shots on target %,26.7%,51
Goals/Shot,0.07,45
Goals/Shot on target,0.25,40
Average Shot Distance,10.40,59
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,65
npxG,0.06,65
npxG/Sh,0.09,53
Goals - xG,-0.02,33
Non-Penalty Goals - npxG,-0.02,33
Passes Completed,43.62,50
Passes Attempted,50.86,48
Pass Completion %,85.8%,55
Total Passing Distance,1008.59,59
Progressive Passing Distance,279.72,35
,,
Passes Completed (Short),8.99,24
Passes Attempted (Short),10.66,28
Pass Completion % (Short),84.4%,9
,,
Passes Completed (Medium),25.23,63
Passes Attempted (Medium),27.59,64
Pass Completion % (Medium),91.4%,44
,,
Passes Completed (Long),9.15,68
Passes Attempted (Long),12.08,55
Pass Completion % (Long),75.8%,75
Assists,0.00,31
xA,0.01,37
Key Passes,0.16,47
Passes into Final Third,1.34,10
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,1.06,3
Passes Attempted,50.86,48
,,
Live-ball passes,49.27,51
Dead-ball passes,1.59,22
Passes from Free Kicks,1.10,17
Through Balls,0.00,27
Passes Under Pressure,5.61,56
Switches,1.26,41
Crosses,0.08,42
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,38.41,53
Low Passes,3.78,34
High Passes,8.67,43
,,
Passes Attempted (Left),7.32,44
Passes Attempted (Right),38.16,62
Passes Attempted (Head),2.73,57
Throw-Ins taken,0.16,39
Passes Attempted (Other),0.20,67
,,
Passes Completed,43.62,50
Passes Offside,0.20,16
Passes Out of Bounds,0.85,45
Passes Intercepted,0.57,84
Passes Blocked,0.49,52
Shot-Creating Actions,0.16,1
,,
SCA (PassLive),0.12,2
SCA (PassDead),0.04,80
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.42,38
Tackles Won,0.98,52
Tackles (Def 3rd),0.98,45
Tackles (Mid 3rd),0.45,44
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.61,54
Dribbles Contested,1.06,41
% of dribblers tackled,57.7%,68
Dribbled Past,0.45,63
,,
Pressures,9.76,61
Successful Pressures,3.66,62
Successful Pressure %,37.5%,65
Pressures (Def 3rd),6.67,83
Pressures (Mid 3rd),2.77,27
Pressures (Att 3rd),0.33,30
,,
Blocks,1.99,75
Shots Blocked,0.49,14
Shots Saved,0.00,32
Passes Blocked,1.51,96
,,
Interceptions,1.87,38
Tkl+Int,3.30,34
Clearances,4.56,61
Errors,0.00,83
Touches,61.07,48
Touches (Def Pen),9.60,65
Touches (Def 3rd),37.88,77
Touches (Mid 3rd),24.01,29
Touches (Att 3rd),1.30,9
Touches (Att Pen),1.06,73
Touches (Live-Ball),59.53,51
,,
Dribbles Completed,0.08,20
Dribbles Attempted,0.12,20
Successful Dribble %,66.7%,47
Players Dribbled Past,0.08,17
Nutmegs,0.00,37
,,
Carries,36.21,48
Total Carrying Distance,151.11,23
Progressive Carrying Distance,53.06,7
Progressive Carries,0.65,3
Carries into Final Third,0.04,5
Carries into Penalty Area,0.00,31
Miscontrols,0.12,86
Dispossessed,0.16,61
,,
Pass Targets,40.16,51
Passes Received,39.34,51
Passes Received %,98.0%,51
Progressive Passes Rec,0.20,60
Yellow Cards,0.20,48
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.14,43
Fouls Drawn,0.24,10
Offsides,0.08,14
Crosses,0.08,42
,,
Interceptions,1.87,38
Tackles Won,0.98,52
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.04,29
Own Goals,0.00,60
Ball Recoveries,8.91,43
,,
Aerials won,3.82,87
Aerials lost,2.20,13
% of Aerials Won,63.5%,49
