--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,81
Assists,0.23,94
Non-Penalty Goals,0.09,81
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.23,31
Red Cards,0.00,60
,,
xG,0.08,84
npxG,0.08,85
xA,0.13,76
npxG+xA,0.21,83
Goals,0.09,81
Shots Total,0.98,83
Shots on target,0.37,90
Shots on target %,38.1%,81
Goals/Shot,0.10,72
Goals/Shot on target,0.25,56
Average Shot Distance,14.00,91
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.08,84
npxG,0.08,85
npxG/Sh,0.08,71
Goals - xG,+0.01,67
Non-Penalty Goals - npxG,+0.01,67
Passes Completed,55.21,86
Passes Attempted,71.25,92
Pass Completion %,77.5%,52
Total Passing Distance,995.27,88
Progressive Passing Distance,397.31,94
,,
Passes Completed (Short),24.06,81
Passes Attempted (Short),27.33,81
Pass Completion % (Short),88.1%,42
,,
Passes Completed (Medium),24.76,90
Passes Attempted (Medium),31.15,95
Pass Completion % (Medium),79.5%,37
,,
Passes Completed (Long),5.60,78
Passes Attempted (Long),10.45,76
Pass Completion % (Long),53.6%,56
Assists,0.23,94
xA,0.13,76
Key Passes,0.84,53
Passes into Final Third,3.50,81
Passes into Penalty Area,1.31,73
Crosses into Penalty Area,0.65,80
Progressive Passes,6.02,94
Passes Attempted,71.25,92
,,
Live-ball passes,61.83,93
Dead-ball passes,9.42,46
Passes from Free Kicks,0.42,12
Through Balls,0.14,94
Passes Under Pressure,7.97,92
Switches,1.03,47
Crosses,2.98,82
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,42.48,84
Low Passes,13.57,93
High Passes,15.20,86
,,
Passes Attempted (Left),6.11,37
Passes Attempted (Right),51.25,94
Passes Attempted (Head),3.22,96
Throw-Ins taken,9.00,61
Passes Attempted (Other),0.14,52
,,
Passes Completed,55.21,86
Passes Offside,0.42,2
Passes Out of Bounds,0.98,37
Passes Intercepted,3.12,1
Passes Blocked,2.05,25
Shot-Creating Actions,1.73,50
,,
SCA (PassLive),1.31,47
SCA (PassDead),0.14,61
SCA (Drib),0.05,48
SCA (Sh),0.09,79
SCA (Fld),0.09,75
SCA (Def),0.05,65
,,
Goal-Creating Actions,0.42,93
,,
GCA (PassLive),0.37,96
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.05,91
GCA (Def),0.00,46
Tackles,2.38,65
Tackles Won,1.54,76
Tackles (Def 3rd),1.03,36
Tackles (Mid 3rd),0.84,74
Tackles (Att 3rd),0.51,97
,,
Dribblers Tackled,1.12,74
Dribbles Contested,2.10,71
% of dribblers tackled,53.3%,68
Dribbled Past,0.98,41
,,
Pressures,11.05,28
Successful Pressures,4.34,64
Successful Pressure %,39.2%,99
Pressures (Def 3rd),5.04,34
Pressures (Mid 3rd),4.10,24
Pressures (Att 3rd),1.91,30
,,
Blocks,1.17,3
Shots Blocked,0.14,14
Shots Saved,0.00,41
Passes Blocked,1.03,6
,,
Interceptions,1.59,33
Tkl+Int,3.96,50
Clearances,1.59,31
Errors,0.05,19
Touches,80.53,92
Touches (Def Pen),2.66,24
Touches (Def 3rd),23.08,83
Touches (Mid 3rd),42.06,92
Touches (Att 3rd),21.17,70
Touches (Att Pen),1.77,64
Touches (Live-Ball),71.25,92
,,
Dribbles Completed,1.03,74
Dribbles Attempted,1.45,53
Successful Dribble %,71.0%,94
Players Dribbled Past,1.12,73
Nutmegs,0.09,61
,,
Carries,50.04,88
Total Carrying Distance,275.32,92
Progressive Carrying Distance,166.38,94
Progressive Carries,7.83,96
Carries into Final Third,2.56,96
Carries into Penalty Area,0.28,51
Miscontrols,0.79,60
Dispossessed,0.84,45
,,
Pass Targets,55.40,90
Passes Received,51.85,89
Passes Received %,93.6%,83
Progressive Passes Rec,3.12,81
Yellow Cards,0.23,31
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.87,6
Fouls Drawn,0.47,9
Offsides,0.09,39
Crosses,2.98,82
,,
Interceptions,1.59,33
Tackles Won,1.54,76
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,10.73,99
,,
Aerials won,2.29,94
Aerials lost,0.84,81
% of Aerials Won,73.1%,99
