--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.05,59
Assists,0.00,31
Non-Penalty Goals,0.05,60
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.36,9
Red Cards,0.00,64
,,
xG,0.06,64
npxG,0.06,64
xA,0.00,5
npxG+xA,0.06,41
Goals,0.05,59
Shots Total,0.52,53
Shots on target,0.16,60
Shots on target %,30.0%,61
Goals/Shot,0.10,58
Goals/Shot on target,0.33,51
Average Shot Distance,9.50,68
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,64
npxG,0.06,64
npxG/Sh,0.11,67
Goals - xG,-0.01,49
Non-Penalty Goals - npxG,-0.01,49
Passes Completed,53.79,75
Passes Attempted,62.84,77
Pass Completion %,85.6%,52
Total Passing Distance,1264.81,83
Progressive Passing Distance,358.66,69
,,
Passes Completed (Short),10.97,40
Passes Attempted (Short),12.47,41
Pass Completion % (Short),88.0%,27
,,
Passes Completed (Medium),29.02,77
Passes Attempted (Medium),31.81,78
Pass Completion % (Medium),91.2%,42
,,
Passes Completed (Long),13.34,95
Passes Attempted (Long),17.22,96
Pass Completion % (Long),77.5%,82
Assists,0.00,31
xA,0.00,5
Key Passes,0.00,2
Passes into Final Third,2.95,62
Passes into Penalty Area,0.16,50
Crosses into Penalty Area,0.00,29
Progressive Passes,2.90,65
Passes Attempted,62.84,77
,,
Live-ball passes,58.76,76
Dead-ball passes,4.09,91
Passes from Free Kicks,3.00,98
Through Balls,0.00,27
Passes Under Pressure,6.52,78
Switches,2.07,78
Crosses,0.10,48
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,47.53,75
Low Passes,5.17,80
High Passes,10.14,67
,,
Passes Attempted (Left),13.76,68
Passes Attempted (Right),43.60,73
Passes Attempted (Head),3.47,88
Throw-Ins taken,0.10,21
Passes Attempted (Other),0.21,68
,,
Passes Completed,53.79,75
Passes Offside,0.05,82
Passes Out of Bounds,1.50,2
Passes Intercepted,0.98,43
Passes Blocked,0.93,11
Shot-Creating Actions,0.41,31
,,
SCA (PassLive),0.41,48
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.43,88
Tackles Won,1.40,85
Tackles (Def 3rd),1.76,96
Tackles (Mid 3rd),0.67,76
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,1.24,97
Dribbles Contested,2.48,99
% of dribblers tackled,50.0%,34
Dribbled Past,1.24,2
,,
Pressures,12.21,87
Successful Pressures,5.79,98
Successful Pressure %,47.5%,99
Pressures (Def 3rd),8.22,97
Pressures (Mid 3rd),3.47,54
Pressures (Att 3rd),0.52,58
,,
Blocks,2.38,93
Shots Blocked,1.14,89
Shots Saved,0.05,86
Passes Blocked,1.24,86
,,
Interceptions,3.93,99
Tkl+Int,6.36,99
Clearances,6.00,94
Errors,0.00,83
Touches,77.43,85
Touches (Def Pen),13.86,98
Touches (Def 3rd),51.41,99
Touches (Mid 3rd),29.12,52
Touches (Att 3rd),2.02,33
Touches (Att Pen),0.98,65
Touches (Live-Ball),73.76,83
,,
Dribbles Completed,0.47,90
Dribbles Attempted,0.52,81
Successful Dribble %,90.0%,88
Players Dribbled Past,0.47,88
Nutmegs,0.00,37
,,
Carries,45.57,74
Total Carrying Distance,252.31,75
Progressive Carrying Distance,128.43,69
Progressive Carries,2.28,51
Carries into Final Third,0.36,49
Carries into Penalty Area,0.00,31
Miscontrols,0.31,33
Dispossessed,0.36,19
,,
Pass Targets,45.21,64
Passes Received,44.48,65
Passes Received %,98.4%,70
Progressive Passes Rec,0.21,61
Yellow Cards,0.36,9
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.40,22
Fouls Drawn,1.50,98
Offsides,0.00,79
Crosses,0.10,48
,,
Interceptions,3.93,99
Tackles Won,1.40,85
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.05,6
Ball Recoveries,12.88,97
,,
Aerials won,3.93,90
Aerials lost,2.22,12
% of Aerials Won,63.9%,51
