--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.08,90
Red Cards,0.00,64
,,
xG,0.01,7
npxG,0.01,7
xA,0.00,5
npxG+xA,0.02,5
Goals,0.00,16
Shots Total,0.31,25
Shots on target,0.08,30
Shots on target %,25.0%,47
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,11.80,44
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.01,7
npxG,0.01,7
npxG/Sh,0.04,8
Goals - xG,-0.01,44
Non-Penalty Goals - npxG,-0.01,44
Passes Completed,26.97,5
Passes Attempted,32.36,2
Pass Completion %,83.3%,36
Total Passing Distance,668.68,10
Progressive Passing Distance,163.36,2
,,
Passes Completed (Short),4.78,1
Passes Attempted (Short),6.01,1
Pass Completion % (Short),79.5%,2
,,
Passes Completed (Medium),14.41,7
Passes Attempted (Medium),16.18,6
Pass Completion % (Medium),89.0%,24
,,
Passes Completed (Long),7.24,41
Passes Attempted (Long),9.32,20
Pass Completion % (Long),77.7%,83
Assists,0.00,31
xA,0.00,5
Key Passes,0.08,18
Passes into Final Third,1.08,4
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,1.00,2
Passes Attempted,32.36,2
,,
Live-ball passes,31.75,3
Dead-ball passes,0.62,1
Passes from Free Kicks,0.46,1
Through Balls,0.00,27
Passes Under Pressure,4.70,27
Switches,1.70,68
Crosses,0.23,74
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,21.58,5
Low Passes,3.16,13
High Passes,7.63,28
,,
Passes Attempted (Left),4.55,22
Passes Attempted (Right),23.89,31
Passes Attempted (Head),2.16,27
Throw-Ins taken,0.15,38
Passes Attempted (Other),0.15,49
,,
Passes Completed,26.97,5
Passes Offside,0.15,30
Passes Out of Bounds,0.54,84
Passes Intercepted,0.15,99
Passes Blocked,0.46,56
Shot-Creating Actions,0.46,39
,,
SCA (PassLive),0.39,40
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.08,77
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.93,69
Tackles Won,1.39,84
Tackles (Def 3rd),1.54,90
Tackles (Mid 3rd),0.31,19
Tackles (Att 3rd),0.08,58
,,
Dribblers Tackled,0.77,71
Dribbles Contested,1.62,80
% of dribblers tackled,47.6%,24
Dribbled Past,0.85,15
,,
Pressures,11.48,81
Successful Pressures,4.32,82
Successful Pressure %,37.6%,67
Pressures (Def 3rd),7.24,91
Pressures (Mid 3rd),3.78,64
Pressures (Att 3rd),0.46,48
,,
Blocks,2.23,91
Shots Blocked,0.77,50
Shots Saved,0.08,96
Passes Blocked,1.46,95
,,
Interceptions,2.54,79
Tkl+Int,4.47,77
Clearances,5.93,93
Errors,0.08,13
Touches,45.77,4
Touches (Def Pen),8.86,50
Touches (Def 3rd),28.97,23
Touches (Mid 3rd),17.18,3
Touches (Att 3rd),1.77,25
Touches (Att Pen),0.69,36
Touches (Live-Ball),45.23,7
,,
Dribbles Completed,0.08,20
Dribbles Attempted,0.15,27
Successful Dribble %,50.0%,19
Players Dribbled Past,0.08,17
Nutmegs,0.00,37
,,
Carries,22.81,5
Total Carrying Distance,130.53,8
Progressive Carrying Distance,41.76,2
Progressive Carries,0.92,10
Carries into Final Third,0.23,32
Carries into Penalty Area,0.08,90
Miscontrols,0.23,50
Dispossessed,0.39,15
,,
Pass Targets,24.43,5
Passes Received,23.81,5
Passes Received %,97.5%,35
Progressive Passes Rec,0.23,65
Yellow Cards,0.08,90
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.39,98
Fouls Drawn,0.31,15
Offsides,0.00,79
Crosses,0.23,74
,,
Interceptions,2.54,79
Tackles Won,1.39,84
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.08,2
Ball Recoveries,6.70,5
,,
Aerials won,2.70,55
Aerials lost,1.39,60
% of Aerials Won,66.0%,64
