--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.29,59
Assists,0.23,64
Non-Penalty Goals,0.13,22
Penalty Kicks Made,0.16,96
Penalty Kicks Attempted,0.19,96
Yellow Cards,0.00,97
Red Cards,0.00,56
,,
xG,0.30,69
npxG,0.15,19
xA,0.23,76
npxG+xA,0.37,45
Goals,0.29,59
Shots Total,2.01,46
Shots on target,0.58,34
Shots on target %,29.0%,18
Goals/Shot,0.06,19
Goals/Shot on target,0.22,27
Average Shot Distance,21.90,6
Shots from free kicks,0.58,97
Penalty Kicks Made,0.16,96
Penalty Kicks Attempted,0.19,96
,,
xG,0.30,69
npxG,0.15,19
npxG/Sh,0.07,16
Goals - xG,0.00,44
Non-Penalty Goals - npxG,-0.02,40
Passes Completed,33.79,70
Passes Attempted,45.73,75
Pass Completion %,73.9%,40
Total Passing Distance,632.40,79
Progressive Passing Distance,231.18,93
,,
Passes Completed (Short),16.48,62
Passes Attempted (Short),19.01,60
Pass Completion % (Short),86.7%,63
,,
Passes Completed (Medium),11.12,62
Passes Attempted (Medium),14.21,67
Pass Completion % (Medium),78.3%,43
,,
Passes Completed (Long),5.48,91
Passes Attempted (Long),10.83,94
Pass Completion % (Long),50.6%,36
Assists,0.23,64
xA,0.23,76
Key Passes,2.04,78
Passes into Final Third,2.40,63
Passes into Penalty Area,2.08,85
Crosses into Penalty Area,0.36,63
Progressive Passes,4.51,80
Passes Attempted,45.73,75
,,
Live-ball passes,39.34,66
Dead-ball passes,6.39,90
Passes from Free Kicks,3.11,99
Through Balls,0.16,70
Passes Under Pressure,7.56,65
Switches,2.04,78
Crosses,2.40,71
Corner Kicks,2.59,79
,,
Inswinging Corner Kicks,1.75,96
Outswinging Corner Kicks,0.71,75
Straight Corner Kicks,0.03,55
,,
Ground passes,29.68,61
Low Passes,4.86,54
High Passes,11.19,93
,,
Passes Attempted (Left),3.99,27
Passes Attempted (Right),39.34,87
Passes Attempted (Head),1.14,61
Throw-Ins taken,0.42,52
Passes Attempted (Other),0.23,46
,,
Passes Completed,33.79,70
Passes Offside,0.32,10
Passes Out of Bounds,0.75,37
Passes Intercepted,1.46,63
Passes Blocked,0.97,91
Shot-Creating Actions,4.22,79
,,
SCA (PassLive),2.24,55
SCA (PassDead),1.49,97
SCA (Drib),0.10,13
SCA (Sh),0.29,86
SCA (Fld),0.10,22
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.65,89
,,
GCA (PassLive),0.39,77
GCA (PassDead),0.23,99
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.03,60
GCA (Def),0.00,40
Tackles,0.81,9
Tackles Won,0.62,22
Tackles (Def 3rd),0.19,9
Tackles (Mid 3rd),0.45,27
Tackles (Att 3rd),0.16,15
,,
Dribblers Tackled,0.32,30
Dribbles Contested,1.14,30
% of dribblers tackled,28.6%,37
Dribbled Past,0.81,65
,,
Pressures,10.12,3
Successful Pressures,2.69,3
Successful Pressure %,26.6%,35
Pressures (Def 3rd),2.01,9
Pressures (Mid 3rd),4.51,7
Pressures (Att 3rd),3.60,6
,,
Blocks,1.30,61
Shots Blocked,0.06,42
Shots Saved,0.00,49
Passes Blocked,1.23,66
,,
Interceptions,1.04,57
Tkl+Int,1.85,21
Clearances,0.71,77
Errors,0.00,57
Touches,55.39,66
Touches (Def Pen),1.49,90
Touches (Def 3rd),7.43,69
Touches (Mid 3rd),26.08,63
Touches (Att 3rd),25.33,54
Touches (Att Pen),2.50,11
Touches (Live-Ball),48.52,49
,,
Dribbles Completed,1.26,34
Dribbles Attempted,2.17,25
Successful Dribble %,58.2%,79
Players Dribbled Past,1.26,28
Nutmegs,0.13,42
,,
Carries,35.97,40
Total Carrying Distance,173.03,24
Progressive Carrying Distance,97.78,26
Progressive Carries,4.83,19
Carries into Final Third,1.62,30
Carries into Penalty Area,0.58,26
Miscontrols,1.49,85
Dispossessed,1.17,91
,,
Pass Targets,43.33,32
Passes Received,36.71,48
Passes Received %,84.7%,85
Progressive Passes Rec,3.70,6
Yellow Cards,0.00,97
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.42,96
Fouls Drawn,1.14,17
Offsides,0.03,98
Crosses,2.40,71
,,
Interceptions,1.04,57
Tackles Won,0.62,22
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.46,88
,,
Aerials won,0.75,58
Aerials lost,0.81,85
% of Aerials Won,47.9%,91
