--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.06,11
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.55,1
Red Cards,0.00,56
,,
xG,0.11,7
npxG,0.11,10
xA,0.08,5
npxG+xA,0.20,4
Goals,0.00,1
Shots Total,1.78,32
Shots on target,0.31,4
Shots on target %,17.2%,1
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,19.20,29
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.11,7
npxG,0.11,10
npxG/Sh,0.06,7
Goals - xG,-0.11,7
Non-Penalty Goals - npxG,-0.11,7
Passes Completed,27.40,46
Passes Attempted,36.42,48
Pass Completion %,75.3%,50
Total Passing Distance,455.76,46
Progressive Passing Distance,148.43,68
,,
Passes Completed (Short),14.04,45
Passes Attempted (Short),16.92,49
Pass Completion % (Short),83.0%,31
,,
Passes Completed (Medium),9.93,51
Passes Attempted (Medium),12.08,49
Pass Completion % (Medium),82.2%,66
,,
Passes Completed (Long),2.57,47
Passes Attempted (Long),4.78,46
Pass Completion % (Long),53.8%,47
Assists,0.06,11
xA,0.08,5
Key Passes,0.92,8
Passes into Final Third,2.08,60
Passes into Penalty Area,0.98,23
Crosses into Penalty Area,0.12,17
Progressive Passes,3.62,60
Passes Attempted,36.42,48
,,
Live-ball passes,32.98,41
Dead-ball passes,3.43,68
Passes from Free Kicks,0.49,51
Through Balls,0.06,35
Passes Under Pressure,6.81,44
Switches,0.61,22
Crosses,1.53,35
Corner Kicks,0.00,6
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,26.24,47
Low Passes,5.70,77
High Passes,4.48,31
,,
Passes Attempted (Left),2.51,6
Passes Attempted (Right),29.55,65
Passes Attempted (Head),1.04,55
Throw-Ins taken,2.94,99
Passes Attempted (Other),0.12,20
,,
Passes Completed,27.40,46
Passes Offside,0.31,14
Passes Out of Bounds,1.23,5
Passes Intercepted,1.53,56
Passes Blocked,1.66,33
Shot-Creating Actions,2.45,17
,,
SCA (PassLive),1.96,38
SCA (PassDead),0.00,13
SCA (Drib),0.25,54
SCA (Sh),0.06,10
SCA (Fld),0.12,34
SCA (Def),0.06,48
,,
Goal-Creating Actions,0.25,22
,,
GCA (PassLive),0.18,29
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.06,82
GCA (Def),0.00,40
Tackles,2.39,96
Tackles Won,1.23,85
Tackles (Def 3rd),1.35,99
Tackles (Mid 3rd),0.61,51
Tackles (Att 3rd),0.43,80
,,
Dribblers Tackled,1.23,99
Dribbles Contested,3.74,99
% of dribblers tackled,32.8%,61
Dribbled Past,2.51,1
,,
Pressures,20.97,86
Successful Pressures,5.58,76
Successful Pressure %,26.6%,35
Pressures (Def 3rd),6.93,99
Pressures (Mid 3rd),8.58,67
Pressures (Att 3rd),5.46,49
,,
Blocks,1.66,84
Shots Blocked,0.06,38
Shots Saved,0.00,49
Passes Blocked,1.59,85
,,
Interceptions,1.53,89
Tkl+Int,3.92,97
Clearances,0.61,71
Errors,0.00,57
Touches,50.64,50
Touches (Def Pen),1.23,77
Touches (Def 3rd),10.18,95
Touches (Mid 3rd),23.42,53
Touches (Att 3rd),20.05,16
Touches (Att Pen),2.82,17
Touches (Live-Ball),47.45,43
,,
Dribbles Completed,1.84,65
Dribbles Attempted,3.86,71
Successful Dribble %,47.6%,31
Players Dribbled Past,2.21,75
Nutmegs,0.12,40
,,
Carries,34.52,34
Total Carrying Distance,135.74,5
Progressive Carrying Distance,82.15,13
Progressive Carries,4.60,16
Carries into Final Third,1.04,7
Carries into Penalty Area,0.43,11
Miscontrols,1.47,85
Dispossessed,1.78,58
,,
Pass Targets,45.06,38
Passes Received,34.33,37
Passes Received %,76.2%,42
Progressive Passes Rec,5.09,27
Yellow Cards,0.55,1
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,2.51,2
Fouls Drawn,1.78,58
Offsides,0.12,81
Crosses,1.53,35
,,
Interceptions,1.53,89
Tackles Won,1.23,85
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.06,1
Own Goals,0.00,51
Ball Recoveries,6.01,49
,,
Aerials won,0.43,23
Aerials lost,1.72,34
% of Aerials Won,20.0%,8
