--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,62
Assists,0.06,88
Non-Penalty Goals,0.06,62
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.22,40
Red Cards,0.00,64
,,
xG,0.04,49
npxG,0.04,50
xA,0.02,65
npxG+xA,0.06,50
Goals,0.06,62
Shots Total,0.61,68
Shots on target,0.17,66
Shots on target %,27.3%,53
Goals/Shot,0.09,54
Goals/Shot on target,0.33,51
Average Shot Distance,9.90,65
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.04,49
npxG,0.04,50
npxG/Sh,0.07,31
Goals - xG,+0.01,69
Non-Penalty Goals - npxG,+0.01,69
Passes Completed,38.42,38
Passes Attempted,46.44,37
Pass Completion %,82.7%,31
Total Passing Distance,988.50,56
Progressive Passing Distance,367.83,72
,,
Passes Completed (Short),8.08,15
Passes Attempted (Short),9.22,15
Pass Completion % (Short),87.7%,25
,,
Passes Completed (Medium),18.11,25
Passes Attempted (Medium),19.86,23
Pass Completion % (Medium),91.2%,42
,,
Passes Completed (Long),11.94,90
Passes Attempted (Long),16.69,93
Pass Completion % (Long),71.5%,62
Assists,0.06,88
xA,0.02,65
Key Passes,0.19,56
Passes into Final Third,2.39,41
Passes into Penalty Area,0.06,20
Crosses into Penalty Area,0.00,29
Progressive Passes,2.03,29
Passes Attempted,46.44,37
,,
Live-ball passes,44.00,37
Dead-ball passes,2.44,60
Passes from Free Kicks,2.42,90
Through Balls,0.03,54
Passes Under Pressure,6.58,78
Switches,2.86,93
Crosses,0.14,59
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,31.22,30
Low Passes,3.83,36
High Passes,11.39,80
,,
Passes Attempted (Left),4.11,18
Passes Attempted (Right),37.78,62
Passes Attempted (Head),2.75,59
Throw-Ins taken,0.03,3
Passes Attempted (Other),0.14,44
,,
Passes Completed,38.42,38
Passes Offside,0.19,18
Passes Out of Bounds,1.22,11
Passes Intercepted,0.94,47
Passes Blocked,0.42,65
Shot-Creating Actions,0.69,70
,,
SCA (PassLive),0.47,57
SCA (PassDead),0.06,88
SCA (Drib),0.00,42
SCA (Sh),0.06,65
SCA (Fld),0.06,92
SCA (Def),0.06,85
,,
Goal-Creating Actions,0.08,70
,,
GCA (PassLive),0.06,66
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.03,79
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.00,14
Tackles Won,0.61,16
Tackles (Def 3rd),0.58,12
Tackles (Mid 3rd),0.42,37
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.56,39
Dribbles Contested,1.00,37
% of dribblers tackled,55.6%,60
Dribbled Past,0.44,64
,,
Pressures,5.28,5
Successful Pressures,1.89,7
Successful Pressure %,35.8%,48
Pressures (Def 3rd),3.06,6
Pressures (Mid 3rd),2.03,9
Pressures (Att 3rd),0.19,10
,,
Blocks,1.39,21
Shots Blocked,0.75,48
Shots Saved,0.06,89
Passes Blocked,0.64,17
,,
Interceptions,1.53,16
Tkl+Int,2.53,10
Clearances,5.31,81
Errors,0.00,83
Touches,56.22,34
Touches (Def Pen),9.42,61
Touches (Def 3rd),33.31,48
Touches (Mid 3rd),24.28,32
Touches (Att 3rd),1.50,14
Touches (Att Pen),1.06,71
Touches (Live-Ball),53.86,33
,,
Dribbles Completed,0.17,45
Dribbles Attempted,0.28,51
Successful Dribble %,60.0%,34
Players Dribbled Past,0.19,49
Nutmegs,0.03,77
,,
Carries,31.08,32
Total Carrying Distance,155.44,27
Progressive Carrying Distance,86.08,32
Progressive Carries,1.06,13
Carries into Final Third,0.08,12
Carries into Penalty Area,0.00,31
Miscontrols,0.14,81
Dispossessed,0.11,79
,,
Pass Targets,35.31,39
Passes Received,34.67,40
Passes Received %,98.2%,61
Progressive Passes Rec,0.11,34
Yellow Cards,0.22,40
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.75,76
Fouls Drawn,0.44,34
Offsides,0.08,14
Crosses,0.14,59
,,
Interceptions,1.53,16
Tackles Won,0.61,16
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.03,49
Own Goals,0.00,60
Ball Recoveries,9.17,50
,,
Aerials won,3.58,83
Aerials lost,1.47,52
% of Aerials Won,70.9%,85
