--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.10,59
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.43,2
Red Cards,0.00,60
,,
xG,0.02,18
npxG,0.02,18
xA,0.10,59
npxG+xA,0.11,41
Goals,0.00,20
Shots Total,0.46,34
Shots on target,0.13,42
Shots on target %,28.6%,54
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,30.30,1
Shots from free kicks,0.07,87
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.02,18
npxG,0.02,18
npxG/Sh,0.04,20
Goals - xG,-0.02,35
Non-Penalty Goals - npxG,-0.02,35
Passes Completed,33.53,21
Passes Attempted,48.67,37
Pass Completion %,68.9%,8
Total Passing Distance,674.29,41
Progressive Passing Distance,338.82,81
,,
Passes Completed (Short),14.18,17
Passes Attempted (Short),16.37,16
Pass Completion % (Short),86.6%,26
,,
Passes Completed (Medium),14.04,24
Passes Attempted (Medium),18.66,31
Pass Completion % (Medium),75.3%,12
,,
Passes Completed (Long),4.85,66
Passes Attempted (Long),11.49,83
Pass Completion % (Long),42.2%,11
Assists,0.10,59
xA,0.10,59
Key Passes,1.49,88
Passes into Final Third,3.32,77
Passes into Penalty Area,1.36,77
Crosses into Penalty Area,0.80,89
Progressive Passes,4.48,76
Passes Attempted,48.67,37
,,
Live-ball passes,35.79,25
Dead-ball passes,12.88,91
Passes from Free Kicks,2.39,97
Through Balls,0.03,45
Passes Under Pressure,5.05,19
Switches,3.09,97
Crosses,2.66,69
Corner Kicks,0.73,83
,,
Inswinging Corner Kicks,0.27,84
Outswinging Corner Kicks,0.23,82
Straight Corner Kicks,0.13,96
,,
Ground passes,21.18,10
Low Passes,9.96,34
High Passes,17.53,94
,,
Passes Attempted (Left),3.69,20
Passes Attempted (Right),31.90,63
Passes Attempted (Head),2.32,73
Throw-Ins taken,9.76,78
Passes Attempted (Other),0.20,73
,,
Passes Completed,33.53,21
Passes Offside,0.13,61
Passes Out of Bounds,0.86,49
Passes Intercepted,1.76,55
Passes Blocked,2.16,19
Shot-Creating Actions,2.32,79
,,
SCA (PassLive),1.59,71
SCA (PassDead),0.50,86
SCA (Drib),0.00,15
SCA (Sh),0.03,36
SCA (Fld),0.07,59
SCA (Def),0.13,95
,,
Goal-Creating Actions,0.23,67
,,
GCA (PassLive),0.10,34
GCA (PassDead),0.03,78
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.07,97
GCA (Def),0.03,95
Tackles,2.56,74
Tackles Won,1.66,86
Tackles (Def 3rd),1.26,58
Tackles (Mid 3rd),0.96,85
Tackles (Att 3rd),0.33,74
,,
Dribblers Tackled,1.43,93
Dribbles Contested,3.15,95
% of dribblers tackled,45.3%,38
Dribbled Past,1.73,6
,,
Pressures,17.33,88
Successful Pressures,5.28,86
Successful Pressure %,30.5%,45
Pressures (Def 3rd),6.17,67
Pressures (Mid 3rd),8.13,98
Pressures (Att 3rd),3.02,79
,,
Blocks,1.99,60
Shots Blocked,0.17,22
Shots Saved,0.00,41
Passes Blocked,1.83,71
,,
Interceptions,2.22,76
Tkl+Int,4.78,78
Clearances,1.23,13
Errors,0.00,70
Touches,58.96,31
Touches (Def Pen),2.42,16
Touches (Def 3rd),13.81,8
Touches (Mid 3rd),29.85,54
Touches (Att 3rd),18.16,50
Touches (Att Pen),0.73,14
Touches (Live-Ball),46.38,21
,,
Dribbles Completed,0.40,15
Dribbles Attempted,1.36,49
Successful Dribble %,29.3%,1
Players Dribbled Past,0.46,16
Nutmegs,0.07,49
,,
Carries,29.75,21
Total Carrying Distance,120.01,8
Progressive Carrying Distance,70.18,11
Progressive Carries,3.25,21
Carries into Final Third,1.29,31
Carries into Penalty Area,0.13,24
Miscontrols,1.06,34
Dispossessed,0.73,60
,,
Pass Targets,33.86,24
Passes Received,29.28,21
Passes Received %,86.5%,11
Progressive Passes Rec,1.23,18
Yellow Cards,0.43,2
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.89,5
Fouls Drawn,1.13,55
Offsides,0.03,74
Crosses,2.66,69
,,
Interceptions,2.22,76
Tackles Won,1.66,86
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,8.00,49
,,
Aerials won,0.96,35
Aerials lost,1.16,46
% of Aerials Won,45.3%,35
