--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.11,25
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.34,4
Red Cards,0.00,56
,,
xG,0.16,22
npxG,0.16,28
xA,0.30,93
npxG+xA,0.46,69
Goals,0.00,1
Shots Total,1.68,28
Shots on target,1.12,86
Shots on target %,66.7%,99
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,15.40,79
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.16,22
npxG,0.16,28
npxG/Sh,0.09,37
Goals - xG,-0.16,1
Non-Penalty Goals - npxG,-0.16,1
Passes Completed,46.68,96
Passes Attempted,52.63,89
Pass Completion %,88.7%,99
Total Passing Distance,680.39,84
Progressive Passing Distance,121.08,51
,,
Passes Completed (Short),28.39,98
Passes Attempted (Short),31.20,99
Pass Completion % (Short),91.0%,95
,,
Passes Completed (Medium),14.48,86
Passes Attempted (Medium),16.05,80
Pass Completion % (Medium),90.2%,98
,,
Passes Completed (Long),2.36,41
Passes Attempted (Long),2.81,16
Pass Completion % (Long),84.0%,99
Assists,0.11,25
xA,0.30,93
Key Passes,3.59,99
Passes into Final Third,2.24,61
Passes into Penalty Area,1.68,72
Crosses into Penalty Area,0.00,1
Progressive Passes,3.03,44
Passes Attempted,52.63,89
,,
Live-ball passes,50.84,93
Dead-ball passes,1.80,44
Passes from Free Kicks,0.45,49
Through Balls,0.22,81
Passes Under Pressure,10.77,96
Switches,0.90,40
Crosses,1.68,40
Corner Kicks,0.56,46
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.11,83
,,
Ground passes,43.65,95
Low Passes,5.61,73
High Passes,3.37,15
,,
Passes Attempted (Left),9.99,66
Passes Attempted (Right),39.16,87
Passes Attempted (Head),1.35,77
Throw-Ins taken,0.67,73
Passes Attempted (Other),1.23,99
,,
Passes Completed,46.68,96
Passes Offside,0.34,10
Passes Out of Bounds,0.22,98
Passes Intercepted,0.90,96
Passes Blocked,1.01,90
Shot-Creating Actions,5.84,99
,,
SCA (PassLive),4.60,99
SCA (PassDead),0.00,13
SCA (Drib),0.45,86
SCA (Sh),0.11,26
SCA (Fld),0.67,99
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.11,4
,,
GCA (PassLive),0.11,12
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.01,23
Tackles Won,0.79,41
Tackles (Def 3rd),0.56,62
Tackles (Mid 3rd),0.45,26
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,0.45,51
Dribbles Contested,1.01,23
% of dribblers tackled,44.4%,94
Dribbled Past,0.56,90
,,
Pressures,9.99,3
Successful Pressures,3.03,8
Successful Pressure %,30.3%,80
Pressures (Def 3rd),2.36,19
Pressures (Mid 3rd),4.83,13
Pressures (Att 3rd),2.81,1
,,
Blocks,0.56,6
Shots Blocked,0.11,66
Shots Saved,0.00,49
Passes Blocked,0.45,3
,,
Interceptions,0.90,46
Tkl+Int,1.91,26
Clearances,0.11,7
Errors,0.00,57
Touches,64.98,87
Touches (Def Pen),0.56,25
Touches (Def 3rd),5.61,40
Touches (Mid 3rd),25.36,62
Touches (Att 3rd),39.16,97
Touches (Att Pen),8.19,98
Touches (Live-Ball),63.40,90
,,
Dribbles Completed,2.36,82
Dribbles Attempted,2.81,43
Successful Dribble %,84.0%,99
Players Dribbled Past,2.36,76
Nutmegs,0.00,3
,,
Carries,51.73,95
Total Carrying Distance,330.82,96
Progressive Carrying Distance,196.61,96
Progressive Carries,11.67,98
Carries into Final Third,3.37,96
Carries into Penalty Area,1.91,89
Miscontrols,2.02,57
Dispossessed,2.24,31
,,
Pass Targets,67.11,98
Passes Received,56.00,98
Passes Received %,83.4%,78
Progressive Passes Rec,13.13,99
Yellow Cards,0.34,4
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.12,57
Fouls Drawn,4.38,99
Offsides,0.45,23
Crosses,1.68,40
,,
Interceptions,0.90,46
Tackles Won,0.79,41
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,3.82,1
,,
Aerials won,0.45,28
Aerials lost,0.56,93
% of Aerials Won,44.4%,87
