--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.00,31
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.25,35
Red Cards,0.00,64
,,
xG,0.01,7
npxG,0.01,7
xA,0.01,38
npxG+xA,0.02,5
Goals,0.00,16
Shots Total,0.08,1
Shots on target,0.00,5
Shots on target %,0.0%,5
Goals/Shot,0.00,16
Average Shot Distance,16.00,18
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.01,7
npxG,0.01,7
npxG/Sh,0.09,53
Goals - xG,-0.01,44
Non-Penalty Goals - npxG,-0.01,44
Passes Completed,43.68,51
Passes Attempted,51.77,51
Pass Completion %,84.4%,44
Total Passing Distance,895.71,43
Progressive Passing Distance,342.17,64
,,
Passes Completed (Short),15.36,73
Passes Attempted (Short),16.27,68
Pass Completion % (Short),94.4%,90
,,
Passes Completed (Medium),20.56,40
Passes Attempted (Medium),22.71,39
Pass Completion % (Medium),90.5%,36
,,
Passes Completed (Long),7.02,36
Passes Attempted (Long),11.64,49
Pass Completion % (Long),60.3%,15
Assists,0.00,31
xA,0.01,38
Key Passes,0.17,48
Passes into Final Third,2.64,51
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,2.48,46
Passes Attempted,51.77,51
,,
Live-ball passes,48.30,49
Dead-ball passes,3.47,84
Passes from Free Kicks,2.39,89
Through Balls,0.00,27
Passes Under Pressure,7.60,93
Switches,1.16,34
Crosses,0.00,7
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,37.16,49
Low Passes,4.54,63
High Passes,10.07,66
,,
Passes Attempted (Left),7.84,48
Passes Attempted (Right),38.89,64
Passes Attempted (Head),2.39,39
Throw-Ins taken,1.07,82
Passes Attempted (Other),0.25,78
,,
Passes Completed,43.68,51
Passes Offside,0.08,65
Passes Out of Bounds,0.83,50
Passes Intercepted,1.16,28
Passes Blocked,0.50,52
Shot-Creating Actions,0.41,31
,,
SCA (PassLive),0.41,47
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.08,70
,,
GCA (PassLive),0.08,81
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.06,77
Tackles Won,1.16,66
Tackles (Def 3rd),1.40,83
Tackles (Mid 3rd),0.66,75
Tackles (Att 3rd),0.00,11
,,
Dribblers Tackled,0.74,66
Dribbles Contested,1.32,64
% of dribblers tackled,56.3%,64
Dribbled Past,0.58,43
,,
Pressures,12.39,88
Successful Pressures,4.46,84
Successful Pressure %,36.0%,51
Pressures (Def 3rd),8.17,96
Pressures (Mid 3rd),3.96,69
Pressures (Att 3rd),0.25,19
,,
Blocks,0.74,1
Shots Blocked,0.17,1
Shots Saved,0.00,32
Passes Blocked,0.58,11
,,
Interceptions,2.31,69
Tkl+Int,4.38,74
Clearances,4.95,72
Errors,0.00,83
Touches,62.09,51
Touches (Def Pen),8.09,33
Touches (Def 3rd),33.19,48
Touches (Mid 3rd),31.29,60
Touches (Att 3rd),1.73,24
Touches (Att Pen),0.17,2
Touches (Live-Ball),58.79,49
,,
Dribbles Completed,0.17,43
Dribbles Attempted,0.25,43
Successful Dribble %,66.7%,47
Players Dribbled Past,0.17,41
Nutmegs,0.00,37
,,
Carries,37.24,51
Total Carrying Distance,189.91,46
Progressive Carrying Distance,100.65,48
Progressive Carries,2.31,51
Carries into Final Third,0.33,46
Carries into Penalty Area,0.00,31
Miscontrols,0.50,8
Dispossessed,0.17,60
,,
Pass Targets,39.06,49
Passes Received,38.72,50
Passes Received %,99.2%,97
Progressive Passes Rec,0.00,3
Yellow Cards,0.25,35
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.16,42
Fouls Drawn,0.66,59
Offsides,0.00,79
Crosses,0.00,7
,,
Interceptions,2.31,69
Tackles Won,1.16,66
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.08,5
Own Goals,0.00,60
Ball Recoveries,8.50,32
,,
Aerials won,2.39,42
Aerials lost,2.64,1
% of Aerials Won,47.5%,5
