--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.20,11
Assists,0.00,5
Non-Penalty Goals,0.20,19
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.20,30
Red Cards,0.00,55
,,
xG,0.42,61
npxG,0.42,75
xA,0.03,1
npxG+xA,0.45,51
Goals,0.20,11
Shots Total,2.34,35
Shots on target,1.32,84
Shots on target %,56.5%,99
Goals/Shot,0.09,20
Goals/Shot on target,0.15,2
Average Shot Distance,12.20,86
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.42,61
npxG,0.42,75
npxG/Sh,0.18,90
Goals - xG,-0.21,1
Non-Penalty Goals - npxG,-0.21,1
Passes Completed,14.86,38
Passes Attempted,21.28,37
Pass Completion %,69.9%,38
Total Passing Distance,204.13,26
Progressive Passing Distance,29.83,15
,,
Passes Completed (Short),9.47,53
Passes Attempted (Short),12.52,56
Pass Completion % (Short),75.6%,28
,,
Passes Completed (Medium),3.46,12
Passes Attempted (Medium),5.60,23
Pass Completion % (Medium),61.8%,14
,,
Passes Completed (Long),1.02,43
Passes Attempted (Long),1.43,28
Pass Completion % (Long),71.4%,90
Assists,0.00,5
xA,0.03,1
Key Passes,0.92,42
Passes into Final Third,0.92,42
Passes into Penalty Area,0.20,5
Crosses into Penalty Area,0.00,7
Progressive Passes,0.61,4
Passes Attempted,21.28,37
,,
Live-ball passes,19.65,31
Dead-ball passes,1.63,58
Passes from Free Kicks,0.00,20
Through Balls,0.00,11
Passes Under Pressure,7.94,80
Switches,0.20,22
Crosses,0.10,1
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,11.20,20
Low Passes,4.89,64
High Passes,5.19,72
,,
Passes Attempted (Left),1.22,7
Passes Attempted (Right),12.12,36
Passes Attempted (Head),2.55,91
Throw-Ins taken,0.00,6
Passes Attempted (Other),1.22,96
,,
Passes Completed,14.86,38
Passes Offside,0.20,15
Passes Out of Bounds,0.31,70
Passes Intercepted,0.71,93
Passes Blocked,0.61,93
Shot-Creating Actions,2.24,47
,,
SCA (PassLive),1.53,45
SCA (PassDead),0.00,36
SCA (Drib),0.20,64
SCA (Sh),0.00,1
SCA (Fld),0.41,92
SCA (Def),0.10,81
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,1
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,1.12,80
Tackles Won,0.51,59
Tackles (Def 3rd),0.61,99
Tackles (Mid 3rd),0.10,10
Tackles (Att 3rd),0.41,91
,,
Dribblers Tackled,0.31,86
Dribbles Contested,1.02,88
% of dribblers tackled,30.0%,60
Dribbled Past,0.71,18
,,
Pressures,19.34,88
Successful Pressures,4.89,77
Successful Pressure %,25.3%,33
Pressures (Def 3rd),3.26,97
Pressures (Mid 3rd),7.74,76
Pressures (Att 3rd),8.35,72
,,
Blocks,1.63,99
Shots Blocked,0.41,99
Shots Saved,0.00,48
Passes Blocked,1.22,94
,,
Interceptions,0.41,54
Tkl+Int,1.53,78
Clearances,1.22,94
Errors,0.00,53
Touches,34.62,45
Touches (Def Pen),1.73,99
Touches (Def 3rd),4.28,89
Touches (Mid 3rd),17.10,54
Touches (Att 3rd),14.76,19
Touches (Att Pen),4.68,29
Touches (Live-Ball),32.99,44
,,
Dribbles Completed,0.81,48
Dribbles Attempted,1.63,45
Successful Dribble %,50.0%,58
Players Dribbled Past,0.92,47
Nutmegs,0.00,10
,,
Carries,16.60,15
Total Carrying Distance,89.19,39
Progressive Carrying Distance,51.92,54
Progressive Carries,2.55,47
Carries into Final Third,0.81,45
Carries into Penalty Area,0.61,47
Miscontrols,2.44,61
Dispossessed,1.93,36
,,
Pass Targets,43.17,38
Passes Received,23.93,31
Passes Received %,55.4%,38
Progressive Passes Rec,6.31,34
Yellow Cards,0.20,30
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.34,8
Fouls Drawn,2.44,89
Offsides,0.31,86
Crosses,0.10,1
,,
Interceptions,0.41,54
Tackles Won,0.51,59
Penalty Kicks Won,0.10,94
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.07,51
,,
Aerials won,5.50,93
Aerials lost,5.80,12
% of Aerials Won,48.6%,84
