--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,28
Assists,0.00,11
Non-Penalty Goals,0.03,30
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.14,79
Red Cards,0.00,61
,,
xG,0.01,4
npxG,0.01,4
xA,0.02,10
npxG+xA,0.03,3
Goals,0.03,28
Shots Total,0.69,23
Shots on target,0.14,22
Shots on target %,20.0%,26
Goals/Shot,0.05,39
Goals/Shot on target,0.25,54
Average Shot Distance,27.60,2
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.01,4
npxG,0.01,4
npxG/Sh,0.02,1
Goals - xG,+0.02,70
Non-Penalty Goals - npxG,+0.02,70
Passes Completed,59.88,90
Passes Attempted,65.98,88
Pass Completion %,90.8%,95
Total Passing Distance,1239.73,95
Progressive Passing Distance,225.09,63
,,
Passes Completed (Short),20.55,73
Passes Attempted (Short),22.39,70
Pass Completion % (Short),91.8%,83
,,
Passes Completed (Medium),28.11,94
Passes Attempted (Medium),29.84,92
Pass Completion % (Medium),94.2%,97
,,
Passes Completed (Long),10.36,95
Passes Attempted (Long),11.89,82
Pass Completion % (Long),87.2%,98
Assists,0.00,11
xA,0.02,10
Key Passes,0.42,13
Passes into Final Third,4.37,62
Passes into Penalty Area,0.24,7
Crosses into Penalty Area,0.07,42
Progressive Passes,3.08,27
Passes Attempted,65.98,88
,,
Live-ball passes,63.21,88
Dead-ball passes,2.77,73
Passes from Free Kicks,2.08,78
Through Balls,0.00,11
Passes Under Pressure,7.69,42
Switches,2.67,80
Crosses,0.31,31
Corner Kicks,0.17,63
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.10,70
Straight Corner Kicks,0.00,38
,,
Ground passes,53.13,90
Low Passes,5.23,48
High Passes,7.62,51
,,
Passes Attempted (Left),5.61,37
Passes Attempted (Right),56.90,90
Passes Attempted (Head),2.25,65
Throw-Ins taken,0.10,36
Passes Attempted (Other),0.45,92
,,
Passes Completed,59.88,90
Passes Offside,0.10,71
Passes Out of Bounds,0.66,55
Passes Intercepted,1.01,86
Passes Blocked,0.73,77
Shot-Creating Actions,1.21,15
,,
SCA (PassLive),1.04,20
SCA (PassDead),0.00,23
SCA (Drib),0.03,40
SCA (Sh),0.03,24
SCA (Fld),0.03,27
SCA (Def),0.07,57
,,
Goal-Creating Actions,0.07,16
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.03,79
GCA (Fld),0.00,39
GCA (Def),0.03,92
Tackles,2.63,70
Tackles Won,1.70,70
Tackles (Def 3rd),1.14,71
Tackles (Mid 3rd),1.25,71
Tackles (Att 3rd),0.24,45
,,
Dribblers Tackled,1.14,91
Dribbles Contested,2.56,80
% of dribblers tackled,44.6%,81
Dribbled Past,1.42,33
,,
Pressures,19.96,65
Successful Pressures,7.31,88
Successful Pressure %,36.6%,96
Pressures (Def 3rd),6.83,68
Pressures (Mid 3rd),10.54,67
Pressures (Att 3rd),2.60,41
,,
Blocks,1.66,57
Shots Blocked,0.14,15
Shots Saved,0.00,45
Passes Blocked,1.52,74
,,
Interceptions,1.87,62
Tkl+Int,4.51,68
Clearances,1.07,38
Errors,0.03,25
Touches,75.90,88
Touches (Def Pen),2.50,53
Touches (Def 3rd),23.12,95
Touches (Mid 3rd),47.24,89
Touches (Att 3rd),10.12,25
Touches (Att Pen),0.17,2
Touches (Live-Ball),73.30,88
,,
Dribbles Completed,0.45,21
Dribbles Attempted,0.66,17
Successful Dribble %,68.4%,77
Players Dribbled Past,0.45,19
Nutmegs,0.00,17
,,
Carries,51.50,85
Total Carrying Distance,278.18,88
Progressive Carrying Distance,121.99,79
Progressive Carries,4.12,61
Carries into Final Third,0.83,29
Carries into Penalty Area,0.00,7
Miscontrols,0.59,80
Dispossessed,0.83,66
,,
Pass Targets,55.31,79
Passes Received,52.92,82
Passes Received %,95.7%,91
Progressive Passes Rec,0.76,13
Yellow Cards,0.14,79
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,0.76,97
Fouls Drawn,1.04,27
Offsides,0.00,77
Crosses,0.31,31
,,
Interceptions,1.87,62
Tackles Won,1.70,70
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.47,84
,,
Aerials won,0.80,31
Aerials lost,1.70,20
% of Aerials Won,31.9%,7
