--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.58,83
Assists,0.37,97
Non-Penalty Goals,0.47,81
Penalty Kicks Made,0.11,79
Penalty Kicks Attempted,0.16,86
Yellow Cards,0.16,41
Red Cards,0.00,55
,,
xG,0.48,76
npxG,0.37,63
xA,0.37,99
npxG+xA,0.74,95
Goals,0.58,83
Shots Total,2.94,73
Shots on target,1.00,58
Shots on target %,33.9%,28
Goals/Shot,0.16,69
Goals/Shot on target,0.47,88
Average Shot Distance,15.40,35
Shots from free kicks,0.00,30
Penalty Kicks Made,0.11,79
Penalty Kicks Attempted,0.16,86
,,
xG,0.48,76
npxG,0.37,63
npxG/Sh,0.12,32
Goals - xG,+0.09,78
Non-Penalty Goals - npxG,+0.11,83
Passes Completed,22.89,88
Passes Attempted,33.76,91
Pass Completion %,67.8%,27
Total Passing Distance,429.94,91
Progressive Passing Distance,118.35,95
,,
Passes Completed (Short),10.19,65
Passes Attempted (Short),13.34,66
Pass Completion % (Short),76.4%,33
,,
Passes Completed (Medium),8.98,94
Passes Attempted (Medium),12.81,98
Pass Completion % (Medium),70.1%,37
,,
Passes Completed (Long),3.26,96
Passes Attempted (Long),4.99,92
Pass Completion % (Long),65.3%,71
Assists,0.37,97
xA,0.37,99
Key Passes,1.94,95
Passes into Final Third,2.73,99
Passes into Penalty Area,1.79,97
Crosses into Penalty Area,0.26,86
Progressive Passes,4.20,97
Passes Attempted,33.76,91
,,
Live-ball passes,32.98,93
Dead-ball passes,0.79,18
Passes from Free Kicks,0.05,60
Through Balls,0.32,98
Passes Under Pressure,8.56,87
Switches,0.84,83
Crosses,1.00,70
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,22.32,87
Low Passes,5.72,83
High Passes,5.72,83
,,
Passes Attempted (Left),24.15,96
Passes Attempted (Right),5.88,17
Passes Attempted (Head),1.42,65
Throw-Ins taken,0.32,86
Passes Attempted (Other),0.32,27
,,
Passes Completed,22.89,88
Passes Offside,0.21,14
Passes Out of Bounds,0.84,8
Passes Intercepted,1.79,8
Passes Blocked,2.21,1
Shot-Creating Actions,3.36,92
,,
SCA (PassLive),2.63,95
SCA (PassDead),0.00,36
SCA (Drib),0.37,90
SCA (Sh),0.11,11
SCA (Fld),0.16,38
SCA (Def),0.11,84
,,
Goal-Creating Actions,0.68,97
,,
GCA (PassLive),0.53,98
GCA (PassDead),0.00,46
GCA (Drib),0.05,74
GCA (Sh),0.00,18
GCA (Fld),0.05,70
GCA (Def),0.05,95
Tackles,0.79,59
Tackles Won,0.47,53
Tackles (Def 3rd),0.26,81
Tackles (Mid 3rd),0.32,52
Tackles (Att 3rd),0.21,40
,,
Dribblers Tackled,0.26,81
Dribbles Contested,0.84,75
% of dribblers tackled,31.3%,64
Dribbled Past,0.58,31
,,
Pressures,9.66,7
Successful Pressures,3.15,23
Successful Pressure %,32.6%,97
Pressures (Def 3rd),1.31,51
Pressures (Mid 3rd),4.57,19
Pressures (Att 3rd),3.78,3
,,
Blocks,0.68,39
Shots Blocked,0.11,43
Shots Saved,0.00,48
Passes Blocked,0.58,45
,,
Interceptions,0.58,79
Tkl+Int,1.37,72
Clearances,0.95,78
Errors,0.00,53
Touches,47.57,92
Touches (Def Pen),1.16,77
Touches (Def 3rd),4.46,93
Touches (Mid 3rd),23.42,95
Touches (Att 3rd),22.47,84
Touches (Att Pen),6.04,76
Touches (Live-Ball),46.68,93
,,
Dribbles Completed,2.10,97
Dribbles Attempted,3.68,93
Successful Dribble %,57.1%,86
Players Dribbled Past,2.10,95
Nutmegs,0.16,79
,,
Carries,35.44,94
Total Carrying Distance,151.02,84
Progressive Carrying Distance,72.99,75
Progressive Carries,4.31,83
Carries into Final Third,1.42,80
Carries into Penalty Area,0.68,58
Miscontrols,2.73,51
Dispossessed,2.36,20
,,
Pass Targets,53.40,89
Passes Received,38.80,95
Passes Received %,72.7%,94
Progressive Passes Rec,8.19,71
Yellow Cards,0.16,41
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.00,71
Fouls Drawn,1.47,46
Offsides,0.58,45
Crosses,1.00,70
,,
Interceptions,0.58,79
Tackles Won,0.47,53
Penalty Kicks Won,0.05,73
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,4.15,56
,,
Aerials won,2.26,58
Aerials lost,3.10,50
% of Aerials Won,42.2%,62
