--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.34,39
Assists,0.05,16
Non-Penalty Goals,0.34,50
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.15,46
Red Cards,0.05,5
,,
xG,0.19,1
npxG,0.19,4
xA,0.04,4
npxG+xA,0.23,1
Goals,0.34,39
Shots Total,1.61,1
Shots on target,0.78,27
Shots on target %,48.5%,94
Goals/Shot,0.21,93
Goals/Shot on target,0.44,82
Average Shot Distance,11.70,92
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.19,1
npxG,0.19,4
npxG/Sh,0.12,32
Goals - xG,+0.15,88
Non-Penalty Goals - npxG,+0.15,90
Passes Completed,13.89,27
Passes Attempted,19.26,20
Pass Completion %,72.2%,57
Total Passing Distance,191.31,20
Progressive Passing Distance,43.05,42
,,
Passes Completed (Short),8.04,30
Passes Attempted (Short),10.14,23
Pass Completion % (Short),79.3%,58
,,
Passes Completed (Medium),4.49,40
Passes Attempted (Medium),6.14,33
Pass Completion % (Medium),73.0%,55
,,
Passes Completed (Long),0.54,9
Passes Attempted (Long),1.32,20
Pass Completion % (Long),40.7%,3
Assists,0.05,16
xA,0.04,4
Key Passes,0.68,12
Passes into Final Third,0.49,9
Passes into Penalty Area,0.15,1
Crosses into Penalty Area,0.00,7
Progressive Passes,0.93,15
Passes Attempted,19.26,20
,,
Live-ball passes,18.33,28
Dead-ball passes,0.93,23
Passes from Free Kicks,0.20,85
Through Balls,0.05,40
Passes Under Pressure,5.12,18
Switches,0.10,4
Crosses,0.39,18
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,11.02,18
Low Passes,4.63,60
High Passes,3.61,50
,,
Passes Attempted (Left),9.60,81
Passes Attempted (Right),5.17,14
Passes Attempted (Head),2.15,85
Throw-Ins taken,0.20,71
Passes Attempted (Other),0.59,62
,,
Passes Completed,13.89,27
Passes Offside,0.10,50
Passes Out of Bounds,0.39,56
Passes Intercepted,0.59,97
Passes Blocked,0.78,74
Shot-Creating Actions,1.56,8
,,
SCA (PassLive),1.02,7
SCA (PassDead),0.00,36
SCA (Drib),0.15,47
SCA (Sh),0.05,2
SCA (Fld),0.29,79
SCA (Def),0.05,47
,,
Goal-Creating Actions,0.34,55
,,
GCA (PassLive),0.10,20
GCA (PassDead),0.00,46
GCA (Drib),0.05,71
GCA (Sh),0.05,63
GCA (Fld),0.10,91
GCA (Def),0.05,93
Tackles,1.51,97
Tackles Won,0.98,97
Tackles (Def 3rd),0.59,98
Tackles (Mid 3rd),0.73,95
Tackles (Att 3rd),0.20,34
,,
Dribblers Tackled,0.54,98
Dribbles Contested,1.95,99
% of dribblers tackled,27.5%,56
Dribbled Past,1.41,1
,,
Pressures,25.60,99
Successful Pressures,6.83,99
Successful Pressure %,26.7%,44
Pressures (Def 3rd),5.07,99
Pressures (Mid 3rd),11.12,96
Pressures (Att 3rd),9.41,85
,,
Blocks,1.46,97
Shots Blocked,0.10,41
Shots Saved,0.00,48
Passes Blocked,1.37,97
,,
Interceptions,0.39,53
Tkl+Int,1.90,90
Clearances,0.63,48
Errors,0.05,1
Touches,32.32,29
Touches (Def Pen),1.17,78
Touches (Def 3rd),4.83,95
Touches (Mid 3rd),13.55,14
Touches (Att 3rd),15.75,28
Touches (Att Pen),3.80,9
Touches (Live-Ball),31.45,32
,,
Dribbles Completed,0.63,34
Dribbles Attempted,1.17,22
Successful Dribble %,54.2%,75
Players Dribbled Past,0.68,31
Nutmegs,0.10,59
,,
Carries,18.14,25
Total Carrying Distance,52.26,7
Progressive Carrying Distance,24.86,9
Progressive Carries,1.12,6
Carries into Final Third,0.44,14
Carries into Penalty Area,0.24,9
Miscontrols,3.07,31
Dispossessed,2.58,12
,,
Pass Targets,37.25,7
Passes Received,21.16,11
Passes Received %,56.8%,45
Progressive Passes Rec,4.58,1
Yellow Cards,0.15,46
Red Cards,0.05,5
Second Yellow Card,0.05,3
Fouls Committed,1.61,32
Fouls Drawn,2.34,86
Offsides,0.34,82
Crosses,0.39,18
,,
Interceptions,0.39,53
Tackles Won,0.98,97
Penalty Kicks Won,0.10,93
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,5.51,93
,,
Aerials won,2.39,59
Aerials lost,4.24,30
% of Aerials Won,36.0%,37
