--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,68
Assists,0.00,11
Non-Penalty Goals,0.09,70
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.42,10
Red Cards,0.00,61
,,
xG,0.07,52
npxG,0.07,54
xA,0.01,6
npxG+xA,0.08,20
Goals,0.09,68
Shots Total,1.02,49
Shots on target,0.37,72
Shots on target %,36.4%,84
Goals/Shot,0.09,67
Goals/Shot on target,0.25,54
Average Shot Distance,24.30,12
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.07,52
npxG,0.07,54
npxG/Sh,0.07,54
Goals - xG,-0.02,34
Non-Penalty Goals - npxG,-0.02,35
Passes Completed,28.99,13
Passes Attempted,36.07,11
Pass Completion %,80.4%,35
Total Passing Distance,595.80,21
Progressive Passing Distance,176.88,36
,,
Passes Completed (Short),9.91,4
Passes Attempted (Short),11.82,3
Pass Completion % (Short),83.9%,14
,,
Passes Completed (Medium),13.03,23
Passes Attempted (Medium),15.08,21
Pass Completion % (Medium),86.4%,41
,,
Passes Completed (Long),5.44,47
Passes Attempted (Long),7.54,43
Pass Completion % (Long),72.2%,63
Assists,0.00,11
xA,0.01,6
Key Passes,0.37,10
Passes into Final Third,2.75,24
Passes into Penalty Area,0.42,21
Crosses into Penalty Area,0.05,26
Progressive Passes,3.12,28
Passes Attempted,36.07,11
,,
Live-ball passes,35.32,15
Dead-ball passes,0.74,13
Passes from Free Kicks,0.65,23
Through Balls,0.05,37
Passes Under Pressure,7.82,46
Switches,0.74,18
Crosses,0.28,26
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,25.32,15
Low Passes,3.44,5
High Passes,7.31,46
,,
Passes Attempted (Left),2.37,4
Passes Attempted (Right),29.78,30
Passes Attempted (Head),2.05,55
Throw-Ins taken,0.09,32
Passes Attempted (Other),0.19,37
,,
Passes Completed,28.99,13
Passes Offside,0.09,76
Passes Out of Bounds,0.28,98
Passes Intercepted,1.12,80
Passes Blocked,0.98,49
Shot-Creating Actions,0.84,4
,,
SCA (PassLive),0.70,6
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.09,59
SCA (Fld),0.00,11
SCA (Def),0.05,38
,,
Goal-Creating Actions,0.05,10
,,
GCA (PassLive),0.05,16
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,3.30,92
Tackles Won,2.37,96
Tackles (Def 3rd),1.72,96
Tackles (Mid 3rd),1.44,85
Tackles (Att 3rd),0.14,17
,,
Dribblers Tackled,0.98,78
Dribbles Contested,1.72,34
% of dribblers tackled,56.8%,98
Dribbled Past,0.74,94
,,
Pressures,18.06,46
Successful Pressures,5.91,59
Successful Pressure %,32.7%,75
Pressures (Def 3rd),6.98,70
Pressures (Mid 3rd),9.59,52
Pressures (Att 3rd),1.49,5
,,
Blocks,1.58,52
Shots Blocked,0.28,49
Shots Saved,0.00,45
Passes Blocked,1.30,55
,,
Interceptions,1.68,48
Tkl+Int,4.98,81
Clearances,2.05,87
Errors,0.05,15
Touches,47.61,11
Touches (Def Pen),3.44,80
Touches (Def 3rd),15.40,59
Touches (Mid 3rd),29.78,25
Touches (Att 3rd),5.44,2
Touches (Att Pen),0.42,8
Touches (Live-Ball),47.00,15
,,
Dribbles Completed,0.70,51
Dribbles Attempted,1.26,52
Successful Dribble %,55.6%,29
Players Dribbled Past,0.79,54
Nutmegs,0.09,74
,,
Carries,30.16,18
Total Carrying Distance,149.43,23
Progressive Carrying Distance,67.34,21
Progressive Carries,2.23,14
Carries into Final Third,1.02,44
Carries into Penalty Area,0.00,7
Miscontrols,0.61,79
Dispossessed,1.30,27
,,
Pass Targets,25.87,2
Passes Received,24.38,7
Passes Received %,94.2%,73
Progressive Passes Rec,0.28,1
Yellow Cards,0.42,10
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.33,13
Fouls Drawn,2.14,82
Offsides,0.00,77
Crosses,0.28,26
,,
Interceptions,1.68,48
Tackles Won,2.37,96
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,13.03,98
,,
Aerials won,2.56,89
Aerials lost,1.68,20
% of Aerials Won,60.4%,83
