--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.08,11
Assists,0.16,43
Non-Penalty Goals,0.08,12
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.28,15
Red Cards,0.00,56
,,
xG,0.13,10
npxG,0.13,13
xA,0.10,9
npxG+xA,0.23,10
Goals,0.08,11
Shots Total,2.32,62
Shots on target,0.51,22
Shots on target %,22.0%,3
Goals/Shot,0.03,10
Goals/Shot on target,0.15,14
Average Shot Distance,21.00,13
Shots from free kicks,0.24,84
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.13,10
npxG,0.13,13
npxG/Sh,0.06,7
Goals - xG,-0.05,27
Non-Penalty Goals - npxG,-0.05,27
Passes Completed,25.33,36
Passes Attempted,35.17,41
Pass Completion %,72.0%,30
Total Passing Distance,481.86,52
Progressive Passing Distance,132.99,59
,,
Passes Completed (Short),12.00,25
Passes Attempted (Short),14.48,25
Pass Completion % (Short),82.9%,29
,,
Passes Completed (Medium),9.17,47
Passes Attempted (Medium),11.60,45
Pass Completion % (Medium),79.0%,49
,,
Passes Completed (Long),3.74,71
Passes Attempted (Long),7.28,74
Pass Completion % (Long),51.4%,37
Assists,0.16,43
xA,0.10,9
Key Passes,1.26,28
Passes into Final Third,2.95,75
Passes into Penalty Area,0.71,6
Crosses into Penalty Area,0.16,22
Progressive Passes,3.15,48
Passes Attempted,35.17,41
,,
Live-ball passes,32.53,39
Dead-ball passes,2.64,57
Passes from Free Kicks,0.90,69
Through Balls,0.12,57
Passes Under Pressure,9.09,89
Switches,1.97,75
Crosses,1.18,21
Corner Kicks,1.57,65
,,
Inswinging Corner Kicks,0.43,59
Outswinging Corner Kicks,0.71,74
Straight Corner Kicks,0.00,26
,,
Ground passes,21.01,24
Low Passes,4.76,48
High Passes,9.40,82
,,
Passes Attempted (Left),29.19,83
Passes Attempted (Right),1.73,1
Passes Attempted (Head),2.08,97
Throw-Ins taken,0.16,9
Passes Attempted (Other),0.12,16
,,
Passes Completed,25.33,36
Passes Offside,0.20,45
Passes Out of Bounds,0.79,30
Passes Intercepted,1.42,65
Passes Blocked,1.22,75
Shot-Creating Actions,2.95,39
,,
SCA (PassLive),1.93,36
SCA (PassDead),0.39,62
SCA (Drib),0.16,31
SCA (Sh),0.12,29
SCA (Fld),0.28,80
SCA (Def),0.08,57
,,
Goal-Creating Actions,0.31,33
,,
GCA (PassLive),0.20,35
GCA (PassDead),0.04,67
GCA (Drib),0.08,85
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.77,77
Tackles Won,1.18,80
Tackles (Def 3rd),0.71,79
Tackles (Mid 3rd),0.94,92
Tackles (Att 3rd),0.12,7
,,
Dribblers Tackled,0.59,74
Dribbles Contested,2.24,90
% of dribblers tackled,26.3%,29
Dribbled Past,1.65,7
,,
Pressures,19.00,68
Successful Pressures,5.98,85
Successful Pressure %,31.5%,89
Pressures (Def 3rd),4.25,65
Pressures (Mid 3rd),9.40,78
Pressures (Att 3rd),5.35,47
,,
Blocks,1.77,88
Shots Blocked,0.16,79
Shots Saved,0.00,49
Passes Blocked,1.61,86
,,
Interceptions,0.90,46
Tkl+Int,2.67,66
Clearances,0.87,88
Errors,0.00,57
Touches,51.18,50
Touches (Def Pen),1.26,81
Touches (Def 3rd),6.61,54
Touches (Mid 3rd),24.31,55
Touches (Att 3rd),23.60,44
Touches (Att Pen),2.36,9
Touches (Live-Ball),48.74,50
,,
Dribbles Completed,1.34,37
Dribbles Attempted,2.91,45
Successful Dribble %,45.9%,26
Players Dribbled Past,1.49,37
Nutmegs,0.16,51
,,
Carries,34.46,34
Total Carrying Distance,164.31,16
Progressive Carrying Distance,68.60,6
Progressive Carries,3.74,7
Carries into Final Third,1.34,17
Carries into Penalty Area,0.24,1
Miscontrols,2.71,18
Dispossessed,2.36,28
,,
Pass Targets,44.80,37
Passes Received,35.05,41
Passes Received %,78.2%,52
Progressive Passes Rec,5.86,42
Yellow Cards,0.28,15
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.53,30
Fouls Drawn,3.07,92
Offsides,0.20,66
Crosses,1.18,21
,,
Interceptions,0.90,46
Tackles Won,1.18,80
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.32,83
,,
Aerials won,2.40,97
Aerials lost,3.03,3
% of Aerials Won,44.2%,86
