--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.26,22
Assists,0.16,72
Non-Penalty Goals,0.23,22
Penalty Kicks Made,0.03,38
Penalty Kicks Attempted,0.03,32
Yellow Cards,0.13,51
Red Cards,0.00,55
,,
xG,0.46,72
npxG,0.43,78
xA,0.18,77
npxG+xA,0.61,84
Goals,0.26,22
Shots Total,3.05,78
Shots on target,1.10,70
Shots on target %,36.2%,39
Goals/Shot,0.07,9
Goals/Shot on target,0.21,11
Average Shot Distance,14.00,57
Shots from free kicks,0.00,30
Penalty Kicks Made,0.03,38
Penalty Kicks Attempted,0.03,32
,,
xG,0.46,72
npxG,0.43,78
npxG/Sh,0.14,58
Goals - xG,-0.20,1
Non-Penalty Goals - npxG,-0.21,1
Passes Completed,14.45,32
Passes Attempted,22.20,43
Pass Completion %,65.1%,16
Total Passing Distance,211.60,30
Progressive Passing Distance,42.42,41
,,
Passes Completed (Short),8.56,40
Passes Attempted (Short),11.76,46
Pass Completion % (Short),72.7%,19
,,
Passes Completed (Medium),3.99,24
Passes Attempted (Medium),6.13,32
Pass Completion % (Medium),65.1%,19
,,
Passes Completed (Long),1.04,47
Passes Attempted (Long),2.01,57
Pass Completion % (Long),51.6%,28
Assists,0.16,72
xA,0.18,77
Key Passes,1.04,55
Passes into Final Third,0.65,23
Passes into Penalty Area,0.71,52
Crosses into Penalty Area,0.16,74
Progressive Passes,1.56,54
Passes Attempted,22.20,43
,,
Live-ball passes,21.58,49
Dead-ball passes,0.62,10
Passes from Free Kicks,0.00,20
Through Balls,0.10,58
Passes Under Pressure,6.22,43
Switches,0.58,70
Crosses,1.81,92
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,14.39,51
Low Passes,4.41,51
High Passes,3.40,46
,,
Passes Attempted (Left),2.04,27
Passes Attempted (Right),16.53,67
Passes Attempted (Head),1.10,43
Throw-Ins taken,0.10,44
Passes Attempted (Other),0.88,89
,,
Passes Completed,14.45,32
Passes Offside,0.16,24
Passes Out of Bounds,0.42,51
Passes Intercepted,1.49,19
Passes Blocked,1.39,18
Shot-Creating Actions,2.20,41
,,
SCA (PassLive),1.56,47
SCA (PassDead),0.00,36
SCA (Drib),0.13,43
SCA (Sh),0.19,44
SCA (Fld),0.23,65
SCA (Def),0.10,77
,,
Goal-Creating Actions,0.16,11
,,
GCA (PassLive),0.16,40
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.55,37
Tackles Won,0.36,37
Tackles (Def 3rd),0.06,25
Tackles (Mid 3rd),0.19,30
Tackles (Att 3rd),0.29,68
,,
Dribblers Tackled,0.16,51
Dribbles Contested,0.42,24
% of dribblers tackled,38.5%,81
Dribbled Past,0.26,81
,,
Pressures,14.00,38
Successful Pressures,3.73,40
Successful Pressure %,26.6%,43
Pressures (Def 3rd),0.49,7
Pressures (Mid 3rd),5.25,32
Pressures (Att 3rd),8.26,71
,,
Blocks,0.55,19
Shots Blocked,0.13,59
Shots Saved,0.00,48
Passes Blocked,0.42,19
,,
Interceptions,0.13,4
Tkl+Int,0.68,16
Clearances,0.71,57
Errors,0.00,53
Touches,34.48,44
Touches (Def Pen),0.97,64
Touches (Def 3rd),2.04,16
Touches (Mid 3rd),13.90,18
Touches (Att 3rd),20.45,75
Touches (Att Pen),7.07,89
Touches (Live-Ball),33.84,49
,,
Dribbles Completed,0.91,54
Dribbles Attempted,2.11,64
Successful Dribble %,43.1%,27
Players Dribbled Past,0.97,51
Nutmegs,0.16,81
,,
Carries,22.30,53
Total Carrying Distance,115.15,60
Progressive Carrying Distance,68.55,70
Progressive Carries,4.02,76
Carries into Final Third,1.23,73
Carries into Penalty Area,1.49,92
Miscontrols,3.21,24
Dispossessed,1.39,72
,,
Pass Targets,46.44,57
Passes Received,27.52,57
Passes Received %,59.2%,54
Progressive Passes Rec,11.96,97
Yellow Cards,0.13,51
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,0.91,78
Fouls Drawn,1.52,49
Offsides,0.94,17
Crosses,1.81,92
,,
Interceptions,0.13,4
Tackles Won,0.36,37
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.53,29
,,
Aerials won,1.94,47
Aerials lost,2.37,71
% of Aerials Won,45.1%,74
