--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.26,38
Red Cards,0.00,61
,,
xG,0.03,11
npxG,0.03,11
xA,0.05,30
npxG+xA,0.07,15
Goals,0.00,11
Shots Total,0.52,15
Shots on target,0.20,33
Shots on target %,37.5%,86
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,21.80,37
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.03,11
npxG,0.03,11
npxG/Sh,0.05,25
Goals - xG,-0.03,31
Non-Penalty Goals - npxG,-0.03,31
Passes Completed,39.97,47
Passes Attempted,49.57,50
Pass Completion %,80.6%,36
Total Passing Distance,770.09,50
Progressive Passing Distance,222.65,61
,,
Passes Completed (Short),15.94,43
Passes Attempted (Short),18.29,42
Pass Completion % (Short),87.1%,37
,,
Passes Completed (Medium),17.83,55
Passes Attempted (Medium),20.97,62
Pass Completion % (Medium),85.0%,33
,,
Passes Completed (Long),5.36,44
Passes Attempted (Long),8.03,51
Pass Completion % (Long),66.7%,42
Assists,0.00,11
xA,0.05,30
Key Passes,0.78,42
Passes into Final Third,4.77,70
Passes into Penalty Area,0.72,53
Crosses into Penalty Area,0.07,40
Progressive Passes,5.29,82
Passes Attempted,49.57,50
,,
Live-ball passes,46.96,48
Dead-ball passes,2.61,70
Passes from Free Kicks,1.89,72
Through Balls,0.00,11
Passes Under Pressure,7.71,42
Switches,1.83,65
Crosses,0.46,46
Corner Kicks,0.33,70
,,
Inswinging Corner Kicks,0.20,74
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,34.16,44
Low Passes,5.62,62
High Passes,9.80,75
,,
Passes Attempted (Left),4.51,26
Passes Attempted (Right),40.62,60
Passes Attempted (Head),2.81,85
Throw-Ins taken,0.13,44
Passes Attempted (Other),0.46,93
,,
Passes Completed,39.97,47
Passes Offside,0.26,19
Passes Out of Bounds,0.91,23
Passes Intercepted,1.37,58
Passes Blocked,1.18,26
Shot-Creating Actions,1.83,43
,,
SCA (PassLive),1.44,46
SCA (PassDead),0.07,62
SCA (Drib),0.07,62
SCA (Sh),0.07,48
SCA (Fld),0.13,76
SCA (Def),0.07,53
,,
Goal-Creating Actions,0.07,15
,,
GCA (PassLive),0.07,24
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,3.07,87
Tackles Won,1.76,74
Tackles (Def 3rd),1.18,76
Tackles (Mid 3rd),1.57,92
Tackles (Att 3rd),0.33,69
,,
Dribblers Tackled,0.98,79
Dribbles Contested,2.09,58
% of dribblers tackled,46.9%,88
Dribbled Past,1.11,59
,,
Pressures,15.15,15
Successful Pressures,4.77,24
Successful Pressure %,31.5%,64
Pressures (Def 3rd),4.05,12
Pressures (Mid 3rd),9.34,48
Pressures (Att 3rd),1.76,14
,,
Blocks,1.24,21
Shots Blocked,0.13,14
Shots Saved,0.00,45
Passes Blocked,1.11,36
,,
Interceptions,1.70,50
Tkl+Int,4.77,76
Clearances,1.44,62
Errors,0.00,67
Touches,61.26,51
Touches (Def Pen),2.48,52
Touches (Def 3rd),13.72,42
Touches (Mid 3rd),40.04,70
Touches (Att 3rd),11.36,34
Touches (Att Pen),0.46,11
Touches (Live-Ball),58.78,50
,,
Dribbles Completed,1.18,82
Dribbles Attempted,1.83,80
Successful Dribble %,64.3%,59
Players Dribbled Past,1.18,76
Nutmegs,0.07,64
,,
Carries,39.91,55
Total Carrying Distance,182.87,47
Progressive Carrying Distance,95.03,53
Progressive Carries,4.05,58
Carries into Final Third,1.50,71
Carries into Penalty Area,0.00,7
Miscontrols,0.72,64
Dispossessed,1.18,38
,,
Pass Targets,41.41,42
Passes Received,38.21,44
Passes Received %,92.3%,55
Progressive Passes Rec,1.50,43
Yellow Cards,0.26,38
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.29,14
Fouls Drawn,2.68,96
Offsides,0.00,77
Crosses,0.46,46
,,
Interceptions,1.70,50
Tackles Won,1.76,74
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.82,88
,,
Aerials won,1.11,48
Aerials lost,1.44,34
% of Aerials Won,43.6%,29
