--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.12,90
Assists,0.00,31
Non-Penalty Goals,0.12,91
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.35,13
Red Cards,0.08,2
,,
xG,0.08,88
npxG,0.08,88
xA,0.02,64
npxG+xA,0.10,82
Goals,0.12,90
Shots Total,1.04,97
Shots on target,0.35,97
Shots on target %,33.3%,71
Goals/Shot,0.11,63
Goals/Shot on target,0.33,51
Average Shot Distance,11.90,43
Shots from free kicks,0.12,98
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.08,88
npxG,0.08,88
npxG/Sh,0.08,43
Goals - xG,+0.03,85
Non-Penalty Goals - npxG,+0.03,85
Passes Completed,37.21,30
Passes Attempted,46.25,35
Pass Completion %,80.5%,17
Total Passing Distance,881.74,41
Progressive Passing Distance,319.44,55
,,
Passes Completed (Short),10.23,33
Passes Attempted (Short),11.53,35
Pass Completion % (Short),88.7%,32
,,
Passes Completed (Medium),17.92,23
Passes Attempted (Medium),20.18,25
Pass Completion % (Medium),88.8%,23
,,
Passes Completed (Long),8.88,65
Passes Attempted (Long),13.84,76
Pass Completion % (Long),64.2%,30
Assists,0.00,31
xA,0.02,64
Key Passes,0.12,32
Passes into Final Third,2.38,41
Passes into Penalty Area,0.27,75
Crosses into Penalty Area,0.15,96
Progressive Passes,2.54,50
Passes Attempted,46.25,35
,,
Live-ball passes,43.02,33
Dead-ball passes,3.23,81
Passes from Free Kicks,3.11,99
Through Balls,0.00,27
Passes Under Pressure,5.88,64
Switches,3.27,97
Crosses,0.31,83
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,28.33,20
Low Passes,4.88,74
High Passes,13.03,92
,,
Passes Attempted (Left),32.87,80
Passes Attempted (Right),7.65,15
Passes Attempted (Head),3.38,85
Throw-Ins taken,0.12,25
Passes Attempted (Other),0.31,87
,,
Passes Completed,37.21,30
Passes Offside,0.12,48
Passes Out of Bounds,1.31,8
Passes Intercepted,1.00,41
Passes Blocked,0.50,51
Shot-Creating Actions,0.54,51
,,
SCA (PassLive),0.38,39
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.12,90
SCA (Fld),0.00,36
SCA (Def),0.04,76
,,
Goal-Creating Actions,0.04,41
,,
GCA (PassLive),0.04,52
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.27,30
Tackles Won,0.69,26
Tackles (Def 3rd),0.88,38
Tackles (Mid 3rd),0.31,18
Tackles (Att 3rd),0.08,58
,,
Dribblers Tackled,0.58,46
Dribbles Contested,1.08,43
% of dribblers tackled,53.6%,52
Dribbled Past,0.50,57
,,
Pressures,7.07,23
Successful Pressures,2.27,16
Successful Pressure %,32.1%,15
Pressures (Def 3rd),4.50,36
Pressures (Mid 3rd),2.35,17
Pressures (Att 3rd),0.23,18
,,
Blocks,1.42,24
Shots Blocked,0.46,10
Shots Saved,0.00,32
Passes Blocked,0.96,54
,,
Interceptions,2.19,58
Tkl+Int,3.46,42
Clearances,5.46,83
Errors,0.00,83
Touches,57.32,38
Touches (Def Pen),8.57,45
Touches (Def 3rd),30.83,34
Touches (Mid 3rd),27.68,43
Touches (Att 3rd),2.81,56
Touches (Att Pen),1.19,82
Touches (Live-Ball),54.21,35
,,
Dribbles Completed,0.04,9
Dribbles Attempted,0.08,10
Successful Dribble %,50.0%,19
Players Dribbled Past,0.04,8
Nutmegs,0.00,37
,,
Carries,27.83,20
Total Carrying Distance,207.72,54
Progressive Carrying Distance,119.72,64
Progressive Carries,2.73,65
Carries into Final Third,0.31,43
Carries into Penalty Area,0.00,31
Miscontrols,0.12,87
Dispossessed,0.08,87
,,
Pass Targets,31.60,26
Passes Received,30.87,27
Passes Received %,97.7%,40
Progressive Passes Rec,0.15,48
Yellow Cards,0.35,13
Red Cards,0.08,2
Second Yellow Card,0.04,6
Fouls Committed,1.31,28
Fouls Drawn,1.00,86
Offsides,0.08,15
Crosses,0.31,83
,,
Interceptions,2.19,58
Tackles Won,0.69,26
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.04,32
Own Goals,0.00,60
Ball Recoveries,11.42,88
,,
Aerials won,3.23,74
Aerials lost,2.27,10
% of Aerials Won,58.7%,30
