--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.13,2
Assists,0.00,5
Non-Penalty Goals,0.13,7
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.80,1
Red Cards,0.00,55
,,
xG,0.20,1
npxG,0.20,5
xA,0.05,7
npxG+xA,0.25,1
Goals,0.13,2
Shots Total,1.21,1
Shots on target,0.40,1
Shots on target %,33.3%,26
Goals/Shot,0.11,31
Goals/Shot on target,0.33,41
Average Shot Distance,13.60,60
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.20,1
npxG,0.20,5
npxG/Sh,0.16,76
Goals - xG,-0.07,24
Non-Penalty Goals - npxG,-0.07,23
Passes Completed,18.08,67
Passes Attempted,27.19,73
Pass Completion %,66.5%,23
Total Passing Distance,252.99,57
Progressive Passing Distance,50.36,61
,,
Passes Completed (Short),10.31,66
Passes Attempted (Short),14.33,77
Pass Completion % (Short),72.0%,16
,,
Passes Completed (Medium),5.49,62
Passes Attempted (Medium),7.77,66
Pass Completion % (Medium),70.7%,43
,,
Passes Completed (Long),0.94,36
Passes Attempted (Long),1.88,52
Pass Completion % (Long),50.0%,23
Assists,0.00,5
xA,0.05,7
Key Passes,0.94,44
Passes into Final Third,0.94,44
Passes into Penalty Area,0.40,19
Crosses into Penalty Area,0.00,7
Progressive Passes,1.61,58
Passes Attempted,27.19,73
,,
Live-ball passes,25.98,74
Dead-ball passes,1.21,37
Passes from Free Kicks,0.00,20
Through Balls,0.00,11
Passes Under Pressure,7.63,75
Switches,0.54,64
Crosses,0.80,54
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,15.94,64
Low Passes,4.82,64
High Passes,6.43,87
,,
Passes Attempted (Left),4.82,70
Passes Attempted (Right),16.47,66
Passes Attempted (Head),2.01,80
Throw-Ins taken,0.27,82
Passes Attempted (Other),0.67,72
,,
Passes Completed,18.08,67
Passes Offside,0.00,94
Passes Out of Bounds,0.67,18
Passes Intercepted,1.34,36
Passes Blocked,1.74,6
Shot-Creating Actions,1.74,18
,,
SCA (PassLive),1.61,50
SCA (PassDead),0.00,36
SCA (Drib),0.00,3
SCA (Sh),0.00,1
SCA (Fld),0.13,31
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,1
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,1.34,93
Tackles Won,0.54,62
Tackles (Def 3rd),0.54,97
Tackles (Mid 3rd),0.27,45
Tackles (Att 3rd),0.54,99
,,
Dribblers Tackled,0.00,3
Dribbles Contested,0.67,56
% of dribblers tackled,0.0%,3
Dribbled Past,0.67,21
,,
Pressures,14.73,46
Successful Pressures,3.48,32
Successful Pressure %,23.6%,18
Pressures (Def 3rd),1.88,79
Pressures (Mid 3rd),6.16,50
Pressures (Att 3rd),6.70,42
,,
Blocks,0.67,35
Shots Blocked,0.27,91
Shots Saved,0.00,48
Passes Blocked,0.40,18
,,
Interceptions,0.67,89
Tkl+Int,2.01,93
Clearances,0.67,53
Errors,0.00,53
Touches,39.51,69
Touches (Def Pen),0.80,47
Touches (Def 3rd),3.35,66
Touches (Mid 3rd),16.88,53
Touches (Att 3rd),21.03,77
Touches (Att Pen),4.69,29
Touches (Live-Ball),38.30,74
,,
Dribbles Completed,0.67,36
Dribbles Attempted,1.21,23
Successful Dribble %,55.6%,79
Players Dribbled Past,0.67,30
Nutmegs,0.13,71
,,
Carries,24.91,65
Total Carrying Distance,107.28,55
Progressive Carrying Distance,53.44,57
Progressive Carries,1.74,17
Carries into Final Third,0.94,55
Carries into Penalty Area,0.13,2
Miscontrols,3.75,10
Dispossessed,1.47,66
,,
Pass Targets,53.17,88
Passes Received,30.27,72
Passes Received %,56.9%,45
Progressive Passes Rec,9.24,87
Yellow Cards,0.80,1
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,3.08,1
Fouls Drawn,2.28,85
Offsides,1.21,3
Crosses,0.80,54
,,
Interceptions,0.67,89
Tackles Won,0.54,62
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.62,34
,,
Aerials won,3.48,76
Aerials lost,8.17,1
% of Aerials Won,29.9%,24
