--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.18,49
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.00,97
Red Cards,0.00,56
,,
xG,0.23,49
npxG,0.23,56
xA,0.25,85
npxG+xA,0.48,72
Goals,0.00,1
Shots Total,1.76,31
Shots on target,0.44,14
Shots on target %,25.0%,9
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,16.90,58
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.23,49
npxG,0.23,56
npxG/Sh,0.13,75
Goals - xG,-0.23,1
Non-Penalty Goals - npxG,-0.23,1
Passes Completed,41.13,88
Passes Attempted,50.98,85
Pass Completion %,80.7%,78
Total Passing Distance,647.75,81
Progressive Passing Distance,202.24,85
,,
Passes Completed (Short),22.59,92
Passes Attempted (Short),25.05,91
Pass Completion % (Short),90.2%,92
,,
Passes Completed (Medium),13.18,83
Passes Attempted (Medium),15.91,78
Pass Completion % (Medium),82.9%,70
,,
Passes Completed (Long),3.52,69
Passes Attempted (Long),6.94,71
Pass Completion % (Long),50.6%,36
Assists,0.18,49
xA,0.25,85
Key Passes,2.99,98
Passes into Final Third,3.08,80
Passes into Penalty Area,2.46,95
Crosses into Penalty Area,0.44,74
Progressive Passes,4.66,82
Passes Attempted,50.98,85
,,
Live-ball passes,44.56,81
Dead-ball passes,6.42,90
Passes from Free Kicks,1.41,85
Through Balls,0.09,44
Passes Under Pressure,7.65,66
Switches,2.46,89
Crosses,2.46,73
Corner Kicks,3.96,93
,,
Inswinging Corner Kicks,0.97,72
Outswinging Corner Kicks,1.67,90
Straight Corner Kicks,0.18,92
,,
Ground passes,37.97,87
Low Passes,4.66,46
High Passes,8.35,77
,,
Passes Attempted (Left),1.76,3
Passes Attempted (Right),46.93,95
Passes Attempted (Head),0.97,50
Throw-Ins taken,0.79,83
Passes Attempted (Other),0.18,34
,,
Passes Completed,41.13,88
Passes Offside,0.09,84
Passes Out of Bounds,0.97,11
Passes Intercepted,1.85,29
Passes Blocked,1.32,66
Shot-Creating Actions,5.63,99
,,
SCA (PassLive),3.69,96
SCA (PassDead),1.32,93
SCA (Drib),0.35,72
SCA (Sh),0.09,17
SCA (Fld),0.18,52
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.53,76
,,
GCA (PassLive),0.53,95
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,0.97,21
Tackles Won,0.62,21
Tackles (Def 3rd),0.44,47
Tackles (Mid 3rd),0.44,24
Tackles (Att 3rd),0.09,3
,,
Dribblers Tackled,0.79,94
Dribbles Contested,1.76,70
% of dribblers tackled,45.0%,94
Dribbled Past,0.97,46
,,
Pressures,10.28,4
Successful Pressures,2.99,6
Successful Pressure %,29.1%,69
Pressures (Def 3rd),3.25,41
Pressures (Mid 3rd),3.96,3
Pressures (Att 3rd),3.08,2
,,
Blocks,1.32,63
Shots Blocked,0.26,99
Shots Saved,0.00,49
Passes Blocked,1.05,47
,,
Interceptions,0.70,25
Tkl+Int,1.67,14
Clearances,0.79,84
Errors,0.00,57
Touches,61.61,83
Touches (Def Pen),1.23,77
Touches (Def 3rd),6.24,48
Touches (Mid 3rd),25.58,62
Touches (Att 3rd),34.19,90
Touches (Att Pen),4.04,49
Touches (Live-Ball),55.55,77
,,
Dribbles Completed,2.55,89
Dribbles Attempted,4.31,80
Successful Dribble %,59.2%,83
Players Dribbled Past,2.81,89
Nutmegs,0.18,57
,,
Carries,46.05,83
Total Carrying Distance,265.25,89
Progressive Carrying Distance,167.61,91
Progressive Carries,9.93,95
Carries into Final Third,2.90,91
Carries into Penalty Area,1.41,75
Miscontrols,1.05,96
Dispossessed,1.85,54
,,
Pass Targets,54.49,78
Passes Received,44.82,80
Passes Received %,82.3%,72
Progressive Passes Rec,4.04,9
Yellow Cards,0.00,97
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.18,99
Fouls Drawn,1.41,38
Offsides,0.00,99
Crosses,2.46,73
,,
Interceptions,0.70,25
Tackles Won,0.62,21
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,6.33,54
,,
Aerials won,0.53,34
Aerials lost,1.67,37
% of Aerials Won,24.0%,16
