--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.15,93
Assists,0.22,92
Non-Penalty Goals,0.15,93
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.15,61
Red Cards,0.00,60
,,
xG,0.09,86
npxG,0.09,88
xA,0.27,99
npxG+xA,0.36,98
Goals,0.15,93
Shots Total,0.89,78
Shots on target,0.30,82
Shots on target %,33.3%,70
Goals/Shot,0.17,89
Goals/Shot on target,0.50,86
Average Shot Distance,15.20,85
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.09,86
npxG,0.09,88
npxG/Sh,0.10,86
Goals - xG,+0.06,94
Non-Penalty Goals - npxG,+0.06,94
Passes Completed,28.24,6
Passes Attempted,40.06,6
Pass Completion %,70.5%,12
Total Passing Distance,491.69,5
Progressive Passing Distance,180.82,6
,,
Passes Completed (Short),12.93,9
Passes Attempted (Short),15.90,14
Pass Completion % (Short),81.3%,4
,,
Passes Completed (Medium),12.34,12
Passes Attempted (Medium),16.05,10
Pass Completion % (Medium),76.9%,23
,,
Passes Completed (Long),2.53,8
Passes Attempted (Long),5.57,14
Pass Completion % (Long),45.3%,24
Assists,0.22,92
xA,0.27,99
Key Passes,1.56,88
Passes into Final Third,0.89,1
Passes into Penalty Area,1.64,88
Crosses into Penalty Area,0.89,94
Progressive Passes,2.60,15
Passes Attempted,40.06,6
,,
Live-ball passes,33.44,13
Dead-ball passes,6.61,4
Passes from Free Kicks,0.52,21
Through Balls,0.00,18
Passes Under Pressure,5.80,38
Switches,1.04,49
Crosses,4.38,97
Corner Kicks,0.22,76
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.07,72
Straight Corner Kicks,0.00,42
,,
Ground passes,21.85,12
Low Passes,9.14,21
High Passes,9.07,29
,,
Passes Attempted (Left),5.50,35
Passes Attempted (Right),26.53,48
Passes Attempted (Head),1.56,32
Throw-Ins taken,5.87,6
Passes Attempted (Other),0.22,77
,,
Passes Completed,28.24,6
Passes Offside,0.22,27
Passes Out of Bounds,0.89,43
Passes Intercepted,1.71,59
Passes Blocked,2.30,14
Shot-Creating Actions,2.08,67
,,
SCA (PassLive),1.78,80
SCA (PassDead),0.07,43
SCA (Drib),0.15,86
SCA (Sh),0.00,15
SCA (Fld),0.07,65
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.22,64
,,
GCA (PassLive),0.22,81
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.23,54
Tackles Won,1.34,66
Tackles (Def 3rd),1.49,74
Tackles (Mid 3rd),0.59,37
Tackles (Att 3rd),0.15,22
,,
Dribblers Tackled,1.19,80
Dribbles Contested,2.90,92
% of dribblers tackled,41.0%,23
Dribbled Past,1.71,6
,,
Pressures,11.59,35
Successful Pressures,3.27,27
Successful Pressure %,28.2%,25
Pressures (Def 3rd),5.13,38
Pressures (Mid 3rd),4.76,46
Pressures (Att 3rd),1.71,23
,,
Blocks,1.64,31
Shots Blocked,0.30,53
Shots Saved,0.00,41
Passes Blocked,1.34,28
,,
Interceptions,1.34,17
Tkl+Int,3.57,32
Clearances,1.41,22
Errors,0.00,70
Touches,52.39,8
Touches (Def Pen),2.01,6
Touches (Def 3rd),13.75,8
Touches (Mid 3rd),22.59,10
Touches (Att 3rd),19.84,61
Touches (Att Pen),2.30,80
Touches (Live-Ball),46.00,19
,,
Dribbles Completed,1.71,94
Dribbles Attempted,3.05,94
Successful Dribble %,56.1%,64
Players Dribbled Past,1.71,92
Nutmegs,0.22,93
,,
Carries,33.59,33
Total Carrying Distance,213.37,70
Progressive Carrying Distance,120.77,66
Progressive Carries,6.02,78
Carries into Final Third,1.49,47
Carries into Penalty Area,0.59,85
Miscontrols,1.19,24
Dispossessed,1.49,8
,,
Pass Targets,36.27,33
Passes Received,30.69,27
Passes Received %,84.6%,6
Progressive Passes Rec,3.64,90
Yellow Cards,0.15,61
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.97,68
Fouls Drawn,2.23,98
Offsides,0.30,5
Crosses,4.38,97
,,
Interceptions,1.34,17
Tackles Won,1.34,66
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,7.51,37
,,
Aerials won,0.52,10
Aerials lost,1.49,18
% of Aerials Won,25.9%,3
