--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.14,99
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.21,44
Red Cards,0.00,64
,,
xG,0.03,26
npxG,0.03,26
xA,0.02,69
npxG+xA,0.05,33
Goals,0.00,16
Shots Total,0.28,20
Shots on target,0.00,5
Shots on target %,0.0%,5
Goals/Shot,0.00,16
Average Shot Distance,8.30,86
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.03,26
npxG,0.03,26
npxG/Sh,0.09,53
Goals - xG,-0.03,19
Non-Penalty Goals - npxG,-0.03,19
Passes Completed,57.67,81
Passes Attempted,63.04,78
Pass Completion %,91.5%,92
Total Passing Distance,1092.59,70
Progressive Passing Distance,302.97,46
,,
Passes Completed (Short),20.73,93
Passes Attempted (Short),22.43,93
Pass Completion % (Short),92.4%,70
,,
Passes Completed (Medium),30.00,79
Passes Attempted (Medium),31.56,78
Pass Completion % (Medium),95.1%,89
,,
Passes Completed (Long),6.16,20
Passes Attempted (Long),8.00,9
Pass Completion % (Long),77.0%,81
Assists,0.14,99
xA,0.02,69
Key Passes,0.35,88
Passes into Final Third,2.48,45
Passes into Penalty Area,0.35,84
Crosses into Penalty Area,0.07,85
Progressive Passes,2.33,41
Passes Attempted,63.04,78
,,
Live-ball passes,59.43,77
Dead-ball passes,3.61,86
Passes from Free Kicks,0.64,4
Through Balls,0.07,85
Passes Under Pressure,5.87,63
Switches,0.71,13
Crosses,0.42,90
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,51.86,83
Low Passes,5.45,83
High Passes,5.73,7
,,
Passes Attempted (Left),46.42,92
Passes Attempted (Right),9.41,20
Passes Attempted (Head),2.62,52
Throw-Ins taken,2.97,94
Passes Attempted (Other),0.07,19
,,
Passes Completed,57.67,81
Passes Offside,0.14,36
Passes Out of Bounds,0.57,82
Passes Intercepted,0.57,85
Passes Blocked,0.57,43
Shot-Creating Actions,1.13,95
,,
SCA (PassLive),0.92,94
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.21,99
,,
Goal-Creating Actions,0.14,92
,,
GCA (PassLive),0.14,97
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.42,37
Tackles Won,0.92,48
Tackles (Def 3rd),0.64,16
Tackles (Mid 3rd),0.71,81
Tackles (Att 3rd),0.07,53
,,
Dribblers Tackled,0.42,23
Dribbles Contested,0.92,29
% of dribblers tackled,46.2%,19
Dribbled Past,0.50,58
,,
Pressures,9.48,57
Successful Pressures,3.82,70
Successful Pressure %,40.3%,86
Pressures (Def 3rd),4.25,30
Pressures (Mid 3rd),3.82,65
Pressures (Att 3rd),1.42,97
,,
Blocks,1.42,23
Shots Blocked,0.50,14
Shots Saved,0.00,32
Passes Blocked,0.92,51
,,
Interceptions,1.06,2
Tkl+Int,2.48,9
Clearances,2.62,5
Errors,0.00,83
Touches,71.82,77
Touches (Def Pen),6.86,17
Touches (Def 3rd),32.76,46
Touches (Mid 3rd),34.60,74
Touches (Att 3rd),7.64,93
Touches (Att Pen),1.06,73
Touches (Live-Ball),68.28,74
,,
Dribbles Completed,0.57,95
Dribbles Attempted,0.99,98
Successful Dribble %,57.1%,28
Players Dribbled Past,0.78,99
Nutmegs,0.07,96
,,
Carries,52.00,86
Total Carrying Distance,192.31,47
Progressive Carrying Distance,95.24,42
Progressive Carries,1.98,42
Carries into Final Third,0.85,83
Carries into Penalty Area,0.07,88
Miscontrols,0.85,1
Dispossessed,0.64,1
,,
Pass Targets,55.33,84
Passes Received,52.57,81
Passes Received %,95.0%,4
Progressive Passes Rec,0.92,98
Yellow Cards,0.21,44
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.56,12
Fouls Drawn,0.85,76
Offsides,0.14,4
Crosses,0.42,90
,,
Interceptions,1.06,2
Tackles Won,0.92,48
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,7.85,21
,,
Aerials won,2.55,49
Aerials lost,1.77,30
% of Aerials Won,59.0%,31
