--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,48
Assists,0.06,47
Non-Penalty Goals,0.06,50
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.55,2
Red Cards,0.00,61
,,
xG,0.03,14
npxG,0.03,15
xA,0.06,42
npxG+xA,0.09,22
Goals,0.06,48
Shots Total,0.30,4
Shots on target,0.06,7
Shots on target %,20.0%,26
Goals/Shot,0.20,97
Goals/Shot on target,1.00,98
Average Shot Distance,12.70,97
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.03,14
npxG,0.03,15
npxG/Sh,0.11,88
Goals - xG,+0.03,76
Non-Penalty Goals - npxG,+0.03,77
Passes Completed,45.58,64
Passes Attempted,52.99,61
Pass Completion %,86.0%,72
Total Passing Distance,840.99,61
Progressive Passing Distance,202.73,52
,,
Passes Completed (Short),19.57,68
Passes Attempted (Short),21.27,61
Pass Completion % (Short),92.0%,85
,,
Passes Completed (Medium),19.02,64
Passes Attempted (Medium),21.45,63
Pass Completion % (Medium),88.7%,58
,,
Passes Completed (Long),5.96,57
Passes Attempted (Long),8.20,52
Pass Completion % (Long),72.6%,65
Assists,0.06,47
xA,0.06,42
Key Passes,0.55,25
Passes into Final Third,4.86,72
Passes into Penalty Area,0.36,16
Crosses into Penalty Area,0.06,35
Progressive Passes,3.83,48
Passes Attempted,52.99,61
,,
Live-ball passes,51.05,63
Dead-ball passes,1.94,54
Passes from Free Kicks,1.76,69
Through Balls,0.12,66
Passes Under Pressure,8.63,62
Switches,1.58,58
Crosses,0.43,43
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,40.23,64
Low Passes,5.53,59
High Passes,7.23,45
,,
Passes Attempted (Left),3.77,17
Passes Attempted (Right),45.27,71
Passes Attempted (Head),2.37,70
Throw-Ins taken,0.12,40
Passes Attempted (Other),0.24,57
,,
Passes Completed,45.58,64
Passes Offside,0.24,23
Passes Out of Bounds,0.30,98
Passes Intercepted,1.76,26
Passes Blocked,0.79,72
Shot-Creating Actions,1.28,18
,,
SCA (PassLive),1.15,30
SCA (PassDead),0.00,23
SCA (Drib),0.06,58
SCA (Sh),0.00,9
SCA (Fld),0.06,46
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.12,30
,,
GCA (PassLive),0.06,22
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.06,97
GCA (Def),0.00,43
Tackles,2.01,35
Tackles Won,1.22,34
Tackles (Def 3rd),0.85,41
Tackles (Mid 3rd),0.97,41
Tackles (Att 3rd),0.18,28
,,
Dribblers Tackled,0.67,39
Dribbles Contested,1.82,43
% of dribblers tackled,36.7%,48
Dribbled Past,1.15,55
,,
Pressures,18.66,53
Successful Pressures,5.17,39
Successful Pressure %,27.7%,25
Pressures (Def 3rd),7.54,81
Pressures (Mid 3rd),9.24,45
Pressures (Att 3rd),1.88,17
,,
Blocks,1.52,47
Shots Blocked,0.61,94
Shots Saved,0.00,45
Passes Blocked,0.91,17
,,
Interceptions,1.82,59
Tkl+Int,3.83,45
Clearances,1.52,68
Errors,0.00,67
Touches,62.71,57
Touches (Def Pen),3.28,76
Touches (Def 3rd),18.11,79
Touches (Mid 3rd),39.26,65
Touches (Att 3rd),9.60,19
Touches (Att Pen),0.97,41
Touches (Live-Ball),61.01,58
,,
Dribbles Completed,0.55,34
Dribbles Attempted,1.22,51
Successful Dribble %,45.0%,7
Players Dribbled Past,0.67,42
Nutmegs,0.18,94
,,
Carries,41.81,60
Total Carrying Distance,219.50,69
Progressive Carrying Distance,95.53,53
Progressive Carries,3.10,35
Carries into Final Third,1.15,53
Carries into Penalty Area,0.12,50
Miscontrols,0.18,99
Dispossessed,0.85,63
,,
Pass Targets,45.03,53
Passes Received,42.84,58
Passes Received %,95.1%,83
Progressive Passes Rec,0.85,16
Yellow Cards,0.55,2
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.70,46
Fouls Drawn,1.94,77
Offsides,0.00,77
Crosses,0.43,43
,,
Interceptions,1.82,59
Tackles Won,1.22,34
Penalty Kicks Won,0.06,98
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.97,55
,,
Aerials won,1.28,55
Aerials lost,1.88,13
% of Aerials Won,40.4%,20
