--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.05,61
Assists,0.00,31
Non-Penalty Goals,0.05,61
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.19,54
Red Cards,0.00,64
,,
xG,0.04,35
npxG,0.04,35
xA,0.01,37
npxG+xA,0.04,27
Goals,0.05,61
Shots Total,0.46,45
Shots on target,0.16,64
Shots on target %,35.3%,77
Goals/Shot,0.12,67
Goals/Shot on target,0.33,51
Average Shot Distance,10.20,62
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.04,35
npxG,0.04,35
npxG/Sh,0.08,43
Goals - xG,+0.02,76
Non-Penalty Goals - npxG,+0.02,76
Passes Completed,37.97,34
Passes Attempted,50.00,47
Pass Completion %,75.9%,6
Total Passing Distance,854.62,38
Progressive Passing Distance,392.95,79
,,
Passes Completed (Short),10.76,38
Passes Attempted (Short),12.41,40
Pass Completion % (Short),86.7%,18
,,
Passes Completed (Medium),18.32,26
Passes Attempted (Medium),20.92,29
Pass Completion % (Medium),87.6%,17
,,
Passes Completed (Long),8.24,57
Passes Attempted (Long),15.49,87
Pass Completion % (Long),53.2%,5
Assists,0.00,31
xA,0.01,37
Key Passes,0.19,54
Passes into Final Third,2.86,60
Passes into Penalty Area,0.05,19
Crosses into Penalty Area,0.00,29
Progressive Passes,2.49,47
Passes Attempted,50.00,47
,,
Live-ball passes,44.78,40
Dead-ball passes,5.22,95
Passes from Free Kicks,2.54,93
Through Balls,0.00,27
Passes Under Pressure,4.57,23
Switches,1.62,62
Crosses,0.22,73
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,30.22,26
Low Passes,4.70,69
High Passes,15.08,98
,,
Passes Attempted (Left),38.30,86
Passes Attempted (Right),5.97,9
Passes Attempted (Head),2.51,44
Throw-Ins taken,2.03,91
Passes Attempted (Other),0.05,10
,,
Passes Completed,37.97,34
Passes Offside,0.35,2
Passes Out of Bounds,1.22,12
Passes Intercepted,1.22,23
Passes Blocked,0.81,16
Shot-Creating Actions,0.70,71
,,
SCA (PassLive),0.57,71
SCA (PassDead),0.05,86
SCA (Drib),0.00,42
SCA (Sh),0.08,78
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.11,81
,,
GCA (PassLive),0.05,65
GCA (PassDead),0.03,96
GCA (Drib),0.00,49
GCA (Sh),0.03,78
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.16,23
Tackles Won,0.73,32
Tackles (Def 3rd),0.86,37
Tackles (Mid 3rd),0.27,14
Tackles (Att 3rd),0.03,23
,,
Dribblers Tackled,0.57,43
Dribbles Contested,1.11,48
% of dribblers tackled,51.2%,40
Dribbled Past,0.54,48
,,
Pressures,7.54,28
Successful Pressures,2.32,17
Successful Pressure %,30.8%,7
Pressures (Def 3rd),4.97,49
Pressures (Mid 3rd),2.03,9
Pressures (Att 3rd),0.54,61
,,
Blocks,1.24,8
Shots Blocked,0.62,28
Shots Saved,0.03,65
Passes Blocked,0.62,15
,,
Interceptions,1.76,30
Tkl+Int,2.92,22
Clearances,6.41,97
Errors,0.08,11
Touches,61.30,50
Touches (Def Pen),12.57,93
Touches (Def 3rd),34.59,57
Touches (Mid 3rd),26.46,40
Touches (Att 3rd),2.68,53
Touches (Att Pen),0.68,35
Touches (Live-Ball),56.24,41
,,
Dribbles Completed,0.14,36
Dribbles Attempted,0.19,33
Successful Dribble %,71.4%,56
Players Dribbled Past,0.14,34
Nutmegs,0.00,37
,,
Carries,33.54,42
Total Carrying Distance,138.22,14
Progressive Carrying Distance,60.35,10
Progressive Carries,0.86,8
Carries into Final Third,0.30,41
Carries into Penalty Area,0.00,31
Miscontrols,0.16,75
Dispossessed,0.16,61
,,
Pass Targets,37.43,46
Passes Received,36.95,46
Passes Received %,98.7%,86
Progressive Passes Rec,0.19,58
Yellow Cards,0.19,54
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.00,54
Fouls Drawn,0.65,58
Offsides,0.05,28
Crosses,0.22,73
,,
Interceptions,1.76,30
Tackles Won,0.73,32
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.05,20
Own Goals,0.03,20
Ball Recoveries,7.43,15
,,
Aerials won,2.57,50
Aerials lost,1.35,64
% of Aerials Won,65.5%,60
