--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,11
Assists,0.13,34
Non-Penalty Goals,0.06,11
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.26,17
Red Cards,0.06,1
,,
xG,0.09,4
npxG,0.09,6
xA,0.14,32
npxG+xA,0.23,11
Goals,0.06,11
Shots Total,2.23,57
Shots on target,0.83,62
Shots on target %,37.1%,54
Goals/Shot,0.03,10
Goals/Shot on target,0.08,7
Average Shot Distance,24.70,1
Shots from free kicks,0.45,94
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.09,4
npxG,0.09,6
npxG/Sh,0.04,1
Goals - xG,-0.03,35
Non-Penalty Goals - npxG,-0.03,36
Passes Completed,27.04,45
Passes Attempted,37.51,50
Pass Completion %,72.1%,30
Total Passing Distance,432.27,44
Progressive Passing Distance,117.75,47
,,
Passes Completed (Short),15.69,56
Passes Attempted (Short),17.48,50
Pass Completion % (Short),89.8%,89
,,
Passes Completed (Medium),7.14,23
Passes Attempted (Medium),9.63,22
Pass Completion % (Medium),74.2%,25
,,
Passes Completed (Long),2.81,51
Passes Attempted (Long),7.65,75
Pass Completion % (Long),36.7%,4
Assists,0.13,34
xA,0.14,32
Key Passes,1.47,46
Passes into Final Third,1.72,49
Passes into Penalty Area,0.83,14
Crosses into Penalty Area,0.13,18
Progressive Passes,2.55,34
Passes Attempted,37.51,50
,,
Live-ball passes,31.38,33
Dead-ball passes,6.12,88
Passes from Free Kicks,2.04,93
Through Balls,0.06,35
Passes Under Pressure,8.10,77
Switches,2.36,87
Crosses,1.59,38
Corner Kicks,3.25,88
,,
Inswinging Corner Kicks,1.15,79
Outswinging Corner Kicks,1.08,83
Straight Corner Kicks,0.19,93
,,
Ground passes,23.86,39
Low Passes,4.46,36
High Passes,9.19,80
,,
Passes Attempted (Left),31.19,85
Passes Attempted (Right),3.95,11
Passes Attempted (Head),1.15,62
Throw-Ins taken,0.19,13
Passes Attempted (Other),0.26,53
,,
Passes Completed,27.04,45
Passes Offside,0.51,1
Passes Out of Bounds,0.77,34
Passes Intercepted,0.89,96
Passes Blocked,1.40,60
Shot-Creating Actions,3.06,41
,,
SCA (PassLive),1.79,26
SCA (PassDead),0.70,80
SCA (Drib),0.26,54
SCA (Sh),0.13,34
SCA (Fld),0.19,57
SCA (Def),0.00,7
,,
Goal-Creating Actions,0.19,13
,,
GCA (PassLive),0.06,5
GCA (PassDead),0.06,77
GCA (Drib),0.06,78
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,0.77,8
Tackles Won,0.45,7
Tackles (Def 3rd),0.26,16
Tackles (Mid 3rd),0.38,19
Tackles (Att 3rd),0.13,9
,,
Dribblers Tackled,0.38,40
Dribbles Contested,1.66,66
% of dribblers tackled,23.1%,18
Dribbled Past,1.28,24
,,
Pressures,15.05,35
Successful Pressures,4.46,46
Successful Pressure %,29.7%,74
Pressures (Def 3rd),2.30,18
Pressures (Mid 3rd),8.55,67
Pressures (Att 3rd),4.21,19
,,
Blocks,0.96,28
Shots Blocked,0.06,40
Shots Saved,0.00,49
Passes Blocked,0.89,34
,,
Interceptions,0.83,40
Tkl+Int,1.59,11
Clearances,0.38,46
Errors,0.00,57
Touches,51.16,50
Touches (Def Pen),0.64,32
Touches (Def 3rd),6.25,48
Touches (Mid 3rd),25.90,62
Touches (Att 3rd),22.01,34
Touches (Att Pen),1.72,1
Touches (Live-Ball),45.03,34
,,
Dribbles Completed,2.23,79
Dribbles Attempted,3.83,70
Successful Dribble %,58.3%,80
Players Dribbled Past,2.55,84
Nutmegs,0.00,3
,,
Carries,37.51,51
Total Carrying Distance,158.44,13
Progressive Carrying Distance,69.46,7
Progressive Carries,3.76,7
Carries into Final Third,1.15,9
Carries into Penalty Area,0.32,5
Miscontrols,2.30,41
Dispossessed,2.74,13
,,
Pass Targets,43.31,32
Passes Received,35.02,41
Passes Received %,80.9%,63
Progressive Passes Rec,3.19,4
Yellow Cards,0.26,17
Red Cards,0.06,1
Second Yellow Card,0.06,1
Fouls Committed,1.72,22
Fouls Drawn,2.68,89
Offsides,0.06,93
Crosses,1.59,38
,,
Interceptions,0.83,40
Tackles Won,0.45,7
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.06,1
Ball Recoveries,5.87,47
,,
Aerials won,0.83,64
Aerials lost,2.87,5
% of Aerials Won,22.4%,15
